date,day_number,state,state_changed_today,pending_signal_for_tomorrow,spy_close,upro_open,upro_close,upro_daily_return_pct,vix,vix_threshold,vix_above_threshold,spy_sma200,spy_vs_sma200,spy_minus_sma200,kill_switch_active,kill_reason,spy_sma50,spy_vs_sma50,spy_minus_sma50,days_below_sma50,days_above_sma50,defensive_trigger,spy_rsi_14,rsi_sell_threshold,rsi_rebuy_threshold,rsi_zone,shares_held,cash_held,upro_position_value,portfolio_value,upro_allocation_pct,cash_allocation_pct,daily_pnl,cumulative_return_pct
2019-02-14,1,CASH,NO,NONE,274.1,22.88,22.5,-1.66,16.22,30.0,NO,274.12,BELOW,-0.02,YES,SPY<200SMA,261.11,ABOVE,12.99,0,20,"NO (need 2d, have 0d)",64.8,75.0,60.0,NEUTRAL (60-75),0.0,100000.0,0.0,100000.0,0.0,100.0,0.0,0.0
2019-02-15,2,CASH,NO,"RE-ENTRY: SPY>274(200), VIX=14.9<30, SPY>261(50)",277.86,22.465,23.395,4.14,14.91,30.0,NO,274.18,ABOVE,3.68,NO,N/A,261.09,ABOVE,16.77,0,21,"NO (need 2d, have 0d)",69.62,75.0,60.0,NEUTRAL (60-75),0.0,100000.0,0.0,100000.0,0.0,100.0,0.0,0.0
2019-02-19,3,BULL_100,YES,NONE,277.66,23.235,23.32,0.37,14.88,30.0,NO,274.26,ABOVE,3.4,NO,N/A,261.23,ABOVE,16.43,0,22,"NO (need 2d, have 0d)",69.08,75.0,60.0,NEUTRAL (60-75),4260.8134,949.5,99362.17,100311.67,99.1,0.9,311.67,0.31
2019-02-20,4,BULL_100,NO,NONE,278.47,23.34,23.535,0.84,14.02,30.0,NO,274.34,ABOVE,4.13,NO,N/A,261.4,ABOVE,17.07,0,23,"NO (need 2d, have 0d)",70.1,75.0,60.0,NEUTRAL (60-75),4260.8134,949.5,100278.24,101227.74,99.1,0.9,916.07,1.23
2019-02-21,5,BULL_100,NO,NONE,277.37,23.64,23.26,-1.61,14.46,30.0,NO,274.39,ABOVE,2.98,NO,N/A,261.68,ABOVE,15.69,0,24,"NO (need 2d, have 0d)",66.88,75.0,60.0,NEUTRAL (60-75),4260.8134,949.5,99106.52,100056.02,99.1,0.9,-1171.72,0.06
2019-02-22,6,BULL_100,NO,NONE,279.33,23.45,23.73,1.19,13.51,30.0,NO,274.45,ABOVE,4.88,NO,N/A,261.99,ABOVE,17.34,0,25,"NO (need 2d, have 0d)",69.56,75.0,60.0,NEUTRAL (60-75),4260.8134,949.5,101109.1,102058.6,99.1,0.9,2002.58,2.06
2019-02-25,7,BULL_100,NO,NONE,279.35,23.87,23.71,-0.67,14.85,30.0,NO,274.52,ABOVE,4.83,NO,N/A,262.29,ABOVE,17.06,0,26,"NO (need 2d, have 0d)",69.59,75.0,60.0,NEUTRAL (60-75),4260.8134,949.5,101023.89,101973.39,99.1,0.9,-85.21,1.97
2019-02-26,8,BULL_100,NO,NONE,278.77,23.625,23.62,-0.02,15.17,30.0,NO,274.56,ABOVE,4.21,NO,N/A,262.54,ABOVE,16.23,0,27,"NO (need 2d, have 0d)",67.71,75.0,60.0,NEUTRAL (60-75),4260.8134,949.5,100640.41,101589.91,99.1,0.9,-383.48,1.59
2019-02-27,9,BULL_100,NO,NONE,279.4,23.45,23.775,1.39,14.7,30.0,NO,274.6,ABOVE,4.8,NO,N/A,262.83,ABOVE,16.57,0,28,"NO (need 2d, have 0d)",68.7,75.0,60.0,NEUTRAL (60-75),4260.8134,949.5,101300.84,102250.34,99.1,0.9,660.43,2.25
2019-02-28,10,BULL_100,NO,NONE,278.59,23.55,23.505,-0.19,14.78,30.0,NO,274.63,ABOVE,3.96,NO,N/A,263.2,ABOVE,15.39,0,29,"NO (need 2d, have 0d)",65.91,75.0,60.0,NEUTRAL (60-75),4260.8134,949.5,100150.42,101099.92,99.1,0.9,-1150.42,1.1
2019-03-01,11,BULL_100,NO,NONE,280.75,23.92,24.065,0.61,13.57,30.0,NO,274.67,ABOVE,6.08,NO,N/A,263.69,ABOVE,17.06,0,30,"NO (need 2d, have 0d)",69.47,75.0,60.0,NEUTRAL (60-75),4260.8134,949.5,102536.48,103485.98,99.1,0.9,2386.06,3.49
2019-03-04,12,BULL_100,NO,NONE,279.09,24.15,23.665,-2.01,14.63,30.0,NO,274.71,ABOVE,4.38,NO,N/A,264.18,ABOVE,14.91,0,31,"NO (need 2d, have 0d)",63.94,75.0,60.0,NEUTRAL (60-75),4260.8134,949.5,100832.15,101781.65,99.1,0.9,-1704.33,1.78
2019-03-05,13,BULL_100,NO,NONE,278.75,23.86,23.525,-1.4,14.74,30.0,NO,274.74,ABOVE,4.01,NO,N/A,264.73,ABOVE,14.02,0,32,"NO (need 2d, have 0d)",62.84,75.0,60.0,NEUTRAL (60-75),4260.8134,949.5,100235.64,101185.14,99.1,0.9,-596.51,1.19
2019-03-06,14,BULL_100,NO,NONE,276.94,23.62,23.1,-2.2,15.74,30.0,NO,274.77,ABOVE,2.17,NO,N/A,265.29,ABOVE,11.65,0,33,"NO (need 2d, have 0d)",57.18,75.0,60.0,COOL (<60),4260.8134,949.5,98424.79,99374.29,99.0,1.0,-1810.85,-0.63
2019-03-07,15,BULL_100,NO,NONE,275.25,22.99,22.655,-1.46,16.59,30.0,NO,274.79,ABOVE,0.46,NO,N/A,265.99,ABOVE,9.26,0,34,"NO (need 2d, have 0d)",52.44,75.0,60.0,COOL (<60),4260.8134,949.5,96528.73,97478.23,99.0,1.0,-1896.06,-2.52
2019-03-08,16,BULL_100,NO,NONE,274.96,22.425,22.575,0.67,16.05,30.0,NO,274.79,ABOVE,0.17,NO,N/A,266.83,ABOVE,8.13,0,35,"NO (need 2d, have 0d)",51.64,75.0,60.0,COOL (<60),4260.8134,949.5,96187.86,97137.36,99.0,1.0,-340.87,-2.86
2019-03-11,17,BULL_100,NO,NONE,279.37,22.575,23.675,4.87,14.33,30.0,NO,274.83,ABOVE,4.54,NO,N/A,267.5,ABOVE,11.87,0,36,"NO (need 2d, have 0d)",61.23,75.0,60.0,NEUTRAL (60-75),4260.8134,949.5,100874.76,101824.26,99.1,0.9,4686.9,1.82
2019-03-12,18,BULL_100,NO,NONE,279.26,23.575,23.585,0.04,13.77,30.0,NO,274.86,ABOVE,4.4,NO,N/A,268.14,ABOVE,11.12,0,37,"NO (need 2d, have 0d)",60.91,75.0,60.0,NEUTRAL (60-75),4260.8134,949.5,100491.28,101440.78,99.1,0.9,-383.48,1.44
2019-03-13,19,BULL_100,NO,NONE,281.73,23.645,24.24,2.52,13.41,30.0,NO,274.9,ABOVE,6.83,NO,N/A,268.82,ABOVE,12.91,0,38,"NO (need 2d, have 0d)",65.35,75.0,60.0,NEUTRAL (60-75),4260.8134,949.5,103282.12,104231.62,99.1,0.9,2790.84,4.23
2019-03-14,20,BULL_100,NO,NONE,281.23,24.335,24.11,-0.92,13.5,30.0,NO,274.95,ABOVE,6.28,NO,N/A,269.45,ABOVE,11.78,0,39,"NO (need 2d, have 0d)",63.77,75.0,60.0,NEUTRAL (60-75),4260.8134,949.5,102728.21,103677.71,99.1,0.9,-553.91,3.68
