date,day_number,state,state_changed_today,pending_signal_for_tomorrow,spy_close,qqq_close,upro_open,upro_close,tqqq_open,tqqq_close,vix,vix_threshold,vix_above_threshold,spy_sma200,spy_vs_sma200,kill_switch_active,kill_reason,spy_sma50,spy_vs_sma50,days_below_sma50_spy,days_above_sma50_spy,spy_defensive_trigger,qqq_sma50,qqq_vs_sma50,days_below_sma50_qqq,days_above_sma50_qqq,qqq_defensive_trigger,spy_rsi_14,rsi_zone,upro_shares,tqqq_shares,cash,upro_value,tqqq_value,portfolio_value,upro_allocation_pct,tqqq_allocation_pct,cash_allocation_pct,daily_pnl,cumulative_return_pct
2019-02-14,1,CASH,NO,NONE,274.1,171.0,22.88,22.5,6.215,6.155,16.22,30.0,NO,274.12,BELOW,YES,SPY<200SMA,261.11,ABOVE,0,20,"NO (need 2d, have 0d)",161.73,ABOVE,0,22,"NO (need 2d, have 0d)",64.8,NEUTRAL (60-75),0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,100.0,0.0,0.0
2019-02-15,2,CASH,NO,"SMA_RECOVERY: SPY>274(200SMA), VIX=14.9<30",277.86,172.15,22.465,23.395,6.0812,6.265,14.91,30.0,NO,274.18,ABOVE,NO,N/A,261.09,ABOVE,0,21,"NO (need 2d, have 0d)",161.74,ABOVE,0,23,"NO (need 2d, have 0d)",69.62,NEUTRAL (60-75),0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,100.0,0.0,0.0
2019-02-19,3,SMA_RECOVERY,YES,"RE-ENTRY COMPLETE: SPY & QQQ above 50-SMA, VIX<30",277.66,172.18,23.235,23.32,6.2925,6.2838,14.88,30.0,NO,274.26,ABOVE,NO,N/A,261.23,ABOVE,0,22,"NO (need 2d, have 0d)",161.86,ABOVE,0,24,"NO (need 2d, have 0d)",69.08,NEUTRAL (60-75),2420.9167,2979.7378,24960.5,56455.78,18723.93,100140.21,56.4,18.7,24.9,140.21,0.14
2019-02-20,4,BULL_100,YES,NONE,278.47,172.22,23.34,23.535,6.2938,6.2738,14.02,30.0,NO,274.34,ABOVE,NO,N/A,261.4,ABOVE,0,23,"NO (need 2d, have 0d)",161.96,ABOVE,0,25,"NO (need 2d, have 0d)",70.1,NEUTRAL (60-75),3188.1824,3941.062,988.21,75033.87,24725.24,100747.32,74.5,24.5,1.0,607.11,0.75
2019-02-21,5,BULL_100,NO,NONE,277.37,171.35,23.64,23.26,6.32,6.1762,14.46,30.0,NO,274.39,ABOVE,NO,N/A,261.68,ABOVE,0,24,"NO (need 2d, have 0d)",162.16,ABOVE,0,26,"NO (need 2d, have 0d)",66.88,NEUTRAL (60-75),3188.1824,3941.062,988.21,74157.12,24340.98,99486.31,74.5,24.5,1.0,-1261.01,-0.51
2019-02-22,6,BULL_100,NO,NONE,279.33,172.97,23.45,23.73,6.2488,6.3425,13.51,30.0,NO,274.45,ABOVE,NO,N/A,261.99,ABOVE,0,25,"NO (need 2d, have 0d)",162.37,ABOVE,0,27,"NO (need 2d, have 0d)",69.56,NEUTRAL (60-75),3188.1824,3941.062,988.21,75655.57,24996.19,101639.96,74.4,24.6,1.0,2153.65,1.64
2019-02-25,7,BULL_100,NO,NONE,279.35,173.32,23.87,23.71,6.41,6.3962,14.85,30.0,NO,274.52,ABOVE,NO,N/A,262.29,ABOVE,0,26,"NO (need 2d, have 0d)",162.56,ABOVE,0,28,"NO (need 2d, have 0d)",69.59,NEUTRAL (60-75),3188.1824,3941.062,988.21,75591.81,25208.02,101788.03,74.3,24.8,1.0,148.07,1.79
2019-02-26,8,BULL_100,NO,NONE,278.77,173.34,23.625,23.62,6.355,6.4,15.17,30.0,NO,274.56,ABOVE,NO,N/A,262.54,ABOVE,0,27,"NO (need 2d, have 0d)",162.72,ABOVE,0,29,"NO (need 2d, have 0d)",67.71,NEUTRAL (60-75),3188.1824,3941.062,988.21,75304.87,25222.8,101515.87,74.2,24.8,1.0,-272.16,1.52
2019-02-27,9,BULL_100,NO,NONE,279.4,173.46,23.45,23.775,6.345,6.4125,14.7,30.0,NO,274.6,ABOVE,NO,N/A,262.83,ABOVE,0,28,"NO (need 2d, have 0d)",162.89,ABOVE,0,30,"NO (need 2d, have 0d)",68.7,NEUTRAL (60-75),3188.1824,3941.062,988.21,75799.04,25272.06,102059.3,74.3,24.8,1.0,543.43,2.06
2019-02-28,10,BULL_100,NO,NONE,278.59,173.19,23.55,23.505,6.335,6.3775,14.78,30.0,NO,274.63,ABOVE,NO,N/A,263.2,ABOVE,0,29,"NO (need 2d, have 0d)",163.14,ABOVE,0,31,"NO (need 2d, have 0d)",65.91,NEUTRAL (60-75),3188.1824,3941.062,988.21,74938.23,25134.12,101060.56,74.2,24.9,1.0,-998.74,1.06
2019-03-01,11,BULL_100,NO,NONE,280.75,174.55,23.92,24.065,6.5125,6.5088,13.57,30.0,NO,274.67,ABOVE,NO,N/A,263.69,ABOVE,0,30,"NO (need 2d, have 0d)",163.46,ABOVE,0,32,"NO (need 2d, have 0d)",69.47,NEUTRAL (60-75),3188.1824,3941.062,988.21,76723.61,25651.39,103363.2,74.2,24.8,1.0,2302.64,3.36
2019-03-04,12,BULL_100,NO,NONE,279.09,174.1,24.15,23.665,6.6188,6.4625,14.63,30.0,NO,274.71,ABOVE,NO,N/A,264.18,ABOVE,0,31,"NO (need 2d, have 0d)",163.78,ABOVE,0,33,"NO (need 2d, have 0d)",63.94,NEUTRAL (60-75),3188.1824,3941.062,988.21,75448.34,25469.11,101905.66,74.0,25.0,1.0,-1457.54,1.91
2019-03-05,13,BULL_100,NO,NONE,278.75,174.43,23.86,23.525,6.5388,6.505,14.74,30.0,NO,274.74,ABOVE,NO,N/A,264.73,ABOVE,0,32,"NO (need 2d, have 0d)",164.17,ABOVE,0,34,"NO (need 2d, have 0d)",62.84,NEUTRAL (60-75),3188.1824,3941.062,988.21,75001.99,25636.61,101626.8,73.8,25.2,1.0,-278.86,1.63
2019-03-06,14,BULL_100,NO,NONE,276.94,173.22,23.62,23.1,6.5175,6.3625,15.74,30.0,NO,274.77,ABOVE,NO,N/A,265.29,ABOVE,0,33,"NO (need 2d, have 0d)",164.57,ABOVE,0,35,"NO (need 2d, have 0d)",57.18,COOL (<60),3188.1824,3941.062,988.21,73647.01,25075.01,99710.23,73.9,25.1,1.0,-1916.57,-0.29
2019-03-07,15,BULL_100,NO,NONE,275.25,171.49,22.99,22.655,6.3312,6.18,16.59,30.0,NO,274.79,ABOVE,NO,N/A,265.99,ABOVE,0,34,"NO (need 2d, have 0d)",165.05,ABOVE,0,36,"NO (need 2d, have 0d)",52.44,COOL (<60),3188.1824,3941.062,988.21,72228.27,24355.76,97572.24,74.0,25.0,1.0,-2137.99,-2.43
2019-03-08,16,BULL_100,NO,NONE,274.96,171.15,22.425,22.575,6.0688,6.15,16.05,30.0,NO,274.79,ABOVE,NO,N/A,266.83,ABOVE,0,35,"NO (need 2d, have 0d)",165.61,ABOVE,0,37,"NO (need 2d, have 0d)",51.64,COOL (<60),3188.1824,3941.062,988.21,71973.22,24237.53,97198.95,74.0,24.9,1.0,-373.29,-2.8
2019-03-11,17,BULL_100,NO,NONE,279.37,175.41,22.575,23.675,6.2175,6.605,14.33,30.0,NO,274.83,ABOVE,NO,N/A,267.5,ABOVE,0,36,"NO (need 2d, have 0d)",166.08,ABOVE,0,38,"NO (need 2d, have 0d)",61.23,NEUTRAL (60-75),3188.1824,3941.062,988.21,75480.22,26030.71,102499.14,73.6,25.4,1.0,5300.19,2.5
2019-03-12,18,BULL_100,NO,NONE,279.26,175.69,23.575,23.585,6.5912,6.6288,13.77,30.0,NO,274.86,ABOVE,NO,N/A,268.14,ABOVE,0,37,"NO (need 2d, have 0d)",166.54,ABOVE,0,39,"NO (need 2d, have 0d)",60.91,NEUTRAL (60-75),3188.1824,3941.062,988.21,75193.28,26124.31,102305.8,73.5,25.5,1.0,-193.34,2.31
2019-03-13,19,BULL_100,NO,NONE,281.73,177.3,23.645,24.24,6.6438,6.8175,13.41,30.0,NO,274.9,ABOVE,NO,N/A,268.82,ABOVE,0,38,"NO (need 2d, have 0d)",167.03,ABOVE,0,40,"NO (need 2d, have 0d)",65.35,NEUTRAL (60-75),3188.1824,3941.062,988.21,77281.54,26868.19,105137.94,73.5,25.6,0.9,2832.14,5.14
2019-03-14,20,BULL_100,NO,NONE,281.23,176.84,24.335,24.11,6.8425,6.7525,13.5,30.0,NO,274.95,ABOVE,NO,N/A,269.45,ABOVE,0,39,"NO (need 2d, have 0d)",167.47,ABOVE,0,41,"NO (need 2d, have 0d)",63.77,NEUTRAL (60-75),3188.1824,3941.062,988.21,76867.08,26612.02,104467.3,73.6,25.5,0.9,-670.64,4.47
2019-03-15,21,BULL_100,NO,NONE,281.11,178.35,24.3,24.45,6.8075,6.92,12.88,30.0,NO,275.01,ABOVE,NO,N/A,270.14,ABOVE,0,40,"NO (need 2d, have 0d)",168.02,ABOVE,0,42,"NO (need 2d, have 0d)",63.37,NEUTRAL (60-75),3188.1824,3941.062,988.21,77951.06,27272.15,106211.41,73.4,25.7,0.9,1744.11,6.21
2019-03-18,22,BULL_100,NO,NONE,282.68,178.6,24.525,24.795,6.9625,6.9975,13.1,30.0,NO,275.06,ABOVE,NO,N/A,270.9,ABOVE,0,41,"NO (need 2d, have 0d)",168.59,ABOVE,0,43,"NO (need 2d, have 0d)",66.32,NEUTRAL (60-75),3188.1824,3941.062,988.21,79050.98,27577.58,107616.77,73.5,25.6,0.9,1405.36,7.62
2019-03-19,23,BULL_100,NO,NONE,282.01,178.81,24.88,24.64,7.015,7.0225,13.56,30.0,NO,275.11,ABOVE,NO,N/A,271.49,ABOVE,0,42,"NO (need 2d, have 0d)",169.04,ABOVE,0,44,"NO (need 2d, have 0d)",63.96,NEUTRAL (60-75),3188.1824,3941.062,988.21,78556.81,27676.11,107221.13,73.3,25.8,0.9,-395.64,7.22
2019-03-20,24,BULL_100,NO,NONE,281.4,179.89,24.695,24.445,7.0512,7.1425,13.91,30.0,NO,275.15,ABOVE,NO,N/A,272.03,ABOVE,0,43,"NO (need 2d, have 0d)",169.48,ABOVE,0,45,"NO (need 2d, have 0d)",61.8,NEUTRAL (60-75),3188.1824,3941.062,988.21,77935.12,28149.04,107072.36,72.8,26.3,0.9,-148.77,7.07
2019-03-21,25,BULL_100,NO,NONE,284.77,182.72,24.27,25.25,7.0925,7.4825,13.63,30.0,NO,275.2,ABOVE,NO,N/A,272.59,ABOVE,0,44,"NO (need 2d, have 0d)",169.94,ABOVE,0,46,"NO (need 2d, have 0d)",68.19,NEUTRAL (60-75),3188.1824,3941.062,988.21,80501.61,29489.0,110978.81,72.5,26.6,0.9,3906.45,10.98
2019-03-22,26,BULL_100,NO,NONE,279.24,178.21,24.925,23.75,7.4875,6.9575,16.48,30.0,NO,275.22,ABOVE,NO,N/A,273.03,ABOVE,0,45,"NO (need 2d, have 0d)",170.3,ABOVE,0,47,"NO (need 2d, have 0d)",52.63,COOL (<60),3188.1824,3941.062,988.21,75719.33,27419.94,104127.48,72.7,26.3,0.9,-6851.33,4.13
2019-03-25,27,BULL_100,NO,NONE,279.69,178.69,23.67,23.9,6.8312,6.9812,16.33,30.0,NO,275.23,ABOVE,NO,N/A,273.46,ABOVE,0,46,"NO (need 2d, have 0d)",170.66,ABOVE,0,48,"NO (need 2d, have 0d)",53.56,COOL (<60),3188.1824,3941.062,988.21,76197.56,27513.54,104699.3,72.8,26.3,0.9,571.82,4.7
2019-03-26,28,BULL_100,NO,NONE,280.97,179.04,23.985,24.21,6.9725,7.02,14.68,30.0,NO,275.25,ABOVE,NO,N/A,273.9,ABOVE,0,47,"NO (need 2d, have 0d)",171.03,ABOVE,0,49,"NO (need 2d, have 0d)",56.19,COOL (<60),3188.1824,3941.062,988.21,77185.9,27666.26,105840.36,72.9,26.1,0.9,1141.06,5.84
2019-03-27,29,BULL_100,NO,NONE,279.39,177.64,24.11,23.795,7.0788,6.8538,15.15,30.0,NO,275.25,ABOVE,NO,N/A,274.34,ABOVE,0,48,"NO (need 2d, have 0d)",171.39,ABOVE,0,50,"NO (need 2d, have 0d)",52.25,COOL (<60),3188.1824,3941.062,988.21,75862.8,27011.05,103862.06,73.0,26.0,1.0,-1978.3,3.86
2019-03-28,30,BULL_100,NO,NONE,281.44,178.96,23.865,24.36,6.8475,7.0038,14.43,30.0,NO,275.27,ABOVE,NO,N/A,274.76,ABOVE,0,49,"NO (need 2d, have 0d)",171.72,ABOVE,0,51,"NO (need 2d, have 0d)",56.51,COOL (<60),3188.1824,3941.062,988.21,77664.12,27602.21,106254.54,73.1,26.0,0.9,2392.48,6.25
2019-03-29,31,BULL_100,NO,NONE,282.58,179.95,24.36,24.64,7.0312,7.1125,13.71,30.0,NO,275.28,ABOVE,NO,N/A,275.2,ABOVE,0,50,"NO (need 2d, have 0d)",172.08,ABOVE,0,52,"NO (need 2d, have 0d)",58.71,COOL (<60),3188.1824,3941.062,988.21,78556.81,28030.8,107575.82,73.0,26.1,0.9,1321.28,7.58
2019-04-01,32,BULL_100,NO,NONE,285.97,182.22,25.155,25.505,7.3212,7.385,13.4,30.0,NO,275.32,ABOVE,NO,N/A,275.66,ABOVE,0,51,"NO (need 2d, have 0d)",172.46,ABOVE,0,53,"NO (need 2d, have 0d)",64.48,NEUTRAL (60-75),3188.1824,3941.062,988.21,81314.59,29104.74,111407.54,73.0,26.1,0.9,3831.72,11.41
2019-04-02,33,BULL_100,NO,NONE,285.53,182.55,25.36,25.395,7.3475,7.4275,13.36,30.0,NO,275.36,ABOVE,NO,N/A,276.04,ABOVE,0,52,"NO (need 2d, have 0d)",172.8,ABOVE,0,54,"NO (need 2d, have 0d)",63.24,NEUTRAL (60-75),3188.1824,3941.062,988.21,80963.89,29272.24,111224.34,72.8,26.3,0.9,-183.2,11.22
2019-04-03,34,BULL_100,NO,NONE,286.7,184.01,25.8,25.675,7.5675,7.6,13.74,30.0,NO,275.41,ABOVE,NO,N/A,276.53,ABOVE,0,53,"NO (need 2d, have 0d)",173.25,ABOVE,0,55,"NO (need 2d, have 0d)",65.15,NEUTRAL (60-75),3188.1824,3941.062,988.21,81856.58,29952.07,112796.86,72.6,26.6,0.9,1572.52,12.8
2019-04-04,35,BULL_100,NO,NONE,287.04,183.53,25.6,25.775,7.5875,7.54,13.58,30.0,NO,275.47,ABOVE,NO,N/A,277.02,ABOVE,0,54,"NO (need 2d, have 0d)",173.68,ABOVE,0,56,"NO (need 2d, have 0d)",65.71,NEUTRAL (60-75),3188.1824,3941.062,988.21,82175.4,29715.61,112879.21,72.8,26.3,0.9,82.35,12.88
