date,day_number,step2_state,step3_active,step3_state,pending_signal_for_tomorrow,spy_close,spy_sma50,spy_sma200,spy_vs_sma200,spy_vs_sma50,vix,vix_above_30,spxu_open,spxu_close,entry_condition_spy_below_200,entry_condition_vix_above_30,both_entry_conditions_met,spxu_shares,spxu_value,cash,portfolio_value,spxu_allocation_pct,cash_allocation_pct,daily_pnl,cumulative_return_pct
2019-02-14,1,CASH,YES,CASH_IDLE,NONE,274.1,261.11,274.12,BELOW,ABOVE,16.22,NO,34.44,34.99,YES,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-02-15,2,CASH,YES,CASH_IDLE,NONE,277.86,261.09,274.18,ABOVE,ABOVE,14.91,NO,35.31,33.69,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-02-19,3,SMA_RECOVERY,NO,INACTIVE,NONE,277.66,261.23,274.26,ABOVE,ABOVE,14.88,NO,33.78,33.67,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-02-20,4,BULL_100,NO,INACTIVE,NONE,278.47,261.4,274.34,ABOVE,ABOVE,14.02,NO,33.8,33.36,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-02-21,5,BULL_100,NO,INACTIVE,NONE,277.37,261.68,274.39,ABOVE,ABOVE,14.46,NO,33.29,33.84,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-02-22,6,BULL_100,NO,INACTIVE,NONE,279.33,261.99,274.45,ABOVE,ABOVE,13.51,NO,33.6,33.09,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-02-25,7,BULL_100,NO,INACTIVE,NONE,279.35,262.29,274.52,ABOVE,ABOVE,14.85,NO,32.88,33.16,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-02-26,8,BULL_100,NO,INACTIVE,NONE,278.77,262.54,274.56,ABOVE,ABOVE,15.17,NO,33.32,33.25,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-02-27,9,BULL_100,NO,INACTIVE,NONE,279.4,262.83,274.6,ABOVE,ABOVE,14.7,NO,33.5,33.1,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-02-28,10,BULL_100,NO,INACTIVE,NONE,278.59,263.2,274.63,ABOVE,ABOVE,14.78,NO,33.4,33.52,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-03-01,11,BULL_100,NO,INACTIVE,NONE,280.75,263.69,274.67,ABOVE,ABOVE,13.57,NO,32.9,32.7,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-03-04,12,BULL_100,NO,INACTIVE,NONE,279.09,264.18,274.71,ABOVE,ABOVE,14.63,NO,32.51,33.33,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-03-05,13,BULL_100,NO,INACTIVE,NONE,278.75,264.73,274.74,ABOVE,ABOVE,14.74,NO,33.05,33.43,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-03-06,14,BULL_100,NO,INACTIVE,NONE,276.94,265.29,274.77,ABOVE,ABOVE,15.74,NO,33.39,33.97,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-03-07,15,BULL_100,NO,INACTIVE,NONE,275.25,265.99,274.79,ABOVE,ABOVE,16.59,NO,34.17,34.71,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-03-08,16,BULL_100,NO,INACTIVE,NONE,274.96,266.83,274.79,ABOVE,ABOVE,16.05,NO,35.06,34.88,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-03-11,17,BULL_100,NO,INACTIVE,NONE,279.37,267.5,274.83,ABOVE,ABOVE,14.33,NO,34.8,33.14,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-03-12,18,BULL_100,NO,INACTIVE,NONE,279.26,268.14,274.86,ABOVE,ABOVE,13.77,NO,33.2,33.13,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-03-13,19,BULL_100,NO,INACTIVE,NONE,281.73,268.82,274.9,ABOVE,ABOVE,13.41,NO,33.11,32.32,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-03-14,20,BULL_100,NO,INACTIVE,NONE,281.23,269.45,274.95,ABOVE,ABOVE,13.5,NO,32.63,32.52,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-03-15,21,BULL_100,NO,INACTIVE,NONE,281.11,270.14,275.01,ABOVE,ABOVE,12.88,NO,32.28,32.02,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-03-18,22,BULL_100,NO,INACTIVE,NONE,282.68,270.9,275.06,ABOVE,ABOVE,13.1,NO,31.99,31.71,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-03-19,23,BULL_100,NO,INACTIVE,NONE,282.01,271.49,275.11,ABOVE,ABOVE,13.56,NO,31.6,31.87,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-03-20,24,BULL_100,NO,INACTIVE,NONE,281.4,272.03,275.15,ABOVE,ABOVE,13.91,NO,31.64,31.97,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-03-21,25,BULL_100,NO,INACTIVE,NONE,284.77,272.59,275.2,ABOVE,ABOVE,13.63,NO,32.15,30.85,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-03-22,26,BULL_100,NO,INACTIVE,NONE,279.24,273.03,275.22,ABOVE,ABOVE,16.48,NO,31.03,32.74,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-03-25,27,BULL_100,NO,INACTIVE,NONE,279.69,273.46,275.23,ABOVE,ABOVE,16.33,NO,32.85,32.5,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-03-26,28,BULL_100,NO,INACTIVE,NONE,280.97,273.9,275.25,ABOVE,ABOVE,14.68,NO,32.49,32.15,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-03-27,29,BULL_100,NO,INACTIVE,NONE,279.39,274.34,275.25,ABOVE,ABOVE,15.15,NO,32.25,32.71,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-03-28,30,BULL_100,NO,INACTIVE,NONE,281.44,274.76,275.27,ABOVE,ABOVE,14.43,NO,32.45,32.05,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-03-29,31,BULL_100,NO,INACTIVE,NONE,282.58,275.2,275.28,ABOVE,ABOVE,13.71,NO,31.91,31.57,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-04-01,32,BULL_100,NO,INACTIVE,NONE,285.97,275.66,275.32,ABOVE,ABOVE,13.4,NO,30.82,30.44,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
2019-04-02,33,BULL_100,NO,INACTIVE,NONE,285.53,276.04,275.36,ABOVE,ABOVE,13.36,NO,30.37,30.6,NO,NO,NO,0.0,0.0,100000.0,100000.0,0.0,100.0,0.0,0.0
