datetime,open,high,low,close,volume
2018-05-01,124.25,124.25,123.395,123.75,1277213.0
2018-05-02,124.17,124.53,123.59,123.79,1156129.0
2018-05-03,124.04,124.89,124.03,124.39,636763.0
2018-05-04,124.19,124.67,123.98,124.64,703643.0
2018-05-07,124.36,124.73,124.3,124.73,484165.0
2018-05-08,124.52,124.95,123.79,124.69,1050535.0
2018-05-09,123.76,124.86,123.71,124.39,590838.0
2018-05-10,124.38,125.37,124.36,125.16,724712.0
2018-05-11,125.44,125.66,124.85,124.94,669062.0
2018-05-14,125.15,125.22,124.44,124.46,807389.0
2018-05-15,124.24,124.26,122.14,122.31,1905339.0
2018-05-16,122.78,122.78,121.96,122.3,731935.0
2018-05-17,122.15,122.45,121.78,122.33,878987.0
2018-05-18,122.22,122.65,121.9,122.25,969454.0
2018-05-21,121.55,122.55,121.54,122.36,479058.0
2018-05-22,122.71,122.8,122.34,122.4,522522.0
2018-05-23,122.57,123.07,122.07,122.69,1069709.0
2018-05-24,122.81,123.82,122.78,123.64,1698336.0
2018-05-25,123.52,123.93,123.19,123.26,761418.0
2018-05-29,123.42,123.63,122.57,123.1,1411602.0
2018-05-30,123.07,123.6,122.89,123.35,652880.0
2018-05-31,123.72,123.77,122.87,123.03,870753.0
2018-06-01,123.18,123.18,122.16,122.6,1151694.0
2018-06-04,122.6,122.92,122.38,122.38,634931.0
2018-06-05,122.46,123.22,122.25,122.87,1221060.0
2018-06-06,122.88,123.34,122.63,122.98,893002.0
2018-06-07,122.98,123.49,122.69,122.92,644786.0
2018-06-08,123.05,123.21,122.91,123.05,707789.0
2018-06-11,122.83,123.42,122.61,122.84,690598.0
2018-06-12,122.95,123.18,122.56,122.69,1064465.0
2018-06-13,122.6,123.33,122.37,123.19,1205571.0
2018-06-14,123.47,124.03,123.33,123.4,1406314.0
2018-06-15,123.17,123.19,120.83,121.24,2895516.0
2018-06-18,121.31,121.48,120.99,121.12,676551.0
2018-06-19,121.45,121.45,120.39,121.0,837425.0
2018-06-20,120.64,120.83,120.1,120.23,649473.0
2018-06-21,119.76,120.32,119.53,120.08,864041.0
2018-06-22,120.3,120.39,120.02,120.31,626466.0
2018-06-25,120.07,120.4,119.83,119.89,934409.0
2018-06-26,119.3,119.58,118.9,119.23,1191788.0
2018-06-27,119.21,119.36,118.49,118.61,901468.0
2018-06-28,118.41,118.76,118.02,118.24,1221969.0
2018-06-29,118.42,118.94,118.26,118.69,852703.0
2018-07-02,118.32,118.39,117.4,117.6,1365557.0
2018-07-03,117.97,119.08,117.86,118.76,1302235.0
2018-07-05,118.74,119.32,118.68,118.75,910686.0
2018-07-06,118.93,119.05,118.74,118.93,461957.0
2018-07-09,119.5,119.89,119.06,119.06,709810.0
2018-07-10,118.97,118.99,118.15,118.9,644686.0
2018-07-11,118.65,118.69,117.62,117.63,1235009.0
2018-07-12,117.96,118.26,117.69,118.09,745112.0
2018-07-13,117.59,117.8,117.12,117.56,822513.0
2018-07-16,117.77,117.84,117.28,117.53,590830.0
2018-07-17,117.87,117.87,116.13,116.29,1584688.0
2018-07-18,115.77,116.35,115.77,116.27,734025.0
2018-07-19,115.53,116.47,114.78,115.87,2570694.0
2018-07-20,115.91,116.71,115.83,116.67,1087413.0
2018-07-23,116.59,116.7,115.76,115.97,950266.0
2018-07-24,115.96,116.43,115.88,116.0,669638.0
2018-07-25,116.11,116.83,116.11,116.58,1076719.0
2018-07-26,116.23,116.51,115.77,115.82,822114.0
2018-07-27,115.86,116.23,115.5,115.85,994340.0
2018-07-30,115.74,116.02,115.64,115.7,611878.0
2018-07-31,115.39,116.34,114.97,116.0,1190650.0
2018-08-01,115.69,115.95,115.13,115.18,1217583.0
2018-08-02,115.3,115.37,114.31,114.45,1305441.0
2018-08-03,114.1,115.53,114.1,114.91,1230746.0
2018-08-06,114.75,114.84,114.24,114.35,1120218.0
2018-08-07,114.6,115.1,114.42,114.62,882988.0
2018-08-08,115.0,115.02,114.24,114.93,695265.0
2018-08-09,114.77,115.21,114.7,114.76,530071.0
2018-08-10,114.5,115.22,114.3,114.71,1226531.0
2018-08-13,114.04,114.16,112.83,113.14,1858294.0
2018-08-14,113.12,113.48,112.84,113.05,842132.0
2018-08-15,112.38,112.42,111.07,111.12,1796159.0
2018-08-16,111.6,111.9,111.1,111.11,1326108.0
2018-08-17,111.5,112.28,111.27,112.28,1383230.0
2018-08-20,112.52,112.735,112.16,112.71,894275.0
2018-08-21,113.07,113.3,112.44,113.3,759131.0
2018-08-22,113.0,113.7,113.0,113.19,971642.0
2018-08-23,112.55,112.92,112.07,112.21,964846.0
2018-08-24,112.7,114.42,112.65,114.2,1504928.0
2018-08-27,113.95,114.8,113.91,114.8,773112.0
2018-08-28,114.78,114.94,113.56,113.62,1112526.0
2018-08-29,113.92,114.28,113.8,114.25,650472.0
2018-08-30,113.75,114.23,113.24,113.56,1032924.0
