datetime,open,high,low,close,volume
2018-05-01,160.9,164.0,160.15,163.59,9635220.0
2018-05-02,163.6,163.69,161.35,161.55,8305995.0
2018-05-03,161.93,162.42,159.23,161.82,13342156.0
2018-05-04,162.21,165.25,160.99,165.05,10522766.0
2018-05-07,165.66,166.78,165.51,166.01,8387726.0
2018-05-08,166.01,166.42,164.87,165.97,6581783.0
2018-05-09,166.42,168.0,165.78,167.87,7451080.0
2018-05-10,168.24,169.75,167.96,169.5,6209331.0
2018-05-11,169.39,169.91,168.72,169.52,4773310.0
2018-05-14,169.9,170.82,169.4,169.78,4542039.0
2018-05-15,169.47,169.63,166.98,167.67,10717977.0
2018-05-16,168.13,169.37,167.69,169.06,5048811.0
2018-05-17,168.4,169.6,167.51,168.45,5504233.0
2018-05-18,168.6,168.77,167.21,167.48,5814634.0
2018-05-21,168.4,169.49,167.68,168.39,5189034.0
2018-05-22,168.74,169.44,167.88,168.16,4884595.0
2018-05-23,167.62,169.63,166.49,169.38,7089780.0
2018-05-24,169.83,169.93,167.84,169.73,6463745.0
2018-05-25,169.91,170.33,169.22,169.74,6098917.0
2018-05-29,168.96,169.915,167.96,168.97,8541874.0
2018-05-30,169.68,170.48,169.22,170.06,5505905.0
2018-05-31,170.59,171.19,169.63,170.2,7608757.0
2018-06-01,170.59,172.82,170.47,172.65,8948321.0
2018-06-04,173.32,174.33,173.04,174.23,4361083.0
2018-06-05,174.51,175.22,174.06,175.07,4870985.0
2018-06-06,175.2,176.09,174.14,175.84,5258592.0
2018-06-07,176.24,176.27,173.56,174.47,7739170.0
2018-06-08,173.24,174.69,172.66,174.42,5335421.0
2018-06-11,174.58,175.34,174.08,175.05,4496162.0
2018-06-12,174.87,176.13,174.59,176.1,5420931.0
2018-06-13,175.83,177.13,175.43,175.82,8397068.0
2018-06-14,175.36,177.89,175.29,177.64,7410919.0
2018-06-15,177.2,177.6,176.11,176.89,8643335.0
2018-06-18,175.74,176.64,174.95,175.51,5811196.0
2018-06-19,174.55,176.2,173.7,176.2,8260651.0
2018-06-20,176.37,177.98,176.31,177.65,6639978.0
2018-06-21,177.69,177.87,175.25,175.48,9191312.0
2018-06-22,176.13,176.5,174.69,175.05,7631632.0
2018-06-25,174.29,174.29,169.81,171.38,16134463.0
