datetime,open,high,low,close,volume
2018-05-01,121.9,130.5,120.72,129.28,103155.0
2018-05-02,128.0,129.51,124.7,125.0,69239.0
2018-05-03,124.71,130.1,120.34,128.48,126560.0
2018-05-04,125.24,138.11,125.0,137.72,116554.0
2018-05-07,140.78,143.31,139.52,141.48,108032.0
2018-05-08,140.6,144.6,139.42,144.6,88611.0
2018-05-09,145.43,150.79,144.52,150.05,82219.0
2018-05-10,151.0,158.99,150.9,155.0,90629.0
2018-05-11,155.78,159.5,154.17,154.91,91586.0
2018-05-14,158.88,166.33,158.88,161.5,74814.0
2018-05-15,159.21,159.5,152.05,155.28,108972.0
2018-05-16,156.37,162.5,156.37,161.63,94819.0
2018-05-17,160.71,163.63,156.41,159.86,54611.0
2018-05-18,158.92,159.94,151.43,152.91,73967.0
2018-05-21,158.88,162.38,153.7,157.71,88703.0
2018-05-22,160.5,163.9,158.74,160.44,83035.0
2018-05-23,157.19,163.09,155.0,163.09,66530.0
2018-05-24,162.65,165.92,158.71,164.68,88496.0
2018-05-25,164.51,169.25,163.93,168.82,79369.0
2018-05-29,167.0,169.85,162.27,165.72,88878.0
2018-05-30,167.75,172.5,166.43,169.09,114701.0
2018-05-31,169.23,170.2,164.49,165.19,60189.0
2018-06-01,168.1,176.5,167.65,176.5,161063.0
2018-06-04,179.0,181.19,175.72,180.03,105341.0
2018-06-05,182.0,184.67,180.0,183.02,59042.0
2018-06-06,184.4,186.59,181.0,186.5,85556.0
2018-06-07,186.56,187.67,177.53,181.58,75824.0
2018-06-08,175.59,177.74,172.5,176.72,82944.0
2018-06-11,175.18,178.0,173.9,175.51,47158.0
2018-06-12,177.49,178.55,173.92,178.18,71499.0
2018-06-13,177.87,183.13,177.0,177.52,83542.0
2018-06-14,179.97,183.31,177.5,182.0,80176.0
2018-06-15,177.45,180.59,175.25,180.03,93514.0
2018-06-18,176.49,176.5,169.88,173.5,111265.0
2018-06-19,168.22,168.62,160.83,168.54,140299.0
2018-06-20,172.61,173.6,169.0,171.2,58800.0
2018-06-21,174.8,174.88,164.17,164.8,95121.0
2018-06-22,168.0,168.0,160.0,160.89,56826.0
2018-06-25,156.39,156.39,140.72,146.77,134246.0
2018-06-26,149.0,150.42,146.21,148.34,61709.0
2018-06-27,149.0,151.67,137.25,137.99,105682.0
2018-06-28,136.46,141.61,135.21,140.92,72992.0
2018-06-29,144.02,146.5,141.5,143.1,70637.0
2018-07-02,138.24,144.18,134.99,144.14,54482.0
2018-07-03,146.01,146.01,135.8,136.96,80219.0
2018-07-05,138.25,147.12,138.25,146.96,115778.0
2018-07-06,146.07,153.18,144.8,152.4,266206.0
2018-07-09,156.49,156.57,150.0,155.5,88093.0
2018-07-10,156.01,161.27,155.5,155.5,86830.0
2018-07-11,155.99,155.99,146.47,146.6,159544.0
2018-07-12,148.9,151.45,143.92,150.91,118539.0
2018-07-13,151.2,151.79,148.31,148.93,84227.0
2018-07-16,149.0,151.4,146.54,146.54,55885.0
2018-07-17,145.5,155.0,144.88,154.99,91422.0
2018-07-18,155.53,159.0,155.28,158.35,67334.0
2018-07-19,156.46,159.27,154.14,157.22,100730.0
2018-07-20,156.99,157.62,152.5,153.2,104987.0
2018-07-23,153.57,156.27,146.54,155.39,74815.0
2018-07-24,157.99,160.8,149.85,150.51,135498.0
2018-07-25,149.5,157.0,144.43,155.21,158782.0
2018-07-26,155.48,161.35,154.78,159.9,182097.0
2018-07-27,161.13,165.6,155.34,158.86,179074.0
2018-07-30,158.77,160.01,151.91,154.91,150608.0
2018-07-31,157.0,163.5,156.4,159.8,93165.0
2018-08-01,158.51,161.47,154.51,156.36,71885.0
2018-08-02,152.0,161.75,150.85,161.22,66856.0
2018-08-03,160.11,162.58,159.0,161.92,41765.0
2018-08-06,160.75,164.95,158.76,164.9,57672.0
2018-08-07,166.5,169.14,165.34,168.86,59793.0
2018-08-08,168.0,171.0,167.0,170.35,53142.0
2018-08-09,168.0,168.0,164.78,164.95,57111.0
2018-08-10,158.92,158.92,150.38,153.0,181102.0
2018-08-13,152.0,157.32,152.0,153.15,118704.0
2018-08-14,156.01,156.65,152.0,152.6,54813.0
2018-08-15,150.0,150.0,141.5,147.5,109752.0
2018-08-16,149.58,150.0,140.0,143.58,91880.0
2018-08-17,141.8,143.28,135.82,142.06,147469.0
2018-08-20,143.0,144.0,136.88,141.85,86419.0
2018-08-21,144.56,151.11,142.76,147.7,92534.0
2018-08-22,149.15,152.67,146.23,152.0,89007.0
2018-08-23,152.0,155.92,151.7,152.53,99325.0
2018-08-24,155.0,159.6,154.55,159.6,88957.0
2018-08-27,162.0,170.26,162.0,166.63,232430.0
2018-08-28,168.76,170.52,163.69,167.4,112485.0
2018-08-29,168.0,171.3,166.75,169.95,96880.0
2018-08-30,169.11,170.5,164.8,165.0,92357.0
2018-08-31,163.35,168.61,163.35,167.91,71493.0
2018-09-04,166.38,172.25,164.95,171.0,88444.0
2018-09-05,170.99,172.89,165.05,169.6,56717.0
2018-09-06,169.51,169.51,155.37,157.3,162844.0
2018-09-07,156.15,160.75,152.75,153.9,79731.0
2018-09-10,157.5,159.0,154.5,158.1,51485.0
2018-09-11,157.11,157.5,151.66,154.19,78384.0
2018-09-12,151.0,151.0,138.83,148.05,188548.0
2018-09-13,152.7,159.56,152.3,153.96,147938.0
2018-09-14,156.01,160.72,155.1,158.92,87410.0
2018-09-17,157.25,158.5,151.67,151.67,76142.0
2018-09-18,152.72,159.0,152.72,156.88,59374.0
2018-09-19,156.0,159.0,154.93,157.03,60313.0
2018-09-20,160.34,164.75,159.8,159.8,102917.0
2018-09-21,160.5,164.8,159.9,161.04,74645.0
2018-09-24,157.98,163.0,156.22,162.82,36623.0
2018-09-25,162.81,162.82,153.37,155.72,138733.0
2018-09-26,152.5,155.25,149.48,150.0,66293.0
2018-09-27,151.84,153.32,149.95,151.5,54028.0
2018-09-28,151.0,155.75,149.7,154.48,84981.0
2018-10-01,156.08,159.75,155.0,155.93,67527.0
2018-10-02,155.0,162.21,155.0,155.82,96147.0
2018-10-03,157.25,159.45,152.2,156.4,80971.0
2018-10-04,154.0,154.0,144.0,148.6,197327.0
2018-10-05,148.15,148.46,133.5,138.5,303122.0
2018-10-08,134.83,137.8,129.28,132.95,176439.0
2018-10-09,130.0,134.25,129.9,132.54,81618.0
2018-10-10,127.0,127.55,112.35,113.49,237440.0
2018-10-11,110.21,121.5,108.88,115.05,163004.0
2018-10-12,119.0,122.33,112.35,117.6,145602.0
2018-10-15,116.5,118.36,113.0,115.0,90240.0
2018-10-16,118.49,128.68,118.0,128.0,115254.0
2018-10-17,126.7,129.07,121.42,125.0,85097.0
2018-10-18,122.0,122.0,113.4,115.8,116856.0
2018-10-19,117.5,118.77,108.0,108.95,184772.0
2018-10-22,111.82,113.38,108.5,111.42,85030.0
2018-10-23,104.39,111.43,99.15,105.5,192644.0
2018-10-24,105.0,105.0,86.84,88.5,237018.0
2018-10-25,90.07,96.0,89.41,89.57,192638.0
2018-10-26,86.99,93.83,84.5,90.25,147798.0
2018-10-29,94.0,95.5,81.31,86.31,119440.0
2018-10-30,85.88,97.13,84.0,97.04,181633.0
2018-10-31,101.19,102.8,98.0,100.53,143060.0
2018-11-01,102.55,115.31,102.44,109.0,183621.0
2018-11-02,118.0,118.0,105.12,110.48,190402.0
2018-11-05,109.0,109.0,101.08,106.2,99391.0
2018-11-06,104.6,111.31,104.6,111.0,75567.0
2018-11-07,114.2,115.0,110.21,112.5,156402.0
2018-11-08,110.5,115.03,109.77,112.0,71284.0
2018-11-09,108.06,109.02,103.46,105.5,61663.0
2018-11-12,101.0,101.85,91.1,92.43,93638.0
2018-11-13,94.3,101.54,94.02,98.0,76548.0
2018-11-14,99.21,101.49,94.5,97.5,86108.0
2018-11-15,97.7,108.0,95.5,97.0,138141.0
2018-11-16,96.4,104.5,94.8,104.0,86127.0
2018-11-19,101.51,102.0,90.95,91.4,84394.0
2018-11-20,86.97,95.1,82.54,91.76,125421.0
2018-11-21,95.5,96.45,92.5,92.64,86975.0
2018-11-23,90.77,94.99,89.8,92.3,44263.0
2018-11-26,96.3,98.0,93.75,96.28,95667.0
2018-11-27,95.3,100.7,94.5,98.41,60795.0
2018-11-28,100.5,105.18,95.81,104.8,112664.0
2018-11-29,103.98,105.76,101.99,103.0,64470.0
2018-11-30,102.65,107.75,99.6,106.7,77943.0
2018-12-03,115.1,117.79,112.2,115.25,151796.0
2018-12-04,112.25,113.59,98.45,100.05,156611.0
2018-12-06,92.42,98.65,89.2,98.5,158789.0
2018-12-07,97.4,97.4,84.86,87.7,221540.0
2018-12-10,88.4,90.99,84.79,90.99,149231.0
2018-12-11,93.46,97.52,89.92,91.9,165291.0
2018-12-12,94.0,99.4,93.4,95.5,162266.0
2018-12-13,97.51,98.62,93.36,94.25,104115.0
2018-12-14,90.5,96.11,90.32,90.6,73282.0
2018-12-17,90.1,94.05,85.39,88.0,115629.0
2018-12-18,89.5,94.58,87.0,88.74,107856.0
2018-12-19,89.0,91.57,77.77,79.8,253259.0
2018-12-20,78.5,82.6,74.04,77.22,155466.0
2018-12-21,79.37,81.22,72.57,72.66,142465.0
2018-12-24,72.25,73.35,67.05,68.49,120247.0
2018-12-26,69.0,78.69,66.38,78.69,192041.0
2018-12-27,74.0,79.92,72.08,79.92,112679.0
2018-12-28,81.63,86.2,79.83,81.99,158799.0
2018-12-31,84.3,85.28,80.87,82.5,98295.0
2019-01-02,78.84,87.34,77.5,79.8,192450.0
2019-01-03,78.8,80.82,70.1,70.85,245384.0
2019-01-04,73.5,80.26,72.48,78.85,166672.0
2019-01-07,80.0,86.23,79.3,84.28,173303.0
2019-01-08,86.1,86.62,79.5,82.7,109432.0
2019-01-09,85.0,90.3,84.8,89.14,164759.0
2019-01-10,87.15,92.01,86.38,91.74,133099.0
2019-01-11,90.1,96.75,89.43,94.2,149115.0
2019-01-14,90.65,91.75,88.37,90.6,163726.0
2019-01-15,91.55,93.6,89.28,90.37,198035.0
2019-01-16,91.51,92.67,88.08,88.3,80919.0
2019-01-17,87.0,92.58,84.82,91.0,225611.0
2019-01-18,93.29,99.24,92.5,97.43,211009.0
2019-01-22,94.7,94.7,87.2,89.12,190464.0
2019-01-23,90.93,91.8,84.96,89.81,120030.0
2019-01-24,92.85,103.51,92.09,97.5,292679.0
2019-01-25,102.4,110.1,101.06,109.8,243718.0
2019-01-28,106.5,106.6,96.16,102.0,145098.0
