datetime,open,high,low,close,volume
2018-05-01,264.57,265.52,262.11,265.38,12166986.0
2018-05-02,265.27,265.68,262.36,262.71,12409460.0
2018-05-03,263.39,263.45,259.05,262.56,23936504.0
2018-05-04,263.18,266.78,261.15,266.44,13385187.0
2018-05-07,266.62,268.02,266.11,266.58,8848556.0
2018-05-08,266.73,267.31,265.15,266.74,10887878.0
2018-05-09,267.75,269.86,267.09,269.44,10525338.0
2018-05-10,269.94,272.38,269.58,271.91,10158982.0
2018-05-11,271.69,273.16,271.59,273.16,9545823.0
2018-05-14,273.34,274.08,272.37,272.88,9250236.0
2018-05-15,272.54,272.76,270.03,270.67,14118855.0
2018-05-16,271.32,272.75,270.47,272.39,8189344.0
2018-05-17,271.88,273.23,271.14,272.28,9572257.0
2018-05-18,272.31,272.6,270.93,271.15,8079020.0
2018-05-21,272.67,273.98,272.6,273.24,8795840.0
2018-05-22,273.72,274.25,272.24,272.56,8344183.0
2018-05-23,271.25,273.43,270.6,273.02,10283204.0
2018-05-24,273.24,273.5,270.78,273.14,10998635.0
2018-05-25,273.04,273.68,271.58,272.3,8416266.0
2018-05-29,270.8,271.17,267.76,269.03,18485267.0
2018-05-30,270.38,273.1,269.81,272.22,11374716.0
2018-05-31,272.74,273.0,270.255,271.08,13791655.0
2018-06-01,271.75,273.96,271.65,273.96,10879782.0
2018-06-04,274.4,275.19,274.26,274.78,8147764.0
2018-06-05,275.11,275.54,274.18,275.46,8278925.0
2018-06-06,275.87,277.7,275.09,277.47,9839798.0
2018-06-07,278.15,278.28,276.35,277.53,10719940.0
2018-06-08,276.38,278.4,275.6,278.4,8476284.0
2018-06-11,278.48,279.37,277.93,278.92,7523197.0
2018-06-12,278.63,279.33,278.19,279.26,7403206.0
2018-06-13,278.99,279.47,277.78,278.02,9818712.0
2018-06-14,277.61,279.33,277.34,278.71,8568528.0
2018-06-15,276.41,277.51,275.35,276.54,14478142.0
2018-06-18,275.92,276.8,274.95,275.41,8072092.0
2018-06-19,273.45,275.75,272.8,275.56,12817228.0
2018-06-20,276.26,276.72,275.59,276.26,7667063.0
2018-06-21,276.33,276.33,273.68,274.21,11867963.0
2018-06-22,275.15,275.78,274.46,274.55,9215037.0
2018-06-25,273.55,273.73,269.1,271.08,21524962.0
2018-06-26,271.11,272.56,270.63,272.02,12941139.0
2018-06-27,270.11,273.865,269.18,270.02,17317024.0
2018-06-28,270.42,271.745,268.48,271.05,13791093.0
2018-06-29,272.47,273.66,271.06,271.1,14600762.0
2018-07-02,269.52,272.04,269.24,271.9,10653833.0
2018-07-03,272.36,273.3,270.1,270.33,7574501.0
2018-07-05,271.6,273.2,270.965,272.52,9345746.0
2018-07-06,273.08,275.84,272.4,275.4,10716901.0
2018-07-09,276.47,278.42,276.28,278.38,7331298.0
2018-07-10,278.11,279.01,276.55,276.74,7186235.0
2018-07-11,276.51,278.04,276.42,277.11,12601207.0
2018-07-12,277.76,279.58,277.25,279.5,9800236.0
2018-07-13,279.64,279.93,278.65,279.82,8452196.0
2018-07-16,280.0,280.05,278.78,279.09,7361502.0
2018-07-17,278.95,280.91,278.35,280.84,8875473.0
2018-07-18,280.38,281.18,280.06,281.02,6634491.0
2018-07-19,280.43,280.74,279.46,280.11,9549787.0
2018-07-20,279.89,280.47,278.79,279.58,11016526.0
2018-07-23,279.2,281.05,279.06,280.99,7773305.0
2018-07-24,280.87,282.55,280.63,281.29,10166302.0
2018-07-25,281.4,284.37,280.81,283.0,13107286.0
2018-07-26,283.07,284.11,282.82,283.73,8980187.0
2018-07-27,283.86,284.16,280.38,281.32,12555770.0
2018-07-30,280.94,281.68,279.36,280.11,10392753.0
2018-07-31,280.14,282.3,280.04,281.36,11650205.0
2018-08-01,281.4,282.13,280.14,281.02,9426837.0
2018-08-02,279.79,282.71,278.81,282.52,10182891.0
2018-08-03,282.3,283.72,282.12,283.64,8437907.0
2018-08-06,283.6,284.98,283.17,284.65,6055063.0
2018-08-07,285.24,286.01,285.18,285.54,7174486.0
2018-08-08,285.58,285.91,284.94,285.14,7122176.0
2018-08-09,285.28,285.97,284.72,284.82,5387231.0
2018-08-10,283.84,284.08,282.36,283.7,12609625.0
2018-08-13,283.15,284.16,281.77,282.51,12108033.0
2018-08-14,283.6,284.17,282.49,283.97,8035154.0
2018-08-15,283.65,283.68,280.16,281.93,19532145.0
2018-08-16,282.56,285.04,282.55,284.08,11664480.0
2018-08-17,284.41,285.56,283.375,284.99,11311425.0
2018-08-20,285.75,285.97,285.06,285.48,6967575.0
2018-08-21,285.98,287.31,284.65,284.65,12134853.0
2018-08-22,285.4,286.76,285.24,286.18,8330331.0
2018-08-23,285.94,286.93,285.435,285.71,8402901.0
2018-08-24,286.34,287.69,286.22,287.61,10915425.0
2018-08-27,288.11,290.06,288.09,290.03,8561296.0
2018-08-28,289.87,290.53,289.4,290.16,7455023.0
2018-08-29,290.21,291.74,289.78,291.46,8733755.0
2018-08-30,291.1,291.36,289.63,289.87,10380288.0
2018-08-31,289.99,291.0,289.29,291.0,9948973.0
2018-09-04,291.12,291.19,288.69,289.88,9491822.0
2018-09-05,288.8,289.63,287.89,288.7,11906787.0
