datetime,open,high,low,close,volume
2018-05-01,118.75,118.94,118.23,118.54,2536523.0
2018-05-02,118.05,118.86,118.05,118.3,1035879.0
2018-05-03,118.74,119.3,118.69,119.0,1885924.0
2018-05-04,119.17,119.56,118.49,118.84,1501436.0
2018-05-07,118.82,119.2,118.735,118.89,1990786.0
2018-05-08,118.82,119.23,118.31,119.23,1451850.0
2018-05-09,118.29,118.41,117.98,118.11,2411001.0
2018-05-10,118.27,119.07,118.02,118.91,2736727.0
2018-05-11,119.26,119.43,118.82,119.22,1337635.0
2018-05-14,118.93,119.0,118.58,119.0,1623894.0
2018-05-15,118.22,118.22,116.7,117.3,3841156.0
2018-05-16,117.51,117.58,116.76,116.95,1821207.0
2018-05-17,116.75,116.815,116.09,116.26,2379998.0
2018-05-18,116.55,117.285,116.46,117.25,2684857.0
2018-05-21,117.14,117.37,116.95,117.27,1547147.0
2018-05-22,117.1,117.345,116.86,117.16,1306014.0
2018-05-23,117.39,118.36,117.39,118.36,3072088.0
2018-05-24,118.08,119.05,118.08,118.83,2419948.0
2018-05-25,119.27,119.83,119.27,119.75,2791976.0
2018-05-29,119.99,122.52,119.99,122.12,6116909.0
2018-05-30,121.6,121.6,120.36,121.1,3602738.0
2018-05-31,120.91,121.98,120.91,121.05,3174154.0
2018-06-01,120.59,120.7,119.85,120.01,2480739.0
2018-06-04,120.11,120.14,119.25,119.25,2146149.0
2018-06-05,119.83,120.17,119.56,119.56,1846204.0
2018-06-06,119.15,119.17,118.43,118.89,2447781.0
2018-06-07,118.26,120.49,118.26,119.84,4251901.0
2018-06-08,119.9,119.9,119.41,119.43,2214751.0
2018-06-11,119.28,119.4,118.95,119.31,2095838.0
2018-06-12,119.24,119.57,118.84,119.57,1767156.0
2018-06-13,119.5,119.64,118.64,119.4,2735305.0
2018-06-14,119.81,120.32,119.49,120.22,3441275.0
2018-06-15,120.59,121.09,120.28,120.38,2540253.0
2018-06-18,120.66,120.66,120.05,120.4,1530226.0
2018-06-19,121.11,121.25,120.71,120.74,1864514.0
2018-06-20,120.71,120.84,119.8,119.84,2451847.0
2018-06-21,120.1,120.74,119.97,120.55,2361060.0
2018-06-22,120.27,120.67,119.94,120.67,1252252.0
2018-06-25,120.92,121.11,120.6,120.85,2507833.0
2018-06-26,120.92,121.1,120.67,120.92,1825069.0
2018-06-27,121.55,122.2,121.19,122.2,2471975.0
