datetime,open,high,low,close,volume
2018-05-01,143.3,151.4,141.14,150.24,1255853.0
2018-05-02,149.99,150.61,144.18,144.85,1216438.0
2018-05-03,145.5,147.0,138.47,145.65,1634072.0
2018-05-04,146.44,154.65,143.18,154.05,1923959.0
2018-05-07,155.89,158.93,155.38,156.65,1577642.0
2018-05-08,157.01,157.94,153.51,156.51,1412132.0
2018-05-09,157.55,162.5,156.1,161.94,1218137.0
2018-05-10,163.1,167.3,162.0,166.61,1228818.0
2018-05-11,166.82,167.7,164.3,166.45,1175007.0
2018-05-14,167.8,170.46,166.36,167.38,1141125.0
2018-05-15,166.43,166.77,159.15,161.16,1668769.0
2018-05-16,162.49,166.0,161.2,165.0,795334.0
2018-05-17,163.17,166.69,160.55,163.2,909163.0
2018-05-18,163.4,164.03,159.68,160.35,756484.0
2018-05-21,163.28,166.23,161.02,162.96,1099914.0
2018-05-22,164.05,166.09,161.59,162.34,997460.0
2018-05-23,159.5,166.52,157.4,165.85,1303985.0
2018-05-24,56.41,56.42,53.74,55.61,1822332.0
2018-05-25,55.79,56.16,55.08,55.56,1909613.0
2018-05-29,54.84,55.77,53.83,54.85,2608244.0
2018-05-30,55.46,56.28,55.05,55.85,2252169.0
2018-05-31,56.24,56.97,55.44,55.96,2234919.0
2018-06-01,56.31,58.57,56.28,58.4,2366750.0
2018-06-04,59.06,60.1,58.8,60.0,1798409.0
2018-06-05,60.19,60.95,59.81,60.76,1529475.0
2018-06-06,60.91,61.86,59.89,61.62,1680720.0
2018-06-07,61.97,61.97,59.24,60.22,1960068.0
2018-06-08,59.04,60.39,58.3,60.13,1449812.0
2018-06-11,60.18,61.05,59.8,60.72,1113185.0
2018-06-12,60.85,61.88,60.28,61.88,1476427.0
2018-06-13,61.55,62.93,61.14,61.53,2032769.0
2018-06-14,61.02,63.66,60.96,63.4,2364867.0
2018-06-15,62.94,63.37,61.8,62.75,2503338.0
2018-06-18,61.73,62.75,60.93,61.5,2003102.0
2018-06-19,60.15,62.21,59.62,62.21,3175784.0
2018-06-20,62.44,64.13,62.4,63.76,2321628.0
2018-06-21,63.74,63.98,61.25,61.5,3364409.0
2018-06-22,62.03,62.5,60.61,61.15,1649826.0
2018-06-25,60.1,60.5,55.49,57.08,5266839.0
2018-06-26,57.17,58.78,57.11,58.15,2725435.0
2018-06-27,56.54,59.32,55.35,55.97,4032094.0
2018-06-28,56.32,57.41,54.57,57.07,3966705.0
2018-06-29,58.16,58.56,57.06,57.18,2558723.0
2018-07-02,56.0,58.47,55.3,58.34,2641849.0
2018-07-03,58.83,59.54,56.11,56.44,1617930.0
2018-07-05,56.84,58.59,56.6,58.0,2018054.0
2018-07-06,58.3,61.29,58.12,61.11,2472324.0
2018-07-09,62.0,63.3,61.4,63.22,2192038.0
2018-07-10,63.08,63.55,61.43,61.43,1877208.0
2018-07-11,61.12,62.65,61.01,61.83,2504211.0
2018-07-12,62.46,65.39,62.19,65.31,2775704.0
2018-07-13,65.49,65.63,64.6,65.2,2068917.0
2018-07-16,65.67,65.67,63.3,63.6,1699774.0
2018-07-17,63.47,66.4,62.7,66.32,2499979.0
2018-07-18,65.99,66.18,65.01,65.72,1419762.0
2018-07-19,65.48,65.55,64.3,65.08,2059502.0
2018-07-20,65.27,65.83,64.28,64.45,1665851.0
2018-07-23,63.89,66.5,63.2,66.48,1905271.0
2018-07-24,66.26,67.85,65.17,65.77,2563457.0
2018-07-25,65.99,68.9,64.2,65.72,2676759.0
2018-07-26,65.6,66.7,64.41,66.24,3305110.0
2018-07-27,66.58,67.12,61.78,62.7,3443982.0
2018-07-30,62.3,63.01,59.33,60.44,2901190.0
2018-07-31,60.48,62.9,59.91,62.0,2748984.0
2018-08-01,61.76,62.83,61.25,62.38,2271985.0
2018-08-02,61.21,65.1,60.6,64.97,3137473.0
2018-08-03,64.89,65.64,64.3,65.15,2465573.0
2018-08-06,65.4,66.56,64.99,66.43,2204682.0
2018-08-07,67.02,67.61,66.65,67.21,2347501.0
2018-08-08,67.24,67.84,66.42,67.13,1957565.0
2018-08-09,67.15,68.1,66.94,67.06,1830597.0
2018-08-10,66.35,66.55,65.03,65.96,2523110.0
2018-08-13,64.92,67.37,64.92,65.91,2946145.0
