datetime,open,high,low,close,volume
2018-05-01,130.14,131.93,127.12,131.85,226567.0
2018-05-02,132.13,132.24,127.4,127.85,130679.0
2018-05-03,128.55,128.71,122.51,127.55,373327.0
2018-05-04,126.98,133.71,125.56,132.68,312845.0
2018-05-07,133.73,135.59,132.81,133.77,190711.0
2018-05-08,132.59,134.49,131.3,134.25,171913.0
2018-05-09,135.98,138.3,134.21,137.76,238893.0
2018-05-10,138.39,142.14,138.26,141.08,230295.0
2018-05-11,142.22,143.36,140.95,142.88,184479.0
2018-05-14,143.93,144.75,142.12,142.87,219736.0
2018-05-15,142.34,142.56,138.46,139.18,212709.0
2018-05-16,140.12,142.59,139.09,141.89,134211.0
2018-05-17,141.31,143.31,140.1,141.82,184099.0
2018-05-18,142.11,142.11,139.71,140.5,199377.0
2018-05-21,142.78,144.41,142.49,143.09,166178.0
2018-05-22,144.35,144.81,141.71,142.14,122799.0
2018-05-23,139.56,143.5,139.29,142.87,145129.0
2018-05-24,47.82,47.89,46.45,47.54,292211.0
2018-05-25,47.86,47.86,46.84,47.16,242177.0
2018-05-29,46.36,46.6,44.85,45.57,556190.0
2018-05-30,46.16,47.55,46.07,47.1,482751.0
2018-05-31,47.43,47.43,46.06,46.47,386392.0
2018-06-01,46.91,47.93,46.85,47.93,320608.0
2018-06-04,48.24,48.59,48.13,48.4,286725.0
2018-06-05,48.58,48.76,48.04,48.65,311759.0
2018-06-06,48.96,49.92,48.55,49.78,326903.0
2018-06-07,50.09,50.22,49.16,49.78,413652.0
2018-06-08,49.16,50.26,49.14,50.26,332048.0
2018-06-11,50.21,50.78,50.05,50.56,206526.0
2018-06-12,50.58,50.74,50.13,50.72,199102.0
2018-06-13,50.73,50.83,49.93,50.0,435869.0
2018-06-14,49.93,50.72,49.91,50.35,203231.0
2018-06-15,49.69,50.36,49.23,50.0,339555.0
2018-06-18,49.52,49.96,48.98,49.16,306939.0
2018-06-19,48.0,49.43,47.9,49.18,426207.0
2018-06-20,49.59,49.88,49.29,49.6,246674.0
2018-06-21,49.2,49.52,48.25,48.52,258476.0
2018-06-22,49.15,49.33,48.68,48.7,161518.0
2018-06-25,48.13,48.28,45.79,46.95,932692.0
2018-06-26,46.79,47.57,46.68,47.24,303947.0
2018-06-27,46.39,48.25,45.84,46.1,409781.0
2018-06-28,46.53,47.11,45.44,46.88,359613.0
2018-06-29,47.52,48.1,46.7,46.7,335663.0
2018-07-02,46.14,47.24,45.81,47.15,376285.0
2018-07-03,47.63,47.89,46.4,46.4,205878.0
2018-07-05,47.24,47.795,46.67,47.5,306042.0
2018-07-06,47.74,49.18,47.43,48.95,264894.0
2018-07-09,49.37,50.53,49.37,50.53,305544.0
2018-07-10,50.46,50.87,49.58,49.68,424186.0
2018-07-11,49.52,50.34,49.5,49.63,609502.0
2018-07-12,50.25,51.15,50.08,51.14,475810.0
2018-07-13,51.1,51.33,50.63,51.2,407602.0
2018-07-16,51.14,51.24,50.72,50.8,395306.0
2018-07-17,50.73,51.85,50.48,51.77,376906.0
2018-07-18,51.48,51.99,51.39,51.93,251264.0
2018-07-19,51.62,51.7,51.01,51.25,455803.0
2018-07-20,50.9,51.55,50.7,51.05,446499.0
2018-07-23,51.0,51.84,50.8,51.84,323719.0
2018-07-24,51.86,52.68,51.64,51.93,441444.0
2018-07-25,51.92,53.68,51.77,52.92,592874.0
2018-07-26,52.96,53.53,52.84,53.27,358296.0
