datetime,open,high,low,close,volume,source
2011-01-03,2.9068,2.9682,2.9049,2.9288,49921632.0,polygon
2011-01-04,2.9517,2.9527,2.8732,2.9196,66064032.0,polygon
2011-01-05,2.8961,2.9764,2.8907,2.969,42455088.0,polygon
2011-01-06,2.9732,2.984,2.9289,2.9515,51255648.0,polygon
2011-01-07,2.9672,2.9799,2.8688,2.9354,49203432.0,polygon
2011-01-10,2.9014,2.9371,2.8722,2.9261,62935200.0,polygon
2011-01-11,2.9612,2.9765,2.9229,2.9538,63877032.0,polygon
2011-01-12,3.0103,3.0449,2.9939,3.0368,68267376.0,polygon
2011-01-13,3.0374,3.0432,2.9983,3.027,67740552.0,polygon
2011-01-14,3.0079,3.0877,3.0022,3.0796,67155120.0,polygon
2011-01-18,3.0782,3.1103,3.0671,3.1035,37789272.0,polygon
2011-01-19,3.0965,3.1008,2.9865,3.0999,66959208.0,polygon
2011-01-20,2.9896,3.0204,2.9331,2.9997,90010008.0,polygon
2011-01-21,3.054,3.074,3.0089,3.0229,57018384.0,polygon
2011-01-24,3.0128,3.0803,3.0107,3.0699,46275480.0,polygon
2011-01-25,3.0415,3.0764,2.9995,3.0739,66733776.0,polygon
2011-01-26,3.0945,3.136,3.0788,3.111,59608728.0,polygon
2011-01-27,3.1106,3.1472,3.0954,3.1325,52637904.0,polygon
2011-01-28,3.1457,3.1578,2.9545,2.9671,97843392.0,polygon
2011-01-31,2.9939,3.0413,2.9706,3.0328,50226192.0,polygon
2011-02-01,3.0879,3.1957,3.085,3.1775,47194992.0,polygon
2011-02-02,3.1607,3.1867,3.1504,3.16,41495688.0,polygon
2011-02-03,3.1468,3.1965,3.0957,3.18,37681920.0,polygon
2011-02-04,3.186,3.2142,3.1426,3.2121,38250864.0,polygon
2011-02-07,3.2318,3.3017,3.2313,3.2699,32926248.0,polygon
2011-02-08,3.2811,3.3192,3.2533,3.3145,31174704.0,polygon
2011-02-09,3.2882,3.3182,3.245,3.2917,50530464.0,polygon
2011-02-10,3.2404,3.3056,3.2202,3.2964,34558416.0,polygon
2011-02-11,3.2546,3.3672,3.2546,3.3552,42177384.0,polygon
2011-02-14,3.3521,3.3851,3.3378,3.3735,29715336.0,polygon
2011-02-15,3.3457,3.3631,3.3196,3.3474,36357480.0,polygon
2011-02-16,3.3788,3.4208,3.3593,3.4045,49911264.0,polygon
2011-02-17,3.3786,3.4514,3.3706,3.4404,28641024.0,polygon
2011-02-18,3.4471,3.4732,3.4245,3.4617,36608472.0,polygon
2011-02-22,3.3504,3.4092,3.2254,3.2554,68113944.0,polygon
2011-02-23,3.2446,3.2697,3.1318,3.2015,58278384.0,polygon
2011-02-24,3.1813,3.2218,3.095,3.1899,69458472.0,polygon
2011-02-25,3.2287,3.2921,3.2188,3.2825,27015960.0,polygon
2011-02-28,3.3209,3.3596,3.2905,3.348,30600816.0,polygon
2011-03-01,3.3809,3.3884,3.18,3.18,58599744.0,polygon
2011-03-02,3.1667,3.2442,3.1559,3.1967,39907176.0,polygon
2011-03-03,3.2888,3.3759,3.2855,3.3617,28769640.0,polygon
2011-03-04,3.3617,3.3645,3.225,3.2909,40575600.0,polygon
2011-03-07,3.3171,3.3409,3.1605,3.2071,27901416.0,polygon
2011-03-08,3.2246,3.3259,3.1846,3.2921,22852776.0,polygon
2011-03-09,3.2734,3.3117,3.2225,3.2813,22912272.0,polygon
2011-03-10,3.1817,3.1817,3.09,3.0975,36936888.0,polygon
2011-03-11,3.0625,3.195,3.0625,3.1625,29414256.0,polygon
2011-03-14,3.0971,3.1367,3.033,3.1067,28986000.0,polygon
2011-03-15,2.8525,3.0521,2.85,3.0025,45383256.0,polygon
2011-03-16,2.973,2.9992,2.7696,2.8296,71227536.0,polygon
2011-03-17,2.9517,2.9767,2.8917,2.9371,30581208.0,polygon
2011-03-18,3.0492,3.0521,2.9583,2.9771,30579192.0,polygon
2011-03-21,3.0896,3.1313,3.0763,3.1117,21273000.0,polygon
2011-03-22,3.1138,3.1233,3.0717,3.0817,23707128.0,polygon
2011-03-23,3.0538,3.13,3.0125,3.1063,24763560.0,polygon
2011-03-24,3.1625,3.2083,3.1063,3.1938,29617776.0,polygon
2011-03-25,3.2175,3.2662,3.2,3.2209,26234136.0,polygon
2011-03-28,3.2487,3.27,3.1992,3.2013,27547464.0,polygon
2011-03-29,3.1942,3.2659,3.1621,3.2642,22493016.0,polygon
2011-03-30,3.318,3.3605,3.3025,3.3313,21849912.0,polygon
2011-03-31,3.3234,3.35,3.308,3.3213,14544336.0,polygon
