date,state,spy_close,upro_close,vix,shares_held,cash_held,portfolio_value,upro_allocation_pct,data_source
2011-10-17,CASH,120.23,2.2567,33.39,0.0,100000.0,100000.0,0.0,polygon
2011-10-18,CASH,122.58,2.3899,31.56,0.0,100000.0,100000.0,0.0,polygon
2011-10-19,CASH,121.13,2.3059,34.44,0.0,100000.0,100000.0,0.0,polygon
2011-10-20,CASH,121.67,2.3338,34.78,0.0,100000.0,100000.0,0.0,polygon
2011-10-21,CASH,123.97,2.4659,31.32,0.0,100000.0,100000.0,0.0,polygon
2011-10-24,CASH,125.49,2.5625,29.26,0.0,100000.0,100000.0,0.0,polygon
2011-10-25,CASH,123.05,2.4105,32.22,0.0,100000.0,100000.0,0.0,polygon
2011-10-26,CASH,124.3,2.483,29.86,0.0,100000.0,100000.0,0.0,polygon
2011-10-27,CASH,128.63,2.7367,25.46,0.0,100000.0,100000.0,0.0,polygon
2011-10-28,SMA_RECOVERY,128.6,2.7471,24.53,27742.8423,24823.79,101036.15,75.4,polygon
2011-10-31,BULL_100,125.5,2.535,29.96,36744.8098,890.29,94038.38,99.1,polygon
2011-11-01,CASH,122.0,2.3313,34.77,0.0,86150.74,86150.74,0.0,polygon
2011-11-02,CASH,123.99,2.4434,32.74,0.0,86150.74,86150.74,0.0,polygon
2011-11-03,CASH,126.25,2.5746,30.5,0.0,86150.74,86150.74,0.0,polygon
2011-11-04,CASH,125.48,2.5288,30.16,0.0,86150.74,86150.74,0.0,polygon
2011-11-07,CASH,126.26,2.5746,29.85,0.0,86150.74,86150.74,0.0,polygon
2011-11-08,CASH,127.88,2.6742,27.48,0.0,86150.74,86150.74,0.0,polygon
2011-11-09,SMA_RECOVERY,123.16,2.3796,36.16,25957.3589,21278.67,83046.8,74.4,polygon
2011-11-10,CASH,124.32,2.4446,32.81,0.0,85254.49,85254.49,0.0,polygon
2011-11-11,CASH,126.66,2.5863,30.04,0.0,85254.49,85254.49,0.0,polygon
2011-11-14,CASH,125.46,2.5088,31.13,0.0,85254.49,85254.49,0.0,polygon
2011-11-15,CASH,126.08,2.55,31.22,0.0,85254.49,85254.49,0.0,polygon
2011-11-16,CASH,124.08,2.425,33.51,0.0,85254.49,85254.49,0.0,polygon
2011-11-17,CASH,122.11,2.3096,34.51,0.0,85254.49,85254.49,0.0,polygon
2011-11-18,CASH,121.98,2.2992,32.0,0.0,85254.49,85254.49,0.0,polygon
2011-11-21,CASH,119.66,2.1667,32.91,0.0,85254.49,85254.49,0.0,polygon
2011-11-22,CASH,119.19,2.1434,31.97,0.0,85254.49,85254.49,0.0,polygon
2011-11-23,CASH,116.56,2.0046,33.98,0.0,85254.49,85254.49,0.0,polygon
2011-11-25,CASH,116.34,1.9838,34.47,0.0,85254.49,85254.49,0.0,polygon
2011-11-28,CASH,119.71,2.1622,32.13,0.0,85254.49,85254.49,0.0,polygon
2011-11-29,CASH,120.05,2.1792,30.64,0.0,85254.49,85254.49,0.0,polygon
2011-11-30,CASH,124.99,2.45,27.8,0.0,85254.49,85254.49,0.0,polygon
2011-12-01,CASH,124.97,2.4463,27.41,0.0,85254.49,85254.49,0.0,polygon
2011-12-02,CASH,124.86,2.4425,27.52,0.0,85254.49,85254.49,0.0,polygon
2011-12-05,CASH,126.22,2.5217,27.84,0.0,85254.49,85254.49,0.0,polygon
2011-12-06,CASH,126.26,2.5238,28.13,0.0,85254.49,85254.49,0.0,polygon
2011-12-07,CASH,126.73,2.5534,28.67,0.0,85254.49,85254.49,0.0,polygon
2011-12-08,SMA_RECOVERY,123.95,2.3855,30.59,25571.2334,21057.88,82058.06,74.3,polygon
2011-12-09,CASH,126.05,2.5046,26.38,0.0,82637.6,82637.6,0.0,polygon
2011-12-12,CASH,124.21,2.3967,25.67,0.0,82637.6,82637.6,0.0,polygon
2011-12-13,CASH,123.05,2.3263,25.41,0.0,82637.6,82637.6,0.0,polygon
2011-12-14,CASH,121.74,2.25,26.04,0.0,82637.6,82637.6,0.0,polygon
2011-12-15,CASH,122.19,2.2742,25.11,0.0,82637.6,82637.6,0.0,polygon
2011-12-16,CASH,121.59,2.2871,24.29,0.0,82637.6,82637.6,0.0,polygon
