trade_number,signal_date,execution_date,action,state_from,state_to,trigger_reason,exec_price_upro_open,shares_before,shares_delta,shares_after,trade_value_dollars,commission_dollars,slippage_dollars,portfolio_value_at_close,data_source
1,2011-10-27,2011-10-28,BUY,CASH,SMA_RECOVERY,"SMA_RECOVERY: SPY>128(200SMA), VIX=25.5<30",2.7034,0.0,27742.8423,27742.8423,75000.0,138.71,37.5,101036.15,polygon
2,2011-10-28,2011-10-31,BUY,SMA_RECOVERY,BULL_100,RE-ENTRY COMPLETE: VIX=24.5<30 (50-SMA check skipped),2.6484,27742.8423,9001.9675,36744.8098,23840.81,45.01,47.68,94038.38,polygon
3,2011-10-31,2011-11-01,SELL,BULL_100,CASH,"KILL: VIX=30.0, SPY=125.50 vs 200SMA=127.57",2.33,36744.8098,-36744.8098,0.0,85615.41,183.72,171.23,86150.74,polygon
4,2011-11-08,2011-11-09,BUY,CASH,SMA_RECOVERY,"SMA_RECOVERY: SPY>127(200SMA), VIX=27.5<30",2.4892,0.0,25957.3589,25957.3589,64613.06,129.79,129.23,83046.8,polygon
5,2011-11-09,2011-11-10,SELL,SMA_RECOVERY,CASH,"KILL: VIX=36.2, SPY=123.16 vs 200SMA=127.43",2.4746,25957.3589,-25957.3589,0.0,64234.08,129.79,128.47,85254.49,polygon
6,2011-12-07,2011-12-08,BUY,CASH,SMA_RECOVERY,"SMA_RECOVERY: SPY>127(200SMA), VIX=28.7<30",2.5005,0.0,25571.2334,25571.2334,63940.87,127.86,127.88,82058.06,polygon
7,2011-12-08,2011-12-09,SELL,SMA_RECOVERY,CASH,"KILL: VIX=30.6, SPY=123.95 vs 200SMA=126.56",2.418,25571.2334,-25571.2334,0.0,61831.24,127.86,123.66,82637.6,polygon
8,2011-12-26,2011-12-27,BUY,CASH,SMA_RECOVERY,"SMA_RECOVERY: SPY>126(200SMA), VIX=20.7<30",2.5463,0.0,24340.4944,24340.4944,61978.2,121.7,30.99,82808.64,polygon
9,2011-12-27,2011-12-28,BUY,SMA_RECOVERY,BULL_100,RE-ENTRY COMPLETE: VIX=21.9<30 (50-SMA check skipped),2.5667,24340.4944,7666.2238,32006.7182,19676.9,38.33,9.84,79822.24,polygon
10,2011-12-28,2011-12-29,SELL,BULL_100,CASH,"KILL: VIX=23.5, SPY=124.83 vs 200SMA=126.06",2.4892,32006.7182,-32006.7182,0.0,79671.12,160.03,159.34,80133.4,polygon
11,2011-12-29,2011-12-30,BUY,CASH,SMA_RECOVERY,"SMA_RECOVERY: SPY>126(200SMA), VIX=22.6<30",2.535,0.0,23708.1055,23708.1055,60100.05,118.54,30.05,79304.38,polygon
12,2012-01-02,2012-01-03,SELL,SMA_RECOVERY,CASH,"KILL: VIX=23.4, SPY=125.50 vs 200SMA=126.05",2.6367,23708.1055,-23708.1055,0.0,62511.16,118.54,125.02,82152.36,polygon
13,2012-01-03,2012-01-04,BUY,CASH,SMA_RECOVERY,"SMA_RECOVERY: SPY>126(200SMA), VIX=23.0<30",2.6021,0.0,23678.6707,23678.6707,61614.27,118.39,30.81,82694.58,polygon
14,2012-01-04,2012-01-05,BUY,SMA_RECOVERY,BULL_100,RE-ENTRY COMPLETE: VIX=22.2<30 (50-SMA check skipped),2.5917,23678.6707,7551.539,31230.2097,19571.32,37.76,9.79,83792.41,polygon
15,2012-02-08,2012-02-09,SELL,BULL_100,BULL_TRIMMED,RSI TRIM: RSI=75.0>75.0,3.1304,31230.2097,-7623.0656,23607.1441,23863.24,38.12,11.93,98324.85,polygon
16,2012-03-06,2012-03-07,BUY,BULL_TRIMMED,BULL_100,RSI RECOVERY: RSI=48.8<60,3.098,23607.1441,7619.7659,31226.91,23606.03,38.1,11.8,98979.78,polygon
17,2012-04-11,2012-04-12,SELL,BULL_100,DEFENSIVE,DEFENSIVE: SPY below 50-SMA for 2d,3.2655,31226.91,-15471.4739,15755.4361,50522.1,77.36,25.26,104738.78,polygon
18,2012-04-18,2012-04-19,BUY,DEFENSIVE,BULL_100,DEF EXIT: SPY above 50-SMA for 2d,3.3696,15755.4361,14928.2979,30683.734,50302.39,74.64,25.15,102277.6,polygon
19,2012-04-20,2012-04-23,SELL,BULL_100,DEFENSIVE,DEFENSIVE: SPY below 50-SMA for 2d,3.215,30683.734,-15194.9663,15488.7677,48851.82,75.97,24.43,99809.9,polygon
20,2012-04-26,2012-04-27,BUY,DEFENSIVE,BULL_100,DEF EXIT: SPY above 50-SMA for 2d,3.508,15488.7677,13869.922,29358.6897,48655.69,69.35,24.33,103458.36,polygon
21,2012-05-07,2012-05-08,SELL,BULL_100,DEFENSIVE,DEFENSIVE: SPY below 50-SMA for 2d,3.1913,29358.6897,-14531.031,14827.6587,46372.88,72.66,23.19,94783.38,polygon
22,2012-06-01,2012-06-04,SELL,DEFENSIVE,CASH,"KILL: VIX=26.7, SPY=128.16 vs 200SMA=128.63",2.6488,14827.6587,-14827.6587,0.0,39275.5,74.14,78.55,86346.47,polygon
23,2012-06-05,2012-06-06,BUY,CASH,SMA_RECOVERY,"SMA_RECOVERY: SPY>129(200SMA), VIX=24.7<30",2.7455,0.0,23587.6358,23587.6358,64759.85,117.94,32.38,89231.88,polygon
24,2012-06-06,2012-06-07,BUY,SMA_RECOVERY,BULL_100,RE-ENTRY COMPLETE: VIX=22.2<30 (50-SMA check skipped),2.968,23587.6358,6914.3713,30502.0072,20521.85,34.57,10.26,88501.88,polygon
25,2012-06-08,2012-06-11,SELL,BULL_100,DEFENSIVE,DEFENSIVE: SPY below 50-SMA for 2d,3.0163,30502.0072,-15106.8513,15395.1559,45566.8,75.53,22.78,89964.89,polygon
26,2012-06-20,2012-06-21,BUY,DEFENSIVE,BULL_100,DEF EXIT: SPY above 50-SMA for 2d,3.1567,15395.1559,14378.5394,29773.6953,45388.74,71.89,22.69,88181.02,polygon
27,2012-06-22,2012-06-25,SELL,BULL_100,DEFENSIVE,DEFENSIVE: SPY below 50-SMA for 2d,2.9075,29773.6953,-14739.8527,15033.8426,42856.12,73.7,21.43,86513.34,polygon
28,2012-07-02,2012-07-03,BUY,DEFENSIVE,BULL_100,DEF EXIT: SPY above 50-SMA for 2d,3.2,15033.8426,13343.2902,28377.1327,42698.53,66.72,21.35,93446.46,polygon
29,2012-09-14,2012-09-17,SELL,BULL_100,BULL_TRIMMED,RSI TRIM: RSI=76.1>75.0,3.9484,28377.1327,-6936.7818,21440.351,27389.19,34.68,13.69,112591.37,polygon
30,2012-09-25,2012-09-26,BUY,BULL_TRIMMED,BULL_100,RSI RECOVERY: RSI=52.5<60,3.7809,21440.351,7161.6937,28602.0447,27077.65,35.81,13.54,107336.77,polygon
31,2012-10-22,2012-10-23,SELL,BULL_100,DEFENSIVE,DEFENSIVE: SPY below 50-SMA for 2d,3.5913,28602.0447,-14155.8118,14446.2329,50837.77,70.78,25.42,103198.7,polygon
32,2012-11-08,2012-11-09,SELL,DEFENSIVE,CASH,"KILL: VIX=18.5, SPY=138.04 vs 200SMA=138.27",3.2663,14446.2329,-14446.2329,0.0,47185.73,72.23,94.37,98803.69,polygon
33,2012-11-19,2012-11-20,BUY,CASH,SMA_RECOVERY,"SMA_RECOVERY: SPY>138(200SMA), VIX=15.2<30",3.3517,0.0,22109.0088,22109.0088,74102.76,110.55,37.05,99199.97,polygon
34,2012-11-20,2012-11-21,BUY,SMA_RECOVERY,BULL_100,RE-ENTRY COMPLETE: VIX=15.1<30 (50-SMA check skipped),3.3805,22109.0088,6969.4992,29078.508,23560.39,34.85,11.78,99644.57,polygon
35,2012-11-23,2012-11-26,SELL,BULL_100,DEFENSIVE,DEFENSIVE: SPY below 50-SMA for 2d,3.4755,29078.508,-14403.1156,14675.3924,50058.03,72.02,25.03,102369.48,polygon
36,2012-12-07,2012-12-10,BUY,DEFENSIVE,BULL_100,DEF EXIT: SPY above 50-SMA for 2d,3.5905,14675.3924,13889.7882,28565.1806,49871.28,69.45,24.94,104133.32,polygon
37,2012-12-28,2012-12-31,SELL,BULL_100,DEFENSIVE,DEFENSIVE: SPY below 50-SMA for 2d,3.4721,28565.1806,-14146.9941,14418.1865,49119.78,70.73,24.56,102983.21,polygon
38,2013-01-02,2013-01-03,BUY,DEFENSIVE,BULL_100,DEF EXIT: SPY above 50-SMA for 2d,3.9425,14418.1865,12402.7895,26820.976,48898.0,62.01,24.45,106076.95,polygon
39,2013-06-21,2013-06-24,SELL,BULL_100,DEFENSIVE,DEFENSIVE: SPY below 50-SMA for 2d,4.9517,26820.976,-13311.3666,13509.6094,65913.89,66.56,32.96,133174.13,polygon
40,2013-07-08,2013-07-09,BUY,DEFENSIVE,BULL_100,DEF EXIT: SPY above 50-SMA for 2d,5.6817,13509.6094,11503.6838,25013.2932,65360.48,57.52,32.68,143670.97,polygon
41,2013-08-20,2013-08-21,SELL,BULL_100,DEFENSIVE,DEFENSIVE: SPY below 50-SMA for 2d,5.6725,25013.2932,-12388.0626,12625.2306,70271.29,61.94,35.14,142441.78,polygon
42,2013-08-23,2013-08-26,BUY,DEFENSIVE,BULL_100,DEF EXIT: SPY above 50-SMA for 2d,5.8442,12625.2306,11989.0671,24614.2976,70066.51,59.95,35.03,143362.86,polygon
43,2013-08-27,2013-08-28,SELL,BULL_100,DEFENSIVE,DEFENSIVE: SPY below 50-SMA for 2d,5.4734,24614.2976,-12183.0892,12431.2084,66682.92,60.92,33.34,136764.64,polygon
44,2013-09-10,2013-09-11,BUY,DEFENSIVE,BULL_100,DEF EXIT: SPY above 50-SMA for 2d,6.0242,12431.2084,11041.859,23473.0674,66518.37,55.21,33.26,144682.86,polygon
45,2013-10-08,2013-10-09,SELL,BULL_100,DEFENSIVE,DEFENSIVE: SPY below 50-SMA for 2d,5.7867,23473.0674,-11620.7614,11852.306,67245.86,58.1,33.62,136733.67,polygon
46,2013-10-11,2013-10-14,BUY,DEFENSIVE,BULL_100,DEF EXIT: SPY above 50-SMA for 2d,6.1409,11852.306,10923.6818,22775.9878,67081.24,54.62,33.54,145667.44,polygon
47,2014-01-27,2014-01-28,SELL,BULL_100,DEFENSIVE,DEFENSIVE: SPY below 50-SMA for 2d,7.1809,22775.9878,-11295.7619,11480.2259,81113.74,56.48,40.56,165917.36,polygon
48,2014-02-12,2014-02-13,BUY,DEFENSIVE,BULL_100,DEF EXIT: SPY above 50-SMA for 2d,7.4642,11480.2259,10806.3821,22286.608,80661.0,54.03,40.33,174104.36,polygon
49,2014-04-11,2014-04-14,SELL,BULL_100,DEFENSIVE,DEFENSIVE: SPY below 50-SMA for 2d,7.7567,22286.608,-11041.0724,11245.5356,85642.29,55.21,42.82,174339.34,polygon
50,2014-04-18,2014-04-21,BUY,DEFENSIVE,BULL_100,DEF EXIT: SPY above 50-SMA for 2d,8.205,11245.5356,10400.5139,21646.0495,85336.22,52.0,42.67,181127.76,polygon
