date,state,spy_close,qqq_close,vix,upro_shares,tqqq_shares,cash,upro_value,tqqq_value,portfolio_value,data_source
2012-01-05,CASH,128.04,57.61,21.48,0.0,0.0,100000.0,0.0,0.0,100000.0,polygon
2012-01-06,SMA_RECOVERY,127.71,57.81,20.63,21119.6215,48188.1264,24669.4,55730.46,18894.56,99294.42,polygon
2012-01-09,BULL_100,128.02,57.62,21.07,27920.4581,62433.835,895.26,74036.68,24274.28,99206.22,polygon
2012-01-10,BULL_100,129.13,58.04,20.69,27920.4581,62433.835,895.26,75968.77,24773.75,101637.78,polygon
2012-01-11,BULL_100,129.2,58.16,21.05,27920.4581,62433.835,895.26,76178.18,24948.56,102022.0,polygon
2012-01-12,BULL_100,129.51,58.39,20.47,27920.4581,62433.835,895.26,76666.79,25242.0,102804.05,polygon
2012-01-13,BULL_100,128.84,58.18,20.91,27920.4581,62433.835,895.26,75851.51,24954.8,101701.57,polygon
2012-01-17,BULL_100,129.34,58.71,22.2,27920.4581,62433.835,895.26,76292.65,25622.85,102810.76,polygon
2012-01-18,BULL_100,130.77,59.49,20.89,27920.4581,62433.835,895.26,78841.79,26640.52,106377.57,polygon
2012-01-19,BULL_100,131.46,59.86,19.87,27920.4581,62433.835,895.26,80075.87,27177.45,108148.58,polygon
2012-01-20,BULL_100,131.54,59.77,18.28,27920.4581,62433.835,895.26,80248.98,27046.34,108190.58,polygon
2012-01-23,BULL_100,131.61,59.79,18.67,27920.4581,62433.835,895.26,80318.78,27052.58,108266.62,polygon
2012-01-24,BULL_100,131.46,59.68,18.91,27920.4581,62433.835,895.26,80087.04,26902.74,107885.04,polygon
2012-01-25,BULL_100,132.56,60.43,18.31,27920.4581,62433.835,895.26,82052.64,27926.65,110874.56,polygon
2012-01-26,BULL_100,131.88,60.22,18.57,27920.4581,62433.835,895.26,80877.19,27633.22,109405.67,polygon
2012-01-27,BULL_100,131.82,60.4,18.53,27920.4581,62433.835,895.26,80715.25,27907.92,109518.44,polygon
2012-01-30,BULL_100,131.37,60.45,19.4,27920.4581,62433.835,895.26,79888.81,27951.63,108735.7,polygon
2012-01-31,BULL_100,131.32,60.53,19.44,27920.4581,62433.835,895.26,79701.74,28051.52,108648.52,polygon
2012-02-01,BULL_100,132.47,61.02,18.55,27920.4581,62433.835,895.26,81832.07,28738.29,111465.63,polygon
2012-02-02,BULL_100,132.68,61.21,17.98,27920.4581,62433.835,895.26,82262.05,29031.73,112189.04,polygon
2012-02-03,BULL_100,134.54,62.05,17.1,27920.4581,62433.835,895.26,85774.44,30186.76,116856.46,polygon
2012-02-06,BULL_100,134.45,62.0,17.76,27920.4581,62433.835,895.26,85576.2,30161.79,116633.25,polygon
2012-02-07,BULL_100,134.79,62.13,17.65,27920.4581,62433.835,895.26,86229.54,30286.65,117411.46,polygon
2012-02-08,BULL_100,135.19,62.46,18.16,27920.4581,62433.835,895.26,86857.75,30792.37,118545.38,polygon
2012-02-09,BULL_TRIMMED,135.36,62.91,18.63,21459.7728,44910.8657,29722.59,67033.89,22644.06,119400.54,polygon
2012-02-10,BULL_TRIMMED,134.36,62.48,20.79,21459.7728,44910.8657,29722.59,65720.55,22159.02,117602.17,polygon
2012-02-13,BULL_TRIMMED,135.36,63.05,19.04,21459.7728,44910.8657,29722.59,67061.79,22756.34,119540.72,polygon
2012-02-14,BULL_TRIMMED,135.19,63.21,19.54,21459.7728,44910.8657,29722.59,66804.27,22953.94,119480.81,polygon
2012-02-15,BULL_TRIMMED,134.56,62.77,21.14,21459.7728,44910.8657,29722.59,65847.17,22441.96,118011.72,polygon
2012-02-16,BULL_TRIMMED,136.05,63.63,19.22,21459.7728,44910.8657,29722.59,67973.83,23380.6,121077.02,polygon
2012-02-17,BULL_TRIMMED,136.41,63.43,17.78,21459.7728,44910.8657,29722.59,68617.62,23178.5,121518.71,polygon
2012-02-21,BULL_TRIMMED,136.47,63.61,18.19,21459.7728,44910.8657,29722.59,68724.92,23376.11,121823.62,polygon
2012-02-22,BULL_TRIMMED,136.03,63.32,18.19,21459.7728,44910.8657,29722.59,67945.93,23066.22,120734.75,polygon
2012-02-23,BULL_TRIMMED,136.63,63.74,16.8,21459.7728,44910.8657,29722.59,68976.0,23506.35,122204.94,polygon
2012-02-24,BULL_TRIMMED,136.93,63.96,17.31,21459.7728,44910.8657,29722.59,69325.8,23735.39,122783.78,polygon
2012-02-27,BULL_TRIMMED,137.16,64.05,18.19,21459.7728,44910.8657,29722.59,69636.96,23847.67,123207.23,polygon
2012-02-28,BULL_TRIMMED,137.56,64.7,17.96,21459.7728,44910.8657,29722.59,70300.07,24561.75,124584.42,polygon
2012-02-29,BULL_TRIMMED,137.02,64.41,18.43,21459.7728,44910.8657,29722.59,69368.72,24238.39,123329.7,polygon
2012-03-01,BULL_TRIMMED,137.73,64.92,17.26,21459.7728,44910.8657,29722.59,70602.65,24826.73,125151.97,polygon
2012-03-02,BULL_TRIMMED,137.31,64.87,17.29,21459.7728,44910.8657,29722.59,69958.86,24754.87,124436.32,polygon
2012-03-05,BULL_TRIMMED,136.75,64.2,18.05,21459.7728,44910.8657,29722.59,69046.82,23982.4,122751.81,polygon
2012-03-06,BULL_TRIMMED,134.75,63.57,20.87,21459.7728,44910.8657,29722.59,65971.63,23295.27,118989.49,polygon
2012-03-07,BULL_100,135.69,64.06,19.07,28718.2111,56391.5941,1090.28,90175.18,29910.1,121175.57,polygon
2012-03-08,BULL_100,137.04,64.75,17.95,28718.2111,56391.5941,1090.28,92880.44,30863.12,124833.84,polygon
2012-03-09,BULL_100,137.57,65.02,17.11,28718.2111,56391.5941,1090.28,93922.91,31229.66,126242.86,polygon
2012-03-12,BULL_100,137.58,65.05,15.64,28718.2111,56391.5941,1090.28,93957.37,31286.06,126333.71,polygon
2012-03-13,BULL_100,140.06,66.26,14.8,28718.2111,56391.5941,1090.28,99115.16,33045.47,133250.92,polygon
2012-03-14,BULL_100,139.91,66.49,15.31,28718.2111,56391.5941,1090.28,98707.36,33417.66,133215.31,polygon
2012-03-15,BULL_100,140.72,66.68,15.42,28718.2111,56391.5941,1090.28,100324.2,33671.42,135085.9,polygon
2012-03-16,BULL_100,140.3,66.52,14.47,28718.2111,56391.5941,1090.28,100981.85,33598.11,135670.24,polygon
2012-03-19,BULL_100,140.85,66.99,15.04,28718.2111,56391.5941,1090.28,102070.27,34331.2,137491.75,polygon
2012-03-20,BULL_100,140.44,67.11,15.58,28718.2111,56391.5941,1090.28,101102.46,34517.29,136710.04,polygon
2012-03-21,BULL_100,140.21,67.12,15.13,28718.2111,56391.5941,1090.28,100671.69,34506.02,136267.99,polygon
2012-03-22,BULL_100,139.2,66.98,15.57,28718.2111,56391.5941,1090.28,98420.18,34297.37,133807.83,polygon
2012-03-23,BULL_100,139.65,66.94,14.82,28718.2111,56391.5941,1090.28,99390.86,34246.62,134727.76,polygon
2012-03-26,BULL_100,141.61,68.11,14.26,28718.2111,56391.5941,1090.28,103529.15,36039.87,140659.3,polygon
2012-03-27,BULL_100,141.17,68.21,15.59,28718.2111,56391.5941,1090.28,102610.17,36175.21,139875.66,polygon
2012-03-28,BULL_100,140.47,67.94,15.47,28718.2111,56391.5941,1090.28,101102.46,35752.27,137945.02,polygon
2012-03-29,BULL_100,140.23,67.68,15.48,28718.2111,56391.5941,1090.28,100551.07,35385.73,137027.08,polygon
2012-03-30,BULL_100,140.81,67.55,15.5,28718.2111,56391.5941,1090.28,101461.44,35143.24,137694.97,polygon
2012-04-02,BULL_100,141.84,68.25,15.64,28718.2111,56391.5941,1090.28,103974.28,36214.68,141279.25,polygon
2012-04-03,BULL_100,141.26,68.23,15.66,28718.2111,56391.5941,1090.28,102753.76,36214.68,140058.72,polygon
2012-04-04,BULL_100,139.86,67.3,16.44,28718.2111,56391.5941,1090.28,99775.68,34737.22,135603.19,polygon
2012-04-05,BULL_100,139.79,67.72,16.7,28718.2111,56391.5941,1090.28,99545.94,35374.45,136010.67,polygon
2012-04-09,BULL_100,138.22,67.21,18.81,28718.2111,56391.5941,1090.28,96277.8,34556.77,131924.86,polygon
2012-04-10,BULL_100,135.9,66.13,20.39,28718.2111,56391.5941,1090.28,91338.27,32893.22,125321.77,polygon
2012-04-11,BULL_100,137.0,66.44,20.02,28718.2111,56391.5941,1090.28,93262.39,33366.91,127719.58,polygon
2012-04-12,DEFENSIVE_SPY,138.79,67.2,17.2,14748.9526,53945.6817,48057.09,49981.25,32993.18,131031.52,polygon
2012-04-13,DEFENSIVE_SPY,137.14,66.19,19.55,14748.9526,53945.6817,48057.09,48075.69,31498.88,127631.66,polygon
2012-04-16,DEFENSIVE_SPY,137.05,65.45,19.55,14748.9526,53945.6817,48057.09,47941.47,30500.89,126499.45,polygon
2012-04-17,DEFENSIVE_SPY,139.08,66.78,18.46,14748.9526,53945.6817,48057.09,50103.67,32302.67,130463.43,polygon
2012-04-18,DEFENSIVE_SPY,138.61,66.61,18.64,14748.9526,53945.6817,48057.09,49630.23,32070.71,129758.02,polygon
2012-04-19,BULL_100,137.72,65.86,18.36,28532.5741,54484.5073,1199.87,94228.83,31344.94,126773.63,polygon
2012-04-20,BULL_100,137.95,65.68,17.44,28532.5741,54484.5073,1199.87,94622.58,31001.68,126824.13,polygon
2012-04-23,DEFENSIVE_SPY,136.79,65.08,18.97,14362.9439,55527.7352,46077.73,46471.3,30801.23,123350.27,polygon
2012-04-24,DEFENSIVE_SPY,137.31,64.73,18.1,14362.9439,55527.7352,46077.73,47008.48,30257.06,123343.27,polygon
2012-04-25,DEFENSIVE_BOTH,139.19,66.45,16.82,14097.2925,27336.4394,63138.43,48049.21,16079.29,127266.93,polygon
