trade_number,signal_date,execution_date,action,instrument,state_from,state_to,trigger_reason,exec_price,shares_delta,trade_value_dollars,commission_dollars,slippage_dollars,portfolio_value_at_close
1,2012-01-05,2012-01-06,BUY,UPRO,CASH,SMA_RECOVERY,"SMA_RECOVERY: SPY>126(200SMA), VIX=21.5<30",2.6634,21119.6215,56250.0,105.6,28.12,99294.42
2,2012-01-05,2012-01-06,BUY,TQQQ,CASH,SMA_RECOVERY,"SMA_RECOVERY: SPY>126(200SMA), VIX=21.5<30",0.3891,48188.1264,18750.0,187.5,9.38,99294.42
3,2012-01-06,2012-01-09,BUY,UPRO,SMA_RECOVERY,BULL_100,RE-ENTRY COMPLETE: VIX=20.6<30 (50-SMA check skipped),2.6525,6800.8366,18039.22,34.0,9.02,99206.22
4,2012-01-06,2012-01-09,BUY,TQQQ,SMA_RECOVERY,BULL_100,RE-ENTRY COMPLETE: VIX=20.6<30 (50-SMA check skipped),0.3954,14245.7086,5632.75,56.33,2.82,99206.22
5,2012-02-08,2012-02-09,SELL,UPRO,BULL_100,BULL_TRIMMED,RSI TRIM: RSI=75.0,3.1304,-6460.6853,20224.53,32.3,10.11,119400.54
6,2012-02-08,2012-02-09,SELL,TQQQ,BULL_100,BULL_TRIMMED,RSI TRIM: RSI=75.0,0.4986,-17522.9694,8736.95,87.37,4.37,119400.54
7,2012-03-06,2012-03-07,BUY,UPRO,BULL_TRIMMED,BULL_100,RSI RECOVERY: RSI=48.8,3.098,7258.4383,22486.64,36.29,11.24,121175.57
8,2012-03-06,2012-03-07,BUY,TQQQ,BULL_TRIMMED,BULL_100,RSI RECOVERY: RSI=48.8,0.5259,11480.7284,6037.72,57.4,3.02,121175.57
9,2012-04-11,2012-04-12,SELL,UPRO,BULL_100,DEFENSIVE_SPY,DEFENSIVE SPY: SPY below 50-SMA,3.2655,-13969.2585,45616.61,69.85,22.81,131031.52
10,2012-04-11,2012-04-12,SELL,TQQQ,BULL_100,DEFENSIVE_SPY,DEFENSIVE SPY: SPY below 50-SMA,0.5952,-2445.9124,1455.81,12.23,0.73,131031.52
11,2012-04-18,2012-04-19,BUY,UPRO,DEFENSIVE_SPY,BULL_100,RECOVERY: SPY reclaimed 50-SMA,3.3696,13783.6215,46445.29,68.92,23.22,126773.63
12,2012-04-18,2012-04-19,BUY,TQQQ,DEFENSIVE_SPY,BULL_100,RECOVERY: SPY reclaimed 50-SMA,0.5882,538.8256,316.94,2.69,0.16,126773.63
13,2012-04-20,2012-04-23,SELL,UPRO,BULL_100,DEFENSIVE_SPY,DEFENSIVE SPY: SPY below 50-SMA,3.215,-14169.6302,45555.36,70.85,22.78,123350.27
14,2012-04-20,2012-04-23,BUY,TQQQ,BULL_100,DEFENSIVE_SPY,DEFENSIVE SPY: SPY below 50-SMA,0.5544,1043.2278,578.37,5.22,0.29,123350.27
15,2012-04-24,2012-04-25,SELL,UPRO,DEFENSIVE_SPY,DEFENSIVE_BOTH,WORSENING: QQQ also below 50-SMA,3.3671,-265.6514,894.47,1.33,0.45,127266.93
16,2012-04-24,2012-04-25,SELL,TQQQ,DEFENSIVE_SPY,DEFENSIVE_BOTH,WORSENING: QQQ also below 50-SMA,0.5788,-28191.2957,16317.12,140.96,8.16,127266.93
17,2012-04-26,2012-04-27,BUY,UPRO,DEFENSIVE_BOTH,BULL_100,FULL RECOVERY: both above 50-SMA,3.508,13240.6658,46448.26,66.2,23.22,128659.36
18,2012-04-26,2012-04-27,BUY,TQQQ,DEFENSIVE_BOTH,BULL_100,FULL RECOVERY: both above 50-SMA,0.6061,25405.9889,15398.57,127.03,7.7,128659.36
19,2012-05-07,2012-05-08,SELL,UPRO,BULL_100,DEFENSIVE_BOTH,DEFENSIVE BOTH: SPY & QQQ below 50-SMA,3.1913,-13661.1872,43596.95,68.31,21.8,116508.99
20,2012-05-07,2012-05-08,SELL,TQQQ,BULL_100,DEFENSIVE_BOTH,DEFENSIVE BOTH: SPY & QQQ below 50-SMA,0.5324,-25415.4315,13531.18,127.08,6.77,116508.99
21,2012-06-01,2012-06-04,SELL,UPRO,DEFENSIVE_BOTH,CASH,"KILL: VIX=26.7, SPY vs 200SMA",2.6488,-13676.771,36227.03,68.38,72.45,105964.41
22,2012-06-01,2012-06-04,SELL,TQQQ,DEFENSIVE_BOTH,CASH,"KILL: VIX=26.7, SPY vs 200SMA",0.441,-27326.9968,12051.21,120.51,24.1,105964.41
23,2012-06-05,2012-06-06,BUY,UPRO,CASH,SMA_RECOVERY,"SMA_RECOVERY: SPY>129(200SMA), VIX=24.7<30",2.7455,21710.0637,59604.98,108.55,29.8,109286.56
24,2012-06-05,2012-06-06,BUY,TQQQ,CASH,SMA_RECOVERY,"SMA_RECOVERY: SPY>129(200SMA), VIX=24.7<30",0.4632,42893.6239,19868.33,198.68,9.93,109286.56
25,2012-06-06,2012-06-07,BUY,UPRO,SMA_RECOVERY,BULL_100,RE-ENTRY COMPLETE: VIX=22.2<30 (50-SMA check skipped),2.968,6295.0246,18683.63,31.48,9.34,108070.11
26,2012-06-06,2012-06-07,BUY,TQQQ,SMA_RECOVERY,BULL_100,RE-ENTRY COMPLETE: VIX=22.2<30 (50-SMA check skipped),0.4981,12730.4824,6341.05,63.41,3.17,108070.11
27,2012-06-08,2012-06-11,SELL,UPRO,BULL_100,DEFENSIVE_BOTH,DEFENSIVE BOTH: SPY & QQQ below 50-SMA,3.0163,-13903.0412,41935.74,69.52,20.97,109670.26
28,2012-06-08,2012-06-11,SELL,TQQQ,BULL_100,DEFENSIVE_BOTH,DEFENSIVE BOTH: SPY & QQQ below 50-SMA,0.5024,-27402.2349,13766.88,137.01,6.88,109670.26
29,2012-06-20,2012-06-21,BUY,UPRO,DEFENSIVE_BOTH,BULL_100,FULL RECOVERY: both above 50-SMA,3.1567,13148.015,41504.34,65.74,20.75,107489.08
30,2012-06-20,2012-06-21,BUY,TQQQ,DEFENSIVE_BOTH,BULL_100,FULL RECOVERY: both above 50-SMA,0.5264,26248.9181,13817.43,131.24,6.91,107489.08
31,2012-06-22,2012-06-25,SELL,UPRO,BULL_100,DEFENSIVE_BOTH,DEFENSIVE BOTH: SPY & QQQ below 50-SMA,2.9075,-13459.9303,39134.75,67.3,19.57,105483.42
32,2012-06-22,2012-06-25,SELL,TQQQ,BULL_100,DEFENSIVE_BOTH,DEFENSIVE BOTH: SPY & QQQ below 50-SMA,0.4912,-27262.0435,13391.12,133.91,6.7,105483.42
33,2012-07-02,2012-07-03,BUY,UPRO,DEFENSIVE_BOTH,BULL_100,FULL RECOVERY: both above 50-SMA,3.2,12121.3765,38788.4,60.61,19.39,113716.57
34,2012-07-02,2012-07-03,BUY,TQQQ,DEFENSIVE_BOTH,BULL_100,FULL RECOVERY: both above 50-SMA,0.526,25336.7713,13327.14,126.68,6.66,113716.57
35,2012-07-12,2012-07-13,BUY,UPRO,BULL_100,DEFENSIVE_QQQ,DEFENSIVE QQQ: QQQ below 50-SMA,3.015,61.4554,185.29,1.0,0.09,108033.47
36,2012-07-12,2012-07-13,SELL,TQQQ,BULL_100,DEFENSIVE_QQQ,DEFENSIVE QQQ: QQQ below 50-SMA,0.4831,-25529.5492,12333.33,123.33,6.17,108033.47
37,2012-07-16,2012-07-17,SELL,UPRO,DEFENSIVE_QQQ,BULL_100,RECOVERY: QQQ reclaimed 50-SMA,3.1575,-437.6112,1381.76,2.19,0.69,109008.19
38,2012-07-16,2012-07-17,BUY,TQQQ,DEFENSIVE_QQQ,BULL_100,RECOVERY: QQQ reclaimed 50-SMA,0.5056,26140.5953,13216.68,130.7,6.61,109008.19
39,2012-09-14,2012-09-17,SELL,UPRO,BULL_100,BULL_TRIMMED,RSI TRIM: RSI=76.1,3.9484,-5935.9294,23437.42,29.68,11.72,137203.11
40,2012-09-14,2012-09-17,SELL,TQQQ,BULL_100,BULL_TRIMMED,RSI TRIM: RSI=76.1,0.6736,-14861.6495,10010.81,74.31,5.01,137203.11
41,2012-09-25,2012-09-26,BUY,UPRO,BULL_TRIMMED,BULL_100,RSI RECOVERY: RSI=52.5,3.7809,6451.7358,24393.37,32.26,12.2,130178.17
42,2012-09-25,2012-09-26,BUY,TQQQ,BULL_TRIMMED,BULL_100,RSI RECOVERY: RSI=52.5,0.634,13491.0096,8553.3,67.46,4.28,130178.17
43,2012-10-10,2012-10-11,SELL,UPRO,BULL_100,DEFENSIVE_QQQ,DEFENSIVE QQQ: QQQ below 50-SMA,3.7867,-127.1858,481.61,1.0,0.24,128446.74
44,2012-10-10,2012-10-11,SELL,TQQQ,BULL_100,DEFENSIVE_QQQ,DEFENSIVE QQQ: QQQ below 50-SMA,0.5992,-24481.098,14669.07,122.41,7.33,128446.74
45,2012-10-22,2012-10-23,SELL,UPRO,DEFENSIVE_QQQ,DEFENSIVE_BOTH,WORSENING: SPY also below 50-SMA,3.5913,-12949.0359,46503.87,64.75,23.25,123648.86
46,2012-10-22,2012-10-23,BUY,TQQQ,DEFENSIVE_QQQ,DEFENSIVE_BOTH,WORSENING: SPY also below 50-SMA,0.5467,1106.1811,604.75,5.53,0.3,123648.86
47,2012-11-08,2012-11-09,SELL,UPRO,DEFENSIVE_BOTH,CASH,"KILL: VIX=18.5, SPY vs 200SMA",3.2663,-12974.9373,42380.04,64.87,84.76,117989.22
48,2012-11-08,2012-11-09,SELL,TQQQ,DEFENSIVE_BOTH,CASH,"KILL: VIX=18.5, SPY vs 200SMA",0.4889,-28411.0068,13890.14,138.9,27.78,117989.22
49,2012-11-19,2012-11-20,BUY,UPRO,CASH,SMA_RECOVERY,"SMA_RECOVERY: SPY>138(200SMA), VIX=15.2<30",3.3517,19801.5748,66368.94,99.01,33.18,118121.04
50,2012-11-19,2012-11-20,BUY,TQQQ,CASH,SMA_RECOVERY,"SMA_RECOVERY: SPY>138(200SMA), VIX=15.2<30",0.5008,44175.2784,22122.98,220.88,11.06,118121.04
51,2012-11-20,2012-11-21,BUY,UPRO,SMA_RECOVERY,BULL_100,RE-ENTRY COMPLETE: VIX=15.1<30 (50-SMA check skipped),3.3805,6173.6551,20870.04,30.87,10.44,118630.37
52,2012-11-20,2012-11-21,BUY,TQQQ,SMA_RECOVERY,BULL_100,RE-ENTRY COMPLETE: VIX=15.1<30 (50-SMA check skipped),0.5023,14096.1827,7080.51,70.48,3.54,118630.37
53,2012-11-23,2012-11-26,SELL,UPRO,BULL_100,DEFENSIVE_BOTH,DEFENSIVE BOTH: SPY & QQQ below 50-SMA,3.4755,-12824.7715,44572.49,64.12,22.29,122351.07
