date,step2_state,step3_state,spy_close,vix,spxu_close,spxu_shares,spxu_value,cash,portfolio_value,data_source
2011-10-17,UNKNOWN,INACTIVE,120.23,33.39,331.4711,0.0,0.0,100000.0,100000.0,polygon
2011-10-18,UNKNOWN,INACTIVE,122.58,31.56,311.762,0.0,0.0,100000.0,100000.0,polygon
2011-10-19,UNKNOWN,INACTIVE,121.13,34.44,323.3087,0.0,0.0,100000.0,100000.0,polygon
2011-10-20,UNKNOWN,INACTIVE,121.67,34.78,318.5308,0.0,0.0,100000.0,100000.0,polygon
2011-10-21,UNKNOWN,INACTIVE,123.97,31.32,300.6134,0.0,0.0,100000.0,100000.0,polygon
2011-10-24,UNKNOWN,INACTIVE,125.49,29.26,289.2857,0.0,0.0,100000.0,100000.0,polygon
2011-10-25,UNKNOWN,INACTIVE,123.05,32.22,306.1877,0.0,0.0,100000.0,100000.0,polygon
2011-10-26,UNKNOWN,INACTIVE,124.3,29.86,297.0299,0.0,0.0,100000.0,100000.0,polygon
2011-10-27,UNKNOWN,INACTIVE,128.63,25.46,265.9732,0.0,0.0,100000.0,100000.0,polygon
2011-10-28,UNKNOWN,INACTIVE,128.6,24.53,265.9732,0.0,0.0,100000.0,100000.0,polygon
2011-10-31,UNKNOWN,INACTIVE,125.5,29.96,285.8814,0.0,0.0,100000.0,100000.0,polygon
2011-11-01,UNKNOWN,INACTIVE,122.0,34.77,308.7758,0.0,0.0,100000.0,100000.0,polygon
2011-11-02,UNKNOWN,INACTIVE,123.99,32.74,293.8446,0.0,0.0,100000.0,100000.0,polygon
2011-11-03,UNKNOWN,INACTIVE,126.25,30.5,277.719,0.0,0.0,100000.0,100000.0,polygon
2011-11-04,UNKNOWN,INACTIVE,125.48,30.16,283.0942,0.0,0.0,100000.0,100000.0,polygon
2011-11-07,UNKNOWN,INACTIVE,126.26,29.85,277.719,0.0,0.0,100000.0,100000.0,polygon
2011-11-08,UNKNOWN,INACTIVE,127.88,27.48,266.9686,0.0,0.0,100000.0,100000.0,polygon
2011-11-09,UNKNOWN,INACTIVE,123.16,36.16,296.2336,0.0,0.0,100000.0,100000.0,polygon
2011-11-10,UNKNOWN,INACTIVE,124.32,32.81,288.4694,0.0,0.0,100000.0,100000.0,polygon
2011-11-11,UNKNOWN,INACTIVE,126.66,30.04,271.5475,0.0,0.0,100000.0,100000.0,polygon
2011-11-14,UNKNOWN,INACTIVE,125.46,31.13,279.3316,0.0,0.0,100000.0,100000.0,polygon
2011-11-15,UNKNOWN,INACTIVE,126.08,31.22,275.1309,0.0,0.0,100000.0,100000.0,polygon
2011-11-16,UNKNOWN,INACTIVE,124.08,33.51,288.4694,0.0,0.0,100000.0,100000.0,polygon
2011-11-17,UNKNOWN,INACTIVE,122.11,34.51,302.8033,0.0,0.0,100000.0,100000.0,polygon
2011-11-18,UNKNOWN,INACTIVE,121.98,32.0,303.5996,0.0,0.0,100000.0,100000.0,polygon
2011-11-21,UNKNOWN,INACTIVE,119.66,32.91,320.9197,0.0,0.0,100000.0,100000.0,polygon
2011-11-22,UNKNOWN,INACTIVE,119.19,31.97,324.3041,0.0,0.0,100000.0,100000.0,polygon
2011-11-23,UNKNOWN,INACTIVE,116.56,33.98,345.805,0.0,0.0,100000.0,100000.0,polygon
2011-11-25,UNKNOWN,INACTIVE,116.34,34.47,348.393,0.0,0.0,100000.0,100000.0,polygon
2011-11-28,UNKNOWN,INACTIVE,119.71,32.13,317.5154,0.0,0.0,100000.0,100000.0,polygon
2011-11-29,UNKNOWN,INACTIVE,120.05,30.64,314.7482,0.0,0.0,100000.0,100000.0,polygon
2011-11-30,UNKNOWN,INACTIVE,124.99,27.8,275.7282,0.0,0.0,100000.0,100000.0,polygon
2011-12-01,UNKNOWN,INACTIVE,124.97,27.41,275.5291,0.0,0.0,100000.0,100000.0,polygon
2011-12-02,UNKNOWN,INACTIVE,124.86,27.52,275.9273,0.0,0.0,100000.0,100000.0,polygon
2011-12-05,UNKNOWN,INACTIVE,126.22,27.84,267.3668,0.0,0.0,100000.0,100000.0,polygon
2011-12-06,UNKNOWN,INACTIVE,126.26,28.13,266.7695,0.0,0.0,100000.0,100000.0,polygon
2011-12-07,UNKNOWN,INACTIVE,126.73,28.67,264.1815,0.0,0.0,100000.0,100000.0,polygon
2011-12-08,UNKNOWN,INACTIVE,123.95,30.59,280.9043,0.0,0.0,100000.0,100000.0,polygon
2011-12-09,UNKNOWN,INACTIVE,126.05,26.38,267.1677,0.0,0.0,100000.0,100000.0,polygon
2011-12-12,UNKNOWN,INACTIVE,124.21,25.67,278.0176,0.0,0.0,100000.0,100000.0,polygon
2011-12-13,UNKNOWN,INACTIVE,123.05,25.41,286.2795,0.0,0.0,100000.0,100000.0,polygon
2011-12-14,UNKNOWN,INACTIVE,121.74,26.04,295.6364,0.0,0.0,100000.0,100000.0,polygon
2011-12-15,UNKNOWN,INACTIVE,122.19,25.11,292.4511,0.0,0.0,100000.0,100000.0,polygon
2011-12-16,UNKNOWN,INACTIVE,121.59,24.29,291.2566,0.0,0.0,100000.0,100000.0,polygon
2011-12-19,UNKNOWN,INACTIVE,120.29,24.92,300.0162,0.0,0.0,100000.0,100000.0,polygon
2011-12-20,UNKNOWN,INACTIVE,123.93,23.22,273.5383,0.0,0.0,100000.0,100000.0,polygon
2011-12-21,UNKNOWN,INACTIVE,124.17,21.43,271.7466,0.0,0.0,100000.0,100000.0,polygon
2011-12-22,UNKNOWN,INACTIVE,125.27,21.16,264.3805,0.0,0.0,100000.0,100000.0,polygon
2011-12-23,UNKNOWN,INACTIVE,126.39,20.73,257.4127,0.0,0.0,100000.0,100000.0,polygon
2011-12-27,UNKNOWN,INACTIVE,126.49,21.91,256.8154,0.0,0.0,100000.0,100000.0,polygon
2011-12-28,UNKNOWN,INACTIVE,124.83,23.52,265.7741,0.0,0.0,100000.0,100000.0,polygon
2011-12-29,UNKNOWN,INACTIVE,126.12,22.65,258.6072,0.0,0.0,100000.0,100000.0,polygon
2011-12-30,UNKNOWN,INACTIVE,125.5,23.4,261.3943,0.0,0.0,100000.0,100000.0,polygon
2012-01-03,UNKNOWN,INACTIVE,127.5,22.97,249.4494,0.0,0.0,100000.0,100000.0,polygon
2012-01-04,UNKNOWN,INACTIVE,127.7,22.22,248.6531,0.0,0.0,100000.0,100000.0,polygon
2012-01-05,CASH,CASH_IDLE,128.04,21.48,246.4632,0.0,0.0,100000.0,100000.0,polygon
2012-01-06,SMA_RECOVERY,INACTIVE,127.71,20.63,247.8567,0.0,0.0,100000.0,100000.0,polygon
2012-01-09,BULL_100,INACTIVE,128.02,21.07,247.0604,0.0,0.0,100000.0,100000.0,polygon
2012-01-10,BULL_100,INACTIVE,129.13,20.69,240.2518,0.0,0.0,100000.0,100000.0,polygon
2012-01-11,BULL_100,INACTIVE,129.2,21.05,239.6944,0.0,0.0,100000.0,100000.0,polygon
2012-01-12,BULL_100,INACTIVE,129.51,20.47,238.1017,0.0,0.0,100000.0,100000.0,polygon
2012-01-13,BULL_100,INACTIVE,128.84,20.91,240.6898,0.0,0.0,100000.0,100000.0,polygon
2012-01-17,BULL_100,INACTIVE,129.34,22.2,239.2962,0.0,0.0,100000.0,100000.0,polygon
2012-01-18,BULL_100,INACTIVE,130.77,20.89,231.1339,0.0,0.0,100000.0,100000.0,polygon
2012-01-19,BULL_100,INACTIVE,131.46,19.87,227.5504,0.0,0.0,100000.0,100000.0,polygon
2012-01-20,BULL_100,INACTIVE,131.54,18.28,226.9532,0.0,0.0,100000.0,100000.0,polygon
2012-01-23,BULL_100,INACTIVE,131.61,18.67,226.9213,0.0,0.0,100000.0,100000.0,polygon
2012-01-24,BULL_100,INACTIVE,131.46,18.91,227.3513,0.0,0.0,100000.0,100000.0,polygon
2012-01-25,BULL_100,INACTIVE,132.56,18.31,221.777,0.0,0.0,100000.0,100000.0,polygon
2012-01-26,BULL_100,INACTIVE,131.88,18.57,224.9624,0.0,0.0,100000.0,100000.0,polygon
2012-01-27,BULL_100,INACTIVE,131.82,18.53,225.3605,0.0,0.0,100000.0,100000.0,polygon
2012-01-30,BULL_100,INACTIVE,131.37,19.4,227.9088,0.0,0.0,100000.0,100000.0,polygon
2012-01-31,BULL_100,INACTIVE,131.32,19.44,228.1477,0.0,0.0,100000.0,100000.0,polygon
2012-02-01,BULL_100,INACTIVE,132.47,18.55,221.9761,0.0,0.0,100000.0,100000.0,polygon
2012-02-02,BULL_100,INACTIVE,132.68,17.98,220.5826,0.0,0.0,100000.0,100000.0,polygon
2012-02-03,BULL_100,INACTIVE,134.54,17.1,211.4248,0.0,0.0,100000.0,100000.0,polygon
2012-02-06,BULL_100,INACTIVE,134.45,17.76,211.823,0.0,0.0,100000.0,100000.0,polygon
2012-02-07,BULL_100,INACTIVE,134.79,17.65,210.4294,0.0,0.0,100000.0,100000.0,polygon
2012-02-08,BULL_100,INACTIVE,135.19,18.16,208.4386,0.0,0.0,100000.0,100000.0,polygon
2012-02-09,BULL_TRIMMED,INACTIVE,135.36,18.63,207.8413,0.0,0.0,100000.0,100000.0,polygon
2012-02-10,BULL_TRIMMED,INACTIVE,134.36,20.79,212.4202,0.0,0.0,100000.0,100000.0,polygon
2012-02-13,BULL_TRIMMED,INACTIVE,135.36,19.04,207.6422,0.0,0.0,100000.0,100000.0,polygon
2012-02-14,BULL_TRIMMED,INACTIVE,135.19,19.54,208.0404,0.0,0.0,100000.0,100000.0,polygon
2012-02-15,BULL_TRIMMED,INACTIVE,134.56,21.14,211.0266,0.0,0.0,100000.0,100000.0,polygon
2012-02-16,BULL_TRIMMED,INACTIVE,136.05,19.22,204.4569,0.0,0.0,100000.0,100000.0,polygon
2012-02-17,BULL_TRIMMED,INACTIVE,136.41,17.78,202.4661,0.0,0.0,100000.0,100000.0,polygon
2012-02-21,BULL_TRIMMED,INACTIVE,136.47,18.19,202.068,0.0,0.0,100000.0,100000.0,polygon
2012-02-22,BULL_TRIMMED,INACTIVE,136.03,18.19,204.4569,0.0,0.0,100000.0,100000.0,polygon
2012-02-23,BULL_TRIMMED,INACTIVE,136.63,16.8,201.6698,0.0,0.0,100000.0,100000.0,polygon
2012-02-24,BULL_TRIMMED,INACTIVE,136.93,17.31,200.2762,0.0,0.0,100000.0,100000.0,polygon
2012-02-27,BULL_TRIMMED,INACTIVE,137.16,18.19,199.0817,0.0,0.0,100000.0,100000.0,polygon
2012-02-28,BULL_TRIMMED,INACTIVE,137.56,17.96,197.4891,0.0,0.0,100000.0,100000.0,polygon
2012-02-29,BULL_TRIMMED,INACTIVE,137.02,18.43,201.0725,0.0,0.0,100000.0,100000.0,polygon
2012-03-01,BULL_TRIMMED,INACTIVE,137.73,17.26,196.4937,0.0,0.0,100000.0,100000.0,polygon
2012-03-02,BULL_TRIMMED,INACTIVE,137.31,17.29,198.2854,0.0,0.0,100000.0,100000.0,polygon
2012-03-05,BULL_TRIMMED,INACTIVE,136.75,18.05,200.2762,0.0,0.0,100000.0,100000.0,polygon
2012-03-06,BULL_TRIMMED,INACTIVE,134.75,20.87,209.6331,0.0,0.0,100000.0,100000.0,polygon
2012-03-07,BULL_100,INACTIVE,135.69,19.07,205.0542,0.0,0.0,100000.0,100000.0,polygon
2012-03-08,BULL_100,INACTIVE,137.04,17.95,198.8826,0.0,0.0,100000.0,100000.0,polygon
2012-03-09,BULL_100,INACTIVE,137.57,17.11,196.6927,0.0,0.0,100000.0,100000.0,polygon
