trade_number,execution_date,action,instrument,trigger_reason,exec_price,shares_before,shares_after,trade_value_dollars,commission_dollars,slippage_dollars,cash_after,portfolio_value_at_close
1,2015-08-25,BUY,SPXU,PREDATORY_SHORT: SPY<200SMA(208)+VIX=40.7>30.0,39.7069,0.0,1259.2286,50000.0,6.3,100.0,49893.7,107113.55
2,2015-08-28,SELL,SPXU,EXIT: VIX=26.1<30,37.6065,1259.2286,0.0,47355.23,6.3,94.71,97147.92,97147.92
3,2015-09-02,BUY,SPXU,PREDATORY_SHORT: SPY<200SMA(208)+VIX=31.4>30.0,39.5974,0.0,1226.697,48573.96,6.13,97.15,48470.68,96373.05
4,2015-09-03,SELL,SPXU,EXIT: VIX=26.1<30,38.5721,1226.697,0.0,47316.26,6.13,94.63,95686.18,95686.18
5,2018-12-24,BUY,SPXU,PREDATORY_SHORT: SPY<200SMA(275)+VIX=30.1>30.0,52.69,0.0,908.0108,47843.09,4.54,95.69,47742.86,100888.74
6,2018-12-28,SELL,SPXU,EXIT: VIX=30.0<30,47.3,908.0108,0.0,42948.91,4.54,85.9,90601.34,90601.34
7,2020-03-02,BUY,SPXU,PREDATORY_SHORT: SPY<200SMA(304)+VIX=40.1>30.0,24.15,0.0,1875.8041,45300.67,9.38,90.6,45200.69,86374.59
8,2020-04-17,SELL,SPXU,EXIT: SPY>287(50SMA),16.3,1875.8041,0.0,30575.61,9.38,61.15,75705.76,75705.76
9,2020-04-20,BUY,SPXU,PREDATORY_SHORT: SPY<200SMA(301)+VIX=38.1>30.0,16.46,0.0,2299.689,37852.88,11.5,75.71,37765.68,77021.37
10,2020-04-27,SELL,SPXU,EXIT: SPY>280(50SMA),16.33,2299.689,0.0,37553.92,11.5,75.11,75232.99,75232.99
11,2020-04-28,BUY,SPXU,PREDATORY_SHORT: SPY<200SMA(300)+VIX=33.3>30.0,15.83,0.0,2376.2789,37616.49,11.88,75.23,37529.38,75407.27
12,2020-04-29,SELL,SPXU,EXIT: SPY>278(50SMA),15.62,2376.2789,0.0,37117.48,11.88,74.23,74560.74,74560.74
13,2020-04-30,BUY,SPXU,PREDATORY_SHORT: SPY<200SMA(300)+VIX=31.2>30.0,14.77,0.0,2524.0603,37280.37,12.62,74.56,37193.19,77149.07
14,2020-05-01,SELL,SPXU,EXIT: SPY>276(50SMA),16.35,2524.0603,0.0,41268.39,12.62,82.54,78366.42,78366.42
15,2020-05-04,BUY,SPXU,PREDATORY_SHORT: SPY<200SMA(300)+VIX=37.2>30.0,16.99,0.0,2306.2513,39183.21,11.53,78.37,39093.31,77031.15
16,2020-05-05,SELL,SPXU,EXIT: SPY>274(50SMA),15.96,2306.2513,0.0,36807.77,11.53,73.62,75815.94,75815.94
17,2020-05-06,BUY,SPXU,PREDATORY_SHORT: SPY<200SMA(300)+VIX=33.6>30.0,15.73,0.0,2409.9154,37907.97,12.05,75.82,37820.1,77366.82
18,2020-05-07,SELL,SPXU,EXIT: SPY>273(50SMA),15.91,2409.9154,0.0,38341.75,12.05,76.68,76073.13,76073.13
19,2020-05-08,BUY,SPXU,PREDATORY_SHORT: SPY<200SMA(300)+VIX=31.4>30.0,15.2,0.0,2502.4054,38036.56,12.51,76.07,37947.98,74908.51
20,2020-05-11,SELL,SPXU,EXIT: VIX=28.0<30 | SPY>272(50SMA),14.75,2502.4054,0.0,36910.48,12.51,73.82,74772.13,74772.13
21,2020-05-13,BUY,SPXU,PREDATORY_SHORT: SPY<200SMA(300)+VIX=33.0>30.0,15.98,0.0,2339.5535,37386.06,11.7,74.77,37299.59,76065.99
22,2020-05-14,SELL,SPXU,EXIT: SPY>272(50SMA),16.79,2339.5535,0.0,39281.1,11.7,78.56,76490.43,76490.43
23,2020-05-15,BUY,SPXU,PREDATORY_SHORT: SPY<200SMA(299)+VIX=32.6>30.0,15.82,0.0,2417.5232,38245.22,12.09,76.49,38156.64,76716.13
24,2020-05-18,SELL,SPXU,EXIT: SPY>271(50SMA),15.31,2417.5232,0.0,37012.28,12.09,74.02,75082.8,75082.8
25,2020-05-20,BUY,SPXU,PREDATORY_SHORT: SPY<200SMA(299)+VIX=30.5>30.0,14.6,0.0,2571.3288,37541.4,12.86,75.08,37453.46,73657.77
