date,step2_state,combined_state,vix,spy_close,spxu_close,svix_close,svix_available,spxu_shares,svix_shares,spxu_value,svix_value,cash,portfolio_value,allocation,data_source
2011-10-17,UNKNOWN,UNKNOWN,33.39,120.23,331.4711,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-10-18,UNKNOWN,UNKNOWN,31.56,122.58,311.762,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-10-19,UNKNOWN,UNKNOWN,34.44,121.13,323.3087,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-10-20,UNKNOWN,UNKNOWN,34.78,121.67,318.5308,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-10-21,UNKNOWN,UNKNOWN,31.32,123.97,300.6134,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-10-24,UNKNOWN,UNKNOWN,29.26,125.49,289.2857,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-10-25,UNKNOWN,UNKNOWN,32.22,123.05,306.1877,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-10-26,UNKNOWN,UNKNOWN,29.86,124.3,297.0299,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-10-27,UNKNOWN,UNKNOWN,25.46,128.63,265.9732,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-10-28,UNKNOWN,UNKNOWN,24.53,128.6,265.9732,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-10-31,UNKNOWN,UNKNOWN,29.96,125.5,285.8814,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-11-01,UNKNOWN,UNKNOWN,34.77,122.0,308.7758,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-11-02,UNKNOWN,UNKNOWN,32.74,123.99,293.8446,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-11-03,UNKNOWN,UNKNOWN,30.5,126.25,277.719,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-11-04,UNKNOWN,UNKNOWN,30.16,125.48,283.0942,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-11-07,UNKNOWN,UNKNOWN,29.85,126.26,277.719,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-11-08,UNKNOWN,UNKNOWN,27.48,127.88,266.9686,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-11-09,UNKNOWN,UNKNOWN,36.16,123.16,296.2336,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-11-10,UNKNOWN,UNKNOWN,32.81,124.32,288.4694,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-11-11,UNKNOWN,UNKNOWN,30.04,126.66,271.5475,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-11-14,UNKNOWN,UNKNOWN,31.13,125.46,279.3316,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-11-15,UNKNOWN,UNKNOWN,31.22,126.08,275.1309,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-11-16,UNKNOWN,UNKNOWN,33.51,124.08,288.4694,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-11-17,UNKNOWN,UNKNOWN,34.51,122.11,302.8033,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-11-18,UNKNOWN,UNKNOWN,32.0,121.98,303.5996,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-11-21,UNKNOWN,UNKNOWN,32.91,119.66,320.9197,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-11-22,UNKNOWN,UNKNOWN,31.97,119.19,324.3041,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-11-23,UNKNOWN,UNKNOWN,33.98,116.56,345.805,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-11-25,UNKNOWN,UNKNOWN,34.47,116.34,348.393,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-11-28,UNKNOWN,UNKNOWN,32.13,119.71,317.5154,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-11-29,UNKNOWN,UNKNOWN,30.64,120.05,314.7482,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-11-30,UNKNOWN,UNKNOWN,27.8,124.99,275.7282,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-12-01,UNKNOWN,UNKNOWN,27.41,124.97,275.5291,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-12-02,UNKNOWN,UNKNOWN,27.52,124.86,275.9273,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-12-05,UNKNOWN,UNKNOWN,27.84,126.22,267.3668,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-12-06,UNKNOWN,UNKNOWN,28.13,126.26,266.7695,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-12-07,UNKNOWN,UNKNOWN,28.67,126.73,264.1815,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-12-08,UNKNOWN,UNKNOWN,30.59,123.95,280.9043,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-12-09,UNKNOWN,UNKNOWN,26.38,126.05,267.1677,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-12-12,UNKNOWN,UNKNOWN,25.67,124.21,278.0176,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-12-13,UNKNOWN,UNKNOWN,25.41,123.05,286.2795,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-12-14,UNKNOWN,UNKNOWN,26.04,121.74,295.6364,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-12-15,UNKNOWN,UNKNOWN,25.11,122.19,292.4511,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-12-16,UNKNOWN,UNKNOWN,24.29,121.59,291.2566,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-12-19,UNKNOWN,UNKNOWN,24.92,120.29,300.0162,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-12-20,UNKNOWN,UNKNOWN,23.22,123.93,273.5383,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-12-21,UNKNOWN,UNKNOWN,21.43,124.17,271.7466,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-12-22,UNKNOWN,UNKNOWN,21.16,125.27,264.3805,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-12-23,UNKNOWN,UNKNOWN,20.73,126.39,257.4127,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-12-27,UNKNOWN,UNKNOWN,21.91,126.49,256.8154,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-12-28,UNKNOWN,UNKNOWN,23.52,124.83,265.7741,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-12-29,UNKNOWN,UNKNOWN,22.65,126.12,258.6072,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2011-12-30,UNKNOWN,UNKNOWN,23.4,125.5,261.3943,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2012-01-03,UNKNOWN,UNKNOWN,22.97,127.5,249.4494,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2012-01-04,UNKNOWN,UNKNOWN,22.22,127.7,248.6531,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2012-01-05,CASH,CASH_IDLE,21.48,128.04,246.4632,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,polygon
2012-01-06,SMA_RECOVERY,SMA_RECOVERY,20.63,127.71,247.8567,0.0,NO,0.0,0.0,0.0,0.0,99294.42,99294.42,0.0,polygon
2012-01-09,BULL_100,BULL_100,21.07,128.02,247.0604,0.0,NO,0.0,0.0,0.0,0.0,99206.22,99206.22,0.0,polygon
2012-01-10,BULL_100,BULL_100,20.69,129.13,240.2518,0.0,NO,0.0,0.0,0.0,0.0,101637.78,101637.78,0.0,polygon
2012-01-11,BULL_100,BULL_100,21.05,129.2,239.6944,0.0,NO,0.0,0.0,0.0,0.0,102022.0,102022.0,0.0,polygon
2012-01-12,BULL_100,BULL_100,20.47,129.51,238.1017,0.0,NO,0.0,0.0,0.0,0.0,102804.05,102804.05,0.0,polygon
2012-01-13,BULL_100,BULL_100,20.91,128.84,240.6898,0.0,NO,0.0,0.0,0.0,0.0,101701.57,101701.57,0.0,polygon
2012-01-17,BULL_100,BULL_100,22.2,129.34,239.2962,0.0,NO,0.0,0.0,0.0,0.0,102810.76,102810.76,0.0,polygon
2012-01-18,BULL_100,BULL_100,20.89,130.77,231.1339,0.0,NO,0.0,0.0,0.0,0.0,106377.57,106377.57,0.0,polygon
2012-01-19,BULL_100,BULL_100,19.87,131.46,227.5504,0.0,NO,0.0,0.0,0.0,0.0,108148.58,108148.58,0.0,polygon
2012-01-20,BULL_100,BULL_100,18.28,131.54,226.9532,0.0,NO,0.0,0.0,0.0,0.0,108190.58,108190.58,0.0,polygon
2012-01-23,BULL_100,BULL_100,18.67,131.61,226.9213,0.0,NO,0.0,0.0,0.0,0.0,108266.62,108266.62,0.0,polygon
2012-01-24,BULL_100,BULL_100,18.91,131.46,227.3513,0.0,NO,0.0,0.0,0.0,0.0,107885.04,107885.04,0.0,polygon
2012-01-25,BULL_100,BULL_100,18.31,132.56,221.777,0.0,NO,0.0,0.0,0.0,0.0,110874.56,110874.56,0.0,polygon
2012-01-26,BULL_100,BULL_100,18.57,131.88,224.9624,0.0,NO,0.0,0.0,0.0,0.0,109405.67,109405.67,0.0,polygon
2012-01-27,BULL_100,BULL_100,18.53,131.82,225.3605,0.0,NO,0.0,0.0,0.0,0.0,109518.44,109518.44,0.0,polygon
2012-01-30,BULL_100,BULL_100,19.4,131.37,227.9088,0.0,NO,0.0,0.0,0.0,0.0,108735.7,108735.7,0.0,polygon
2012-01-31,BULL_100,BULL_100,19.44,131.32,228.1477,0.0,NO,0.0,0.0,0.0,0.0,108648.52,108648.52,0.0,polygon
2012-02-01,BULL_100,BULL_100,18.55,132.47,221.9761,0.0,NO,0.0,0.0,0.0,0.0,111465.63,111465.63,0.0,polygon
2012-02-02,BULL_100,BULL_100,17.98,132.68,220.5826,0.0,NO,0.0,0.0,0.0,0.0,112189.04,112189.04,0.0,polygon
2012-02-03,BULL_100,BULL_100,17.1,134.54,211.4248,0.0,NO,0.0,0.0,0.0,0.0,116856.46,116856.46,0.0,polygon
