trade_number,signal_date,execution_date,action,instrument,trigger_reason,exec_price,shares_delta,cash_after,trade_value_dollars,slippage_dollars,commission_dollars,portfolio_value_at_close
1,2015-08-24,2015-08-25,BUY,SPXU,PREDATORY_SHORT: SPY<200SMA(208)+VIX=40.7>30,39.7069,2746.8647,108837.48,109069.35,218.14,13.73,233656.12
2,2015-08-27,2015-08-28,SELL,SPXU,EXIT: VIX=26.1<30,37.6065,-2746.8647,211917.22,103300.07,206.6,13.73,211917.22
3,2015-09-01,2015-09-02,BUY,SPXU,PREDATORY_SHORT: SPY<200SMA(208)+VIX=31.4>30,39.5974,2675.9012,105733.31,105958.61,211.92,13.38,210226.94
4,2015-09-02,2015-09-03,SELL,SPXU,EXIT: VIX=26.1<30,38.5721,-2675.9012,208728.59,103215.09,206.43,13.38,208728.59
5,2018-12-21,2018-12-24,BUY,SPXU,PREDATORY_SHORT: SPY<200SMA(275)+VIX=30.1>30,52.69,2087.9,109780.99,110011.45,220.02,10.44,231985.77
6,2018-12-27,2018-12-28,SELL,SPXU,EXIT: VIX=30.0<30,47.3,-2087.9,208330.7,98757.67,197.52,10.44,208330.7
7,2020-02-28,2020-03-02,BUY,SPXU,PREDATORY_SHORT: SPY<200SMA(304)+VIX=40.1>30,24.15,4952.2726,119333.43,119597.38,239.19,24.76,228035.81
8,2020-04-16,2020-04-17,SELL,SPXU,EXIT: SPY>287(50SMA),16.3,-4952.2726,199869.27,80722.04,161.44,24.76,199869.27
9,2020-04-17,2020-04-20,BUY,SPXU,PREDATORY_SHORT: SPY<200SMA(301)+VIX=38.1>30,16.46,6071.363,99704.41,99934.63,199.87,30.36,203342.57
10,2020-04-24,2020-04-27,SELL,SPXU,EXIT: SPY>280(50SMA),16.33,-6071.363,198621.11,99145.36,198.29,30.36,198621.11
11,2020-04-27,2020-04-28,BUY,SPXU,PREDATORY_SHORT: SPY<200SMA(300)+VIX=33.3>30,15.83,6273.5664,99080.56,99310.56,198.62,31.37,199081.21
12,2020-04-28,2020-04-29,SELL,SPXU,EXIT: SPY>278(50SMA),15.62,-6273.5664,196846.32,97993.11,195.99,31.37,196846.32
13,2020-04-29,2020-04-30,BUY,SPXU,PREDATORY_SHORT: SPY<200SMA(300)+VIX=31.2>30,14.77,6663.7209,98192.99,98423.16,196.85,33.32,203679.69
14,2020-04-30,2020-05-01,SELL,SPXU,EXIT: SPY>276(50SMA),16.35,-6663.7209,206893.6,108951.84,217.9,33.32,206893.6
15,2020-05-01,2020-05-04,BUY,SPXU,PREDATORY_SHORT: SPY<200SMA(300)+VIX=37.2>30,16.99,6088.6876,103209.47,103446.8,206.89,30.44,203368.38
16,2020-05-04,2020-05-05,SELL,SPXU,EXIT: SPY>274(50SMA),15.96,-6088.6876,200160.13,97175.45,194.35,30.44,200160.13
17,2020-05-05,2020-05-06,BUY,SPXU,PREDATORY_SHORT: SPY<200SMA(300)+VIX=33.6>30,15.73,6362.3691,99848.1,100080.07,200.16,31.81,204254.57
18,2020-05-06,2020-05-07,SELL,SPXU,EXIT: SPY>273(50SMA),15.91,-6362.3691,200839.13,101225.29,202.45,31.81,200839.13
19,2020-05-07,2020-05-08,BUY,SPXU,PREDATORY_SHORT: SPY<200SMA(300)+VIX=31.4>30,15.2,6606.5503,100185.69,100419.56,200.84,33.03,197764.44
20,2020-05-08,2020-05-11,SELL,SPXU,EXIT: VIX=28.0<30 | SPY>272(50SMA),14.75,-6606.5503,197404.39,97446.62,194.89,33.03,197404.39
21,2020-05-12,2020-05-13,BUY,SPXU,PREDATORY_SHORT: SPY<200SMA(300)+VIX=33.0>30,15.98,6176.6079,98473.91,98702.19,197.4,30.88,200820.3
22,2020-05-13,2020-05-14,SELL,SPXU,EXIT: SPY>272(50SMA),16.79,-6176.6079,201940.87,103705.25,207.41,30.88,201940.87
