date,step2_state,svix_available,step4_state,vix,svix_close,svix_shares,svix_value,cash,portfolio_value
2011-01-03,UNKNOWN,NO,INACTIVE,17.61,0.0,0.0,0.0,100000.0,100000.0
2011-01-04,UNKNOWN,NO,INACTIVE,17.38,0.0,0.0,0.0,100000.0,100000.0
2011-01-05,UNKNOWN,NO,INACTIVE,17.02,0.0,0.0,0.0,100000.0,100000.0
2011-01-06,UNKNOWN,NO,INACTIVE,17.4,0.0,0.0,0.0,100000.0,100000.0
2011-01-07,UNKNOWN,NO,INACTIVE,17.14,0.0,0.0,0.0,100000.0,100000.0
2011-01-10,UNKNOWN,NO,INACTIVE,17.54,0.0,0.0,0.0,100000.0,100000.0
2011-01-11,UNKNOWN,NO,INACTIVE,16.89,0.0,0.0,0.0,100000.0,100000.0
2011-01-12,UNKNOWN,NO,INACTIVE,16.24,0.0,0.0,0.0,100000.0,100000.0
2011-01-13,UNKNOWN,NO,INACTIVE,16.39,0.0,0.0,0.0,100000.0,100000.0
2011-01-14,UNKNOWN,NO,INACTIVE,15.46,0.0,0.0,0.0,100000.0,100000.0
2011-01-18,UNKNOWN,NO,INACTIVE,15.87,0.0,0.0,0.0,100000.0,100000.0
2011-01-19,UNKNOWN,NO,INACTIVE,17.31,0.0,0.0,0.0,100000.0,100000.0
2011-01-20,UNKNOWN,NO,INACTIVE,17.99,0.0,0.0,0.0,100000.0,100000.0
2011-01-21,UNKNOWN,NO,INACTIVE,18.47,0.0,0.0,0.0,100000.0,100000.0
2011-01-24,UNKNOWN,NO,INACTIVE,17.65,0.0,0.0,0.0,100000.0,100000.0
2011-01-25,UNKNOWN,NO,INACTIVE,17.59,0.0,0.0,0.0,100000.0,100000.0
2011-01-26,UNKNOWN,NO,INACTIVE,16.64,0.0,0.0,0.0,100000.0,100000.0
2011-01-27,UNKNOWN,NO,INACTIVE,16.15,0.0,0.0,0.0,100000.0,100000.0
2011-01-28,UNKNOWN,NO,INACTIVE,20.04,0.0,0.0,0.0,100000.0,100000.0
2011-01-31,UNKNOWN,NO,INACTIVE,19.53,0.0,0.0,0.0,100000.0,100000.0
2011-02-01,UNKNOWN,NO,INACTIVE,17.63,0.0,0.0,0.0,100000.0,100000.0
2011-02-02,UNKNOWN,NO,INACTIVE,17.3,0.0,0.0,0.0,100000.0,100000.0
2011-02-03,UNKNOWN,NO,INACTIVE,16.69,0.0,0.0,0.0,100000.0,100000.0
2011-02-04,UNKNOWN,NO,INACTIVE,15.93,0.0,0.0,0.0,100000.0,100000.0
2011-02-07,UNKNOWN,NO,INACTIVE,16.28,0.0,0.0,0.0,100000.0,100000.0
2011-02-08,UNKNOWN,NO,INACTIVE,15.81,0.0,0.0,0.0,100000.0,100000.0
2011-02-09,UNKNOWN,NO,INACTIVE,15.87,0.0,0.0,0.0,100000.0,100000.0
2011-02-10,UNKNOWN,NO,INACTIVE,16.09,0.0,0.0,0.0,100000.0,100000.0
2011-02-11,UNKNOWN,NO,INACTIVE,15.69,0.0,0.0,0.0,100000.0,100000.0
2011-02-14,UNKNOWN,NO,INACTIVE,15.95,0.0,0.0,0.0,100000.0,100000.0
2011-02-15,UNKNOWN,NO,INACTIVE,16.37,0.0,0.0,0.0,100000.0,100000.0
2011-02-16,UNKNOWN,NO,INACTIVE,16.72,0.0,0.0,0.0,100000.0,100000.0
2011-02-17,UNKNOWN,NO,INACTIVE,16.59,0.0,0.0,0.0,100000.0,100000.0
2011-02-18,UNKNOWN,NO,INACTIVE,16.43,0.0,0.0,0.0,100000.0,100000.0
2011-02-22,UNKNOWN,NO,INACTIVE,20.8,0.0,0.0,0.0,100000.0,100000.0
2011-02-23,UNKNOWN,NO,INACTIVE,22.13,0.0,0.0,0.0,100000.0,100000.0
2011-02-24,UNKNOWN,NO,INACTIVE,21.32,0.0,0.0,0.0,100000.0,100000.0
2011-02-25,UNKNOWN,NO,INACTIVE,19.22,0.0,0.0,0.0,100000.0,100000.0
2011-02-28,UNKNOWN,NO,INACTIVE,18.35,0.0,0.0,0.0,100000.0,100000.0
2011-03-01,UNKNOWN,NO,INACTIVE,21.01,0.0,0.0,0.0,100000.0,100000.0
2011-03-02,UNKNOWN,NO,INACTIVE,20.7,0.0,0.0,0.0,100000.0,100000.0
2011-03-03,UNKNOWN,NO,INACTIVE,18.6,0.0,0.0,0.0,100000.0,100000.0
2011-03-04,UNKNOWN,NO,INACTIVE,19.06,0.0,0.0,0.0,100000.0,100000.0
2011-03-07,UNKNOWN,NO,INACTIVE,20.66,0.0,0.0,0.0,100000.0,100000.0
2011-03-08,UNKNOWN,NO,INACTIVE,19.82,0.0,0.0,0.0,100000.0,100000.0
2011-03-09,UNKNOWN,NO,INACTIVE,20.22,0.0,0.0,0.0,100000.0,100000.0
2011-03-10,UNKNOWN,NO,INACTIVE,21.88,0.0,0.0,0.0,100000.0,100000.0
2011-03-11,UNKNOWN,NO,INACTIVE,20.08,0.0,0.0,0.0,100000.0,100000.0
2011-03-14,UNKNOWN,NO,INACTIVE,21.13,0.0,0.0,0.0,100000.0,100000.0
2011-03-15,UNKNOWN,NO,INACTIVE,24.32,0.0,0.0,0.0,100000.0,100000.0
2011-03-16,UNKNOWN,NO,INACTIVE,29.4,0.0,0.0,0.0,100000.0,100000.0
2011-03-17,UNKNOWN,NO,INACTIVE,26.37,0.0,0.0,0.0,100000.0,100000.0
2011-03-18,UNKNOWN,NO,INACTIVE,24.44,0.0,0.0,0.0,100000.0,100000.0
2011-03-21,UNKNOWN,NO,INACTIVE,20.61,0.0,0.0,0.0,100000.0,100000.0
2011-03-22,UNKNOWN,NO,INACTIVE,20.21,0.0,0.0,0.0,100000.0,100000.0
2011-03-23,UNKNOWN,NO,INACTIVE,19.17,0.0,0.0,0.0,100000.0,100000.0
2011-03-24,UNKNOWN,NO,INACTIVE,18.0,0.0,0.0,0.0,100000.0,100000.0
2011-03-25,UNKNOWN,NO,INACTIVE,17.91,0.0,0.0,0.0,100000.0,100000.0
2011-03-28,UNKNOWN,NO,INACTIVE,19.44,0.0,0.0,0.0,100000.0,100000.0
2011-03-29,UNKNOWN,NO,INACTIVE,18.16,0.0,0.0,0.0,100000.0,100000.0
2011-03-30,UNKNOWN,NO,INACTIVE,17.71,0.0,0.0,0.0,100000.0,100000.0
