strategy,sma_fast,sma_slow,rsi_threshold,upro_pct,tqqq_pct,defensive,sma_delay,bull_caution,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,calmar,win_rate_pct,num_trades,years,final_equity
SMA100_200_RSI50_UPRO100_cash_delay2_cautionTrue,100,200,50,100,0,cash,2,True,2074.49,81.49,-35.79,2.0038,2.2769,49.6,118,5.2,2174487.97
SMA100_200_RSI50_UPRO100_SHY_delay2_cautionTrue,100,200,50,100,0,SHY,2,True,2060.8,81.27,-36.13,1.9988,2.2492,50.4,118,5.2,2160800.89
SMA100_200_RSI50_UPRO100_cash_delay0_cautionTrue,100,200,50,100,0,cash,0,True,2038.04,80.9,-35.79,1.9937,2.2603,48.7,118,5.2,2138043.28
SMA100_200_RSI50_UPRO100_SHY_delay0_cautionTrue,100,200,50,100,0,SHY,0,True,2014.42,80.51,-36.13,1.9863,2.2281,49.6,118,5.2,2114417.48
SMA50_200_RSI50_UPRO100_cash_delay2_cautionTrue,50,200,50,100,0,cash,2,True,1524.91,71.54,-40.27,1.8751,1.7766,47.8,116,5.2,1624910.0
SMA50_200_RSI50_UPRO100_cash_delay0_cautionTrue,50,200,50,100,0,cash,0,True,1515.28,71.34,-41.57,1.8721,1.7161,47.8,116,5.2,1615282.24
SMA50_200_RSI50_UPRO100_SHY_delay0_cautionTrue,50,200,50,100,0,SHY,0,True,1491.36,70.85,-43.45,1.8617,1.6306,48.7,116,5.2,1591360.72
SMA50_200_RSI50_UPRO100_SHY_delay2_cautionTrue,50,200,50,100,0,SHY,2,True,1491.88,70.86,-42.18,1.8611,1.6799,47.8,116,5.2,1591883.27
SMA100_200_RSI50_UPRO75_cash_delay2_cautionTrue,100,200,50,75,25,cash,2,True,1968.83,79.75,-37.79,1.8369,2.1102,50.4,118,5.2,2068829.06
SMA100_200_RSI50_UPRO75_SHY_delay2_cautionTrue,100,200,50,75,25,SHY,2,True,1955.77,79.53,-38.29,1.8325,2.0772,51.3,118,5.2,2055767.49
SMA100_200_RSI50_UPRO100_TLT_delay2_cautionTrue,100,200,50,100,0,TLT,2,True,1685.74,74.7,-49.05,1.8274,1.5231,51.3,118,5.2,1785737.55
SMA100_200_RSI50_UPRO75_cash_delay0_cautionTrue,100,200,50,75,25,cash,0,True,1915.5,78.85,-37.79,1.8225,2.0862,49.6,118,5.2,2015499.46
SMA100_200_RSI50_UPRO75_SHY_delay0_cautionTrue,100,200,50,75,25,SHY,0,True,1893.19,78.46,-38.29,1.8157,2.0493,51.3,118,5.2,1993188.22
SMA100_200_RSI50_UPRO100_TLT_delay0_cautionTrue,100,200,50,100,0,TLT,0,True,1605.71,73.16,-47.91,1.803,1.527,51.3,118,5.2,1705711.84
SMA50_200_RSI50_UPRO75_cash_delay2_cautionTrue,50,200,50,75,25,cash,2,True,1413.14,69.19,-41.76,1.7056,1.6567,48.7,116,5.2,1513139.2
SMA50_200_RSI50_UPRO75_cash_delay0_cautionTrue,50,200,50,75,25,cash,0,True,1404.5,69.0,-42.81,1.7029,1.6117,48.7,116,5.2,1504495.07
SMA50_200_RSI50_UPRO75_SHY_delay0_cautionTrue,50,200,50,75,25,SHY,0,True,1382.18,68.52,-45.07,1.6936,1.5202,49.6,116,5.2,1482184.88
SMA50_200_RSI50_UPRO75_SHY_delay2_cautionTrue,50,200,50,75,25,SHY,2,True,1382.35,68.52,-44.06,1.6929,1.5552,48.7,116,5.2,1482348.78
SMA100_200_RSI50_UPRO75_TLT_delay2_cautionTrue,100,200,50,75,25,TLT,2,True,1598.62,73.02,-50.63,1.6859,1.4423,52.1,118,5.2,1698621.78
SMA50_200_RSI50_UPRO100_TLT_delay0_cautionTrue,50,200,50,100,0,TLT,0,True,1154.56,63.16,-56.62,1.6614,1.1155,49.6,116,5.2,1254556.21
SMA100_200_RSI50_UPRO75_TLT_delay0_cautionTrue,100,200,50,75,25,TLT,0,True,1507.59,71.19,-49.68,1.658,1.4329,52.1,118,5.2,1607594.23
SMA50_200_RSI50_UPRO100_TLT_delay2_cautionTrue,50,200,50,100,0,TLT,2,True,1147.85,63.0,-55.27,1.6577,1.1398,48.7,116,5.2,1247847.79
SMA50_200_RSI50_UPRO75_TLT_delay0_cautionTrue,50,200,50,75,25,TLT,0,True,1068.34,60.93,-57.99,1.5207,1.0506,51.3,116,5.2,1168344.02
SMA50_200_RSI50_UPRO75_TLT_delay2_cautionTrue,50,200,50,75,25,TLT,2,True,1061.81,60.76,-56.7,1.5172,1.0715,50.4,116,5.2,1161814.68
