strategy,sma_fast,sma_slow,rsi_threshold,upro_pct,tqqq_pct,defensive,sma_delay,bull_caution,vix_kill,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,calmar,win_rate_pct,num_trades,years,final_equity
SMA100_200_RSI50_UPRO100_SHY_delay2_cautionTrue_vix35,100,200,50,100,0,SHY,2,True,35.0,6528.56,84.87,-34.9,2.1249,2.4319,51.5,168,6.8,6628555.97
SMA100_200_RSI50_UPRO100_cash_delay2_cautionTrue_vix35,100,200,50,100,0,cash,2,True,35.0,6371.71,84.22,-34.52,2.1139,2.4397,47.9,168,6.8,6471711.32
SMA50_200_RSI50_UPRO100_SHY_delay0_cautionTrue_vix35,50,200,50,100,0,SHY,0,True,35.0,5883.35,82.11,-40.48,2.1135,2.0283,50.6,163,6.8,5983353.01
SMA50_200_RSI50_UPRO100_cash_delay0_cautionTrue_vix35,50,200,50,100,0,cash,0,True,35.0,5810.96,81.79,-38.45,2.1078,2.127,47.5,163,6.8,5910963.87
SMA50_200_RSI50_UPRO100_SHY_delay2_cautionTrue_vix35,50,200,50,100,0,SHY,2,True,35.0,5672.36,81.16,-39.15,2.0985,2.0731,50.0,163,6.8,5772364.2
SMA50_200_RSI50_UPRO100_cash_delay2_cautionTrue_vix35,50,200,50,100,0,cash,2,True,35.0,5627.02,80.95,-37.08,2.095,2.1833,47.5,163,6.8,5727015.36
SMA100_200_RSI50_UPRO100_SHY_delay0_cautionTrue_vix35,100,200,50,100,0,SHY,0,True,35.0,5847.3,81.95,-34.9,2.0793,2.3484,50.9,168,6.8,5947304.67
SMA100_200_RSI50_UPRO100_cash_delay0_cautionTrue_vix35,100,200,50,100,0,cash,0,True,35.0,5742.38,81.48,-34.52,2.0708,2.3603,47.3,168,6.8,5842381.25
SMA100_200_RSI50_UPRO100_TLT_delay2_cautionTrue_vix35,100,200,50,100,0,TLT,2,True,35.0,6704.03,85.57,-46.67,2.0466,1.8336,52.1,168,6.8,6804025.87
SMA50_200_RSI50_UPRO100_TLT_delay0_cautionTrue_vix35,50,200,50,100,0,TLT,0,True,35.0,5710.45,81.33,-54.6,2.0108,1.4897,50.6,163,6.8,5810453.12
SMA100_200_RSI50_UPRO100_TLT_delay0_cautionTrue_vix35,100,200,50,100,0,TLT,0,True,35.0,5948.41,82.4,-45.48,2.0008,1.8119,52.1,168,6.8,6048408.06
SMA50_200_RSI50_UPRO100_TLT_delay2_cautionTrue_vix35,50,200,50,100,0,TLT,2,True,35.0,5495.19,80.33,-53.18,1.995,1.5106,50.6,163,6.8,5595187.04
SMA100_200_RSI50_UPRO75_SHY_delay2_cautionTrue_vix35,100,200,50,75,25,SHY,2,True,35.0,6793.73,85.93,-36.7,1.9934,2.3417,52.1,168,6.8,6893726.88
SMA100_200_RSI50_UPRO75_cash_delay2_cautionTrue_vix35,100,200,50,75,25,cash,2,True,35.0,6630.81,85.28,-36.33,1.9833,2.3475,48.5,168,6.8,6730810.79
SMA50_200_RSI50_UPRO75_SHY_delay0_cautionTrue_vix35,50,200,50,75,25,SHY,0,True,35.0,6109.68,83.11,-42.07,1.9766,1.9754,51.2,163,6.8,6209676.22
SMA50_200_RSI50_UPRO75_cash_delay0_cautionTrue_vix35,50,200,50,75,25,cash,0,True,35.0,6034.72,82.78,-39.63,1.9715,2.0887,48.1,163,6.8,6134720.36
SMA50_200_RSI50_UPRO75_SHY_delay2_cautionTrue_vix35,50,200,50,75,25,SHY,2,True,35.0,5803.12,81.75,-41.0,1.9559,1.9938,50.6,163,6.8,5903116.49
SMA50_200_RSI50_UPRO75_cash_delay2_cautionTrue_vix35,50,200,50,75,25,cash,2,True,35.0,5756.94,81.54,-38.53,1.9528,2.1166,48.1,163,6.8,5856935.03
SMA100_200_RSI50_UPRO75_SHY_delay0_cautionTrue_vix35,100,200,50,75,25,SHY,0,True,35.0,6064.11,82.91,-36.7,1.9484,2.2594,52.1,168,6.8,6164114.21
SMA100_200_RSI50_UPRO75_cash_delay0_cautionTrue_vix35,100,200,50,75,25,cash,0,True,35.0,5955.55,82.43,-36.33,1.9407,2.2691,47.9,168,6.8,6055547.6
SMA100_200_RSI50_UPRO75_TLT_delay2_cautionTrue_vix35,100,200,50,75,25,TLT,2,True,35.0,6976.28,86.64,-48.22,1.9338,1.7969,52.7,168,6.8,7076282.94
SMA50_200_RSI50_UPRO75_TLT_delay0_cautionTrue_vix35,50,200,50,75,25,TLT,0,True,35.0,5930.75,82.32,-55.94,1.8952,1.4716,51.2,163,6.8,6030745.54
SMA100_200_RSI50_UPRO75_TLT_delay0_cautionTrue_vix35,100,200,50,75,25,TLT,0,True,35.0,6168.89,83.36,-47.22,1.8883,1.7653,52.7,168,6.8,6268887.64
SMA50_200_RSI50_UPRO75_TLT_delay2_cautionTrue_vix35,50,200,50,75,25,TLT,2,True,35.0,5622.23,80.93,-54.59,1.874,1.4825,51.9,163,6.8,5722228.47
SMA100_200_RSI50_UPRO100_SHY_delay2_cautionTrue_vixNone,100,200,50,100,0,SHY,2,True,,4190.91,73.45,-48.48,1.6793,1.515,49.0,154,6.8,4290911.27
SMA100_200_RSI50_UPRO100_cash_delay2_cautionTrue_vixNone,100,200,50,100,0,cash,2,True,,4114.42,73.0,-49.01,1.671,1.4895,48.4,154,6.8,4214416.7
SMA100_200_RSI50_UPRO100_TLT_delay2_cautionTrue_vixNone,100,200,50,100,0,TLT,2,True,,4325.39,74.24,-49.05,1.6696,1.5136,50.3,154,6.8,4425389.39
SMA100_200_RSI45_UPRO100_SHY_delay2_cautionTrue_vix35,100,200,45,100,0,SHY,2,True,35.0,4576.43,75.65,-60.06,1.6499,1.2597,50.8,133,6.8,4676431.37
SMA100_200_RSI45_UPRO100_cash_delay2_cautionTrue_vix35,100,200,45,100,0,cash,2,True,35.0,4463.43,75.03,-60.03,1.641,1.2498,46.2,133,6.8,4563429.63
SMA100_200_RSI50_UPRO100_SHY_delay0_cautionTrue_vixNone,100,200,50,100,0,SHY,0,True,,3749.91,70.72,-48.48,1.6389,1.4586,48.4,154,6.8,3849911.92
SMA100_200_RSI50_UPRO100_cash_delay0_cautionTrue_vixNone,100,200,50,100,0,cash,0,True,,3704.59,70.42,-49.01,1.633,1.437,47.7,154,6.8,3804593.24
SMA100_200_RSI50_UPRO75_SHY_delay2_cautionTrue_vixNone,100,200,50,75,25,SHY,2,True,,4525.28,75.37,-47.29,1.6294,1.5937,49.7,154,6.8,4625279.36
SMA100_200_RSI50_UPRO100_TLT_delay0_cautionTrue_vixNone,100,200,50,100,0,TLT,0,True,,3833.93,71.26,-47.91,1.6274,1.4874,50.3,154,6.8,3933929.91
SMA50_200_RSI50_UPRO100_SHY_delay0_cautionTrue_vixNone,50,200,50,100,0,SHY,0,True,,2779.79,63.61,-48.48,1.6268,1.312,48.3,152,6.8,2879785.51
SMA50_200_RSI50_UPRO100_cash_delay0_cautionTrue_vixNone,50,200,50,100,0,cash,0,True,,2757.11,63.42,-49.01,1.6221,1.2941,47.7,152,6.8,2857112.8
SMA100_200_RSI50_UPRO75_TLT_delay2_cautionTrue_vixNone,100,200,50,75,25,TLT,2,True,,4669.9,76.16,-50.63,1.6221,1.5044,51.0,154,6.8,4769900.44
