strategy,etf,ifa_score,sharpe,total_return_pct,cagr_pct,max_drawdown_pct,calmar,sortino,win_rate,total_trades,profit_factor,avg_trade_pct,avg_win,avg_loss,avg_bars_held,passes_gates,final_capital,data_source
EMA_5_13_ADX25,SPY,0.4751,1.18,137.5,15.96,20.99,0.76,1.38,78.6,14,10.74,9.82,13749.35,-4692.94,77.9,True,237164.01,databento
IBS_15pct_5d,TQQQ,0.4699,1.039,853.97,46.0,39.83,1.155,0.99,67.1,158,1.95,5.4,16545.49,-17330.98,2.7,True,952611.6,databento
IBS_20pct_5d,TQQQ,0.4637,1.015,874.62,46.52,40.99,1.135,1.044,67.2,198,1.7,4.42,15986.44,-19276.35,2.6,True,973233.2,databento
RSI_Bounce_30_55_ATR2.5,GLD,0.4501,1.004,22.76,3.54,3.45,1.026,0.51,87.5,8,9.3,2.84,3642.56,-2741.82,13.9,False,122756.08,databento
IBS_20pct_3d,TQQQ,0.4475,0.996,736.71,42.82,38.47,1.113,1.006,65.7,207,1.59,3.56,14522.43,-17458.17,2.4,True,835520.16,databento
EMA_5_13_ADX25,UPRO,0.4429,0.93,503.42,36.03,50.4,0.715,1.059,90.0,10,5.68,50.34,67783.31,-107487.32,107.0,True,602562.45,databento
IBS_20pct_2d,TQQQ,0.418,0.939,579.06,37.9,36.72,1.032,0.921,63.0,216,1.47,2.68,13265.45,-15325.07,2.0,True,678096.15,databento
SMA200_RSI_35_75,QQQ,0.4134,0.945,56.33,8.06,12.55,0.642,0.644,80.0,5,11.99,11.27,15363.86,-5124.52,75.2,False,156330.94,databento
IBS_20pct_2d,SOXL,0.4102,0.913,924.08,47.74,68.92,0.693,0.919,63.7,234,1.2,3.95,36496.22,-53121.37,2.0,True,1022621.34,databento
IBS_20pct_5d,UPRO,0.405,0.903,468.01,33.83,38.14,0.887,0.908,65.1,189,1.68,2.48,9332.35,-10325.55,2.8,True,566392.6,databento
RSI_Bounce_25_70_ATR2.5,SOXL,0.4049,0.941,780.85,44.59,46.73,0.954,0.687,100.0,4,0.0,195.21,195212.1,0.0,71.0,False,880848.41,databento
IBS_10pct_5d,UPRO,0.3974,0.867,361.13,29.23,33.93,0.862,0.692,65.5,116,2.07,3.11,9142.53,-8375.43,2.7,True,459815.44,databento
IBS_15pct_3d,TQQQ,0.3964,0.874,457.02,33.4,38.47,0.868,0.802,63.9,166,1.64,2.75,11007.19,-11842.26,2.4,True,556227.2,databento
IBS_20pct_5d,SOXL,0.3925,0.852,740.02,42.91,76.75,0.559,0.896,66.5,212,1.2,3.49,31597.55,-52344.12,2.8,True,838822.59,databento
IBS_15pct_2d,SOXL,0.3917,0.872,716.87,42.25,67.49,0.626,0.778,63.5,197,1.3,3.64,24869.77,-33252.48,1.9,True,814542.17,databento
RSI_Bounce_30_60_ATR2.5,GLD,0.3916,0.843,21.04,3.29,5.39,0.61,0.442,85.7,7,8.79,3.01,3956.6,-2700.77,21.1,False,121038.8,databento
RSI_MeanRev_25_75,SOXL,0.3915,0.912,676.71,41.54,46.72,0.889,0.64,100.0,4,0.0,169.18,169177.01,0.0,64.5,False,776708.03,databento
IBS_15pct_5d,UPRO,0.3906,0.863,387.33,30.44,38.52,0.79,0.779,65.8,155,1.75,2.5,8813.34,-9679.6,2.7,True,485942.06,databento
SMA200_RSI_40_75,QQQ,0.3884,0.872,71.91,9.86,14.18,0.695,0.721,83.3,6,7.66,11.98,16487.4,-10768.44,95.7,False,171668.57,databento
RSI_Bounce_30_70_ATR1.5,SOXL,0.3812,0.805,503.0,35.59,53.59,0.664,0.613,77.8,9,4.85,55.89,90525.74,-65338.27,33.1,False,603003.66,databento
RSI_Bounce_25_65_ATR2.5,SOXL,0.381,0.885,604.89,39.23,46.73,0.84,0.566,100.0,4,0.0,151.22,151223.42,0.0,49.2,False,704893.66,databento
RSI_Bounce_25_70_ATR2.0,SOXL,0.3766,0.87,580.94,38.42,46.72,0.822,0.609,100.0,4,0.0,145.24,145235.4,0.0,64.0,False,680941.58,databento
EMA_20_50_ADX20,GLD,0.3749,1.225,154.09,17.31,18.1,0.956,1.454,100.0,2,0.0,77.04,76858.39,0.0,549.0,False,253716.77,databento
