date,day_number,step2_state,combined_state,vix,spy_close,spy_sma50,spy_sma200,spxu_close,svix_close,svix_available,spxu_shares,svix_shares,spxu_value,svix_value,cash,portfolio_value,allocation,allocation_pct,step2_pv_reference,daily_pnl,cumulative_return_pct
2020-01-02,1,CASH,CASH_IDLE,12.47,325.07,311.84,296.47,19.47,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,100000.0,0.0,0.0
2020-01-03,2,SMA_RECOVERY,SMA_RECOVERY,14.02,322.74,312.29,296.67,19.93,0.0,NO,0.0,0.0,0.0,0.0,100066.44,100066.44,0.0,0.0,100066.44,66.44,0.07
2020-01-06,3,BULL_100,BULL_100,13.85,323.22,312.79,296.88,19.79,0.0,NO,0.0,0.0,0.0,0.0,101479.05,101479.05,0.0,0.0,101479.05,1412.61,1.48
2020-01-07,4,BULL_100,BULL_100,13.79,319.47,313.17,297.05,20.49,0.0,NO,0.0,0.0,0.0,0.0,98068.7,98068.7,0.0,0.0,98068.7,-3410.35,-1.93
2020-01-08,5,BULL_100,BULL_100,13.45,325.15,313.68,297.28,19.44,0.0,NO,0.0,0.0,0.0,0.0,103760.49,103760.49,0.0,0.0,103760.49,5691.79,3.76
2020-01-09,6,BULL_100,BULL_100,12.54,326.9,314.18,297.52,19.16,0.0,NO,0.0,0.0,0.0,0.0,105356.42,105356.42,0.0,0.0,105356.42,1595.93,5.36
2020-01-10,7,BULL_100,BULL_100,12.56,325.62,314.62,297.74,19.37,0.0,NO,0.0,0.0,0.0,0.0,104022.98,104022.98,0.0,0.0,104022.98,-1333.44,4.02
2020-01-13,8,BULL_100,BULL_100,12.32,328.38,315.13,297.99,18.87,0.0,NO,0.0,0.0,0.0,0.0,107302.55,107302.55,0.0,0.0,107302.55,3279.57,7.3
2020-01-14,9,BULL_100,BULL_100,12.39,327.2,315.58,298.21,19.11,0.0,NO,0.0,0.0,0.0,0.0,105778.74,105778.74,0.0,0.0,105778.74,-1523.81,5.78
2020-01-15,10,BULL_100,BULL_100,12.42,328.8,316.09,298.45,18.8,0.0,NO,0.0,0.0,0.0,0.0,107309.55,107309.55,0.0,0.0,107309.55,1530.81,7.31
2020-01-16,11,BULL_100,BULL_100,12.32,331.13,316.59,298.67,18.45,0.0,NO,0.0,0.0,0.0,0.0,109324.25,109324.25,0.0,0.0,109324.25,2014.7,9.32
2020-01-17,12,BULL_100,BULL_100,12.1,331.8,317.07,298.9,18.33,0.0,NO,0.0,0.0,0.0,0.0,110289.15,110289.15,0.0,0.0,110289.15,964.9,10.29
2020-01-21,13,BULL_100,BULL_100,12.85,331.2,317.56,299.12,18.4,0.0,NO,0.0,0.0,0.0,0.0,109895.17,109895.17,0.0,0.0,109895.17,-393.98,9.9
2020-01-22,14,BULL_100,BULL_100,12.91,330.69,318.03,299.34,18.47,0.0,NO,0.0,0.0,0.0,0.0,109482.09,109482.09,0.0,0.0,109482.09,-413.08,9.48
2020-01-23,15,BULL_100,BULL_100,12.98,332.25,318.5,299.56,18.26,0.0,NO,0.0,0.0,0.0,0.0,111430.34,111430.34,0.0,0.0,111430.34,1948.25,11.43
2020-01-24,16,BULL_100,BULL_100,14.56,328.41,318.89,299.76,18.82,0.0,NO,0.0,0.0,0.0,0.0,107150.53,107150.53,0.0,0.0,107150.53,-4279.81,7.15
2020-01-27,17,BULL_100,BULL_100,18.23,324.03,319.2,299.94,19.66,0.0,NO,0.0,0.0,0.0,0.0,102799.95,102799.95,0.0,0.0,102799.95,-4350.58,2.8
2020-01-28,18,BULL_100,BULL_100,16.28,326.89,319.57,300.13,19.11,0.0,NO,0.0,0.0,0.0,0.0,105724.42,105724.42,0.0,0.0,105724.42,2924.47,5.72
2020-01-29,19,BULL_100,BULL_100,16.39,326.73,319.92,300.33,19.23,0.0,NO,0.0,0.0,0.0,0.0,106044.9,106044.9,0.0,0.0,106044.9,320.48,6.04
2020-01-30,20,BULL_100,BULL_100,15.49,328.32,320.29,300.52,18.83,0.0,NO,0.0,0.0,0.0,0.0,107880.0,107880.0,0.0,0.0,107880.0,1835.1,7.88
2020-01-31,21,BULL_100,BULL_100,18.84,321.92,320.49,300.68,19.95,0.0,NO,0.0,0.0,0.0,0.0,101314.57,101314.57,0.0,0.0,101314.57,-6565.43,1.31
2020-02-03,22,BULL_100,BULL_100,17.97,323.61,320.73,300.84,19.66,0.0,NO,0.0,0.0,0.0,0.0,102981.99,102981.99,0.0,0.0,102981.99,1667.42,2.98
2020-02-04,23,BULL_100,BULL_100,16.05,328.88,321.08,301.04,18.58,0.0,NO,0.0,0.0,0.0,0.0,109094.8,109094.8,0.0,0.0,109094.8,6112.81,9.09
2020-02-05,24,BULL_100,BULL_100,15.15,332.9,321.54,301.25,18.01,0.0,NO,0.0,0.0,0.0,0.0,112647.22,112647.22,0.0,0.0,112647.22,3552.42,12.65
2020-02-06,25,BULL_100,BULL_100,14.96,334.45,322.02,301.48,17.8,0.0,NO,0.0,0.0,0.0,0.0,114183.8,114183.8,0.0,0.0,114183.8,1536.58,14.18
2020-02-07,26,BULL_100,BULL_100,15.47,331.74,322.43,301.67,18.23,0.0,NO,0.0,0.0,0.0,0.0,111688.81,111688.81,0.0,0.0,111688.81,-2494.99,11.69
2020-02-10,27,BULL_100,BULL_100,15.04,334.61,322.86,301.88,17.77,0.0,NO,0.0,0.0,0.0,0.0,114949.3,114949.3,0.0,0.0,114949.3,3260.49,14.95
2020-02-11,28,BULL_100,BULL_100,15.18,335.62,323.29,302.1,17.6,0.0,NO,0.0,0.0,0.0,0.0,115964.39,115964.39,0.0,0.0,115964.39,1015.09,15.96
2020-02-12,29,BULL_100,BULL_100,13.74,336.15,323.72,302.31,17.5,0.0,NO,0.0,0.0,0.0,0.0,116780.05,116780.05,0.0,0.0,116780.05,815.66,16.78
2020-02-13,30,BULL_100,BULL_100,14.15,337.06,324.17,302.53,17.33,0.0,NO,0.0,0.0,0.0,0.0,117403.32,117403.32,0.0,0.0,117403.32,623.27,17.4
2020-02-14,31,BULL_100,BULL_100,13.68,337.81,324.69,302.75,17.29,0.0,NO,0.0,0.0,0.0,0.0,118152.46,118152.46,0.0,0.0,118152.46,749.14,18.15
2020-02-18,32,BULL_100,BULL_100,14.83,337.4,325.25,302.98,17.39,0.0,NO,0.0,0.0,0.0,0.0,118304.62,118304.62,0.0,0.0,118304.62,152.16,18.3
2020-02-19,33,BULL_100,BULL_100,14.38,338.86,325.81,303.21,17.13,0.0,NO,0.0,0.0,0.0,0.0,120004.61,120004.61,0.0,0.0,120004.61,1699.99,20.0
2020-02-20,34,BULL_100,BULL_100,15.56,335.36,326.27,303.42,17.67,0.0,NO,0.0,0.0,0.0,0.0,115899.39,115899.39,0.0,0.0,115899.39,-4105.22,15.9
2020-02-21,35,BULL_100,BULL_100,17.08,333.45,326.64,303.63,17.96,0.0,NO,0.0,0.0,0.0,0.0,113230.94,113230.94,0.0,0.0,113230.94,-2668.45,13.23
