date,day_number,state,state_changed_today,pending_signal_for_tomorrow,spy_close,upro_open,upro_close,upro_daily_return_pct,vix,vix_threshold,vix_above_threshold,spy_sma200,spy_vs_sma200,spy_minus_sma200,kill_switch_active,kill_reason,spy_sma50,spy_vs_sma50,spy_minus_sma50,days_below_sma50,days_above_sma50,defensive_trigger,spy_rsi_14,rsi_sell_threshold,rsi_rebuy_threshold,rsi_zone,shares_held,cash_held,upro_position_value,portfolio_value,upro_allocation_pct,cash_allocation_pct,daily_pnl,cumulative_return_pct
2020-10-15,1,CASH,NO,"RE-ENTRY: SPY>312(200), VIX=27.0<30",348.32,30.685,31.335,2.12,26.97,30.0,NO,311.82,ABOVE,36.5,NO,N/A,339.34,ABOVE,8.98,0,7,"NO (need 2d, have 0d)",58.83,75.0,60,COOL (<60),0.0,100000.0,0.0,100000.0,0.0,100.0,0.0,0.0
2020-10-16,2,BULL_100,YES,NONE,346.21,31.115,30.75,-1.17,27.41,30.0,NO,311.93,ABOVE,34.28,NO,N/A,339.58,ABOVE,6.63,0,8,"NO (need 2d, have 0d)",56.24,75.0,60,COOL (<60),3181.7451,786.09,97838.66,98624.75,99.2,0.8,-1375.25,-1.38
2020-10-19,3,BULL_100,NO,NONE,343.9,31.51,30.09,-4.51,29.18,30.0,NO,312.04,ABOVE,31.86,NO,N/A,339.76,ABOVE,4.14,0,9,"NO (need 2d, have 0d)",53.46,75.0,60,COOL (<60),3181.7451,786.09,95738.71,96524.8,99.2,0.8,-2099.95,-3.48
2020-10-20,4,BULL_100,NO,NONE,344.43,30.165,30.23,0.22,29.35,30.0,NO,312.14,ABOVE,32.29,NO,N/A,339.95,ABOVE,4.48,0,10,"NO (need 2d, have 0d)",54.02,75.0,60,COOL (<60),3181.7451,786.09,96184.16,96970.25,99.2,0.8,445.45,-3.03
2020-10-21,5,BULL_100,NO,NONE,341.33,30.14,29.35,-2.62,28.65,30.0,NO,312.25,ABOVE,29.08,NO,N/A,340.11,ABOVE,1.22,0,11,"NO (need 2d, have 0d)",50.2,75.0,60,COOL (<60),3181.7451,786.09,93384.22,94170.31,99.2,0.8,-2799.94,-5.83
2020-10-22,6,BULL_100,NO,NONE,345.15,29.565,30.39,2.79,28.11,30.0,NO,312.35,ABOVE,32.8,NO,N/A,340.27,ABOVE,4.88,0,12,"NO (need 2d, have 0d)",54.47,75.0,60,COOL (<60),3181.7451,786.09,96693.23,97479.32,99.2,0.8,3309.01,-2.52
2020-10-23,7,BULL_100,NO,NONE,345.5,30.465,30.525,0.2,27.55,30.0,NO,312.44,ABOVE,33.06,NO,N/A,340.42,ABOVE,5.08,0,13,"NO (need 2d, have 0d)",54.85,75.0,60,COOL (<60),3181.7451,786.09,97122.77,97908.86,99.2,0.8,429.54,-2.09
2020-10-26,8,BULL_100,NO,"KILL: VIX=32.5, SPY=339.17 vs 200SMA=312.51",339.17,29.475,28.905,-1.93,32.46,30.0,YES,312.51,ABOVE,26.66,YES,VIX>30.0,340.47,BELOW,-1.3,1,0,"NO (need 2d, have 1d)",47.15,75.0,60,COOL (<60),3181.7451,786.09,91968.34,92754.43,99.2,0.8,-5154.43,-7.25
2020-10-27,9,CASH,YES,NONE,336.55,29.1,28.17,-3.2,33.35,30.0,YES,312.55,ABOVE,24.0,YES,VIX>30.0,340.43,BELOW,-3.88,2,0,YES,44.38,75.0,60,COOL (<60),0.0,93173.79,0.0,93173.79,0.0,100.0,419.36,-6.83
2020-10-28,10,CASH,NO,NONE,328.19,27.83,26.02,-6.5,40.28,30.0,YES,312.56,ABOVE,15.63,YES,VIX>30.0,340.22,BELOW,-12.03,3,0,YES,36.91,75.0,60,COOL (<60),0.0,93173.79,0.0,93173.79,0.0,100.0,-0.0,-6.83
