date,state,scenario,upro_price,shares,cash,portfolio_value,vix
2020-10-15,OFF_R,15,31.335,0.0,100000.0,100000.0,26.97
2020-10-16,OFF_R,15,30.75,0.0,100000.0,100000.0,27.41
2020-10-19,OFF_R,15,30.09,0.0,100000.0,100000.0,29.18
2020-10-20,OFF_R,15,30.23,0.0,100000.0,100000.0,29.35
2020-10-21,OFF_R,15,29.35,0.0,100000.0,100000.0,28.65
2020-10-22,OFF_R,15,30.39,0.0,100000.0,100000.0,28.11
2020-10-23,OFF_R,15,30.525,0.0,100000.0,100000.0,27.55
2020-10-26,OFF_C5,6,28.905,0.0,100000.0,100000.0,32.46
2020-10-27,OFF_C5,6,28.17,0.0,100000.0,100000.0,33.35
2020-10-28,OFF_C5,6,26.02,0.0,100000.0,100000.0,40.28
2020-10-29,OFF_C5,6,25.88,0.0,100000.0,100000.0,37.59
2020-10-30,OFF_C5,6,25.83,0.0,100000.0,100000.0,38.02
2020-11-02,OFF_C5,6,26.635,0.0,100000.0,100000.0,37.13
2020-11-03,OFF_C5,6,28.415,0.0,100000.0,100000.0,35.55
2020-11-04,OFF_C4,15,29.72,0.0,100000.0,100000.0,29.57
2020-11-05,OFF_C3,15,31.325,0.0,100000.0,100000.0,27.58
2020-11-06,OFF_C2,14,31.655,0.0,100000.0,100000.0,24.86
2020-11-09,OFF_C1,14,32.645,0.0,100000.0,100000.0,25.75
2020-11-10,OFF_R,14,32.37,0.0,100000.0,100000.0,24.8
2020-11-11,FULL,14,33.225,2257.3363,24961.5,99961.5,23.45
2020-11-12,FULL,15,32.26,2257.3363,24961.5,97783.17,25.35
2020-11-13,FULL,14,33.62,2257.3363,24961.5,100853.15,23.1
2020-11-16,FULL,14,34.745,2257.3363,24961.5,103392.65,22.45
2020-11-17,FULL,14,34.33,2257.3363,24961.5,102455.86,22.71
2020-11-18,FULL,15,33.0,2257.3363,24961.5,99453.6,23.84
2020-11-19,FULL,15,32.625,2257.3363,24961.5,98607.1,23.11
2020-11-20,FULL,15,32.69,2257.3363,24961.5,98753.83,23.7
2020-11-23,FULL,14,33.875,2257.3363,24961.5,101428.77,22.66
2020-11-24,FULL,14,35.22,2257.3363,24961.5,104464.89,21.64
2020-11-25,FULL,14,34.915,2257.3363,24961.5,103776.4,21.25
