date,day_number,state,state_changed_today,pending_signal_for_tomorrow,spy_close,qqq_close,upro_open,upro_close,tqqq_open,tqqq_close,vix,vix_threshold,vix_above_threshold,spy_sma200,spy_vs_sma200,kill_switch_active,kill_reason,spy_sma50,spy_vs_sma50,days_below_sma50_spy,days_above_sma50_spy,spy_defensive_trigger,qqq_sma50,qqq_vs_sma50,days_below_sma50_qqq,days_above_sma50_qqq,qqq_defensive_trigger,spy_rsi_14,rsi_zone,upro_shares,tqqq_shares,cash,upro_value,tqqq_value,portfolio_value,upro_allocation_pct,tqqq_allocation_pct,cash_allocation_pct,daily_pnl,cumulative_return_pct
2020-10-15,1,CASH,NO,"SMA_RECOVERY: SPY>312(200SMA), VIX=27.0<30",348.32,290.64,30.685,31.335,18.2462,18.5325,26.97,30.0,NO,311.82,ABOVE,NO,N/A,339.34,ABOVE,0,7,"NO (need 2d, have 0d)",279.38,ABOVE,0,7,"NO (need 2d, have 0d)",58.83,COOL (<60),0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,100.0,0.0,0.0
2020-10-16,2,SMA_RECOVERY,YES,RE-ENTRY COMPLETE: VIX=27.4<30 (50-SMA check skipped),346.21,287.69,31.115,30.75,18.45,17.95,27.41,30.0,NO,311.93,ABOVE,NO,N/A,339.58,ABOVE,0,8,"NO (need 2d, have 0d)",279.65,ABOVE,0,8,"NO (need 2d, have 0d)",56.24,COOL (<60),1807.8097,1016.2602,24835.88,55590.15,18241.87,98667.9,56.3,18.5,25.2,-1332.1,-1.33
2020-10-19,3,BULL_100,YES,NONE,343.9,285.78,31.51,30.09,18.5238,17.5888,29.18,30.0,NO,312.04,ABOVE,NO,N/A,339.76,ABOVE,0,9,"NO (need 2d, have 0d)",279.94,ABOVE,0,9,"NO (need 2d, have 0d)",53.46,COOL (<60),2371.1202,1344.4722,954.13,71347.01,23647.58,95948.72,74.4,24.6,1.0,-2719.18,-4.05
2020-10-20,4,BULL_100,NO,NONE,344.43,285.47,30.165,30.23,17.66,17.5375,29.35,30.0,NO,312.14,ABOVE,NO,N/A,339.95,ABOVE,0,10,"NO (need 2d, have 0d)",280.24,ABOVE,0,10,"NO (need 2d, have 0d)",54.02,COOL (<60),2371.1202,1344.4722,954.13,71678.96,23578.68,96211.78,74.5,24.5,1.0,263.06,-3.79
2020-10-21,5,BULL_100,NO,NONE,341.33,283.67,30.14,29.35,17.3962,17.1875,28.65,30.0,NO,312.25,ABOVE,NO,N/A,340.11,ABOVE,0,11,"NO (need 2d, have 0d)",280.58,ABOVE,0,11,"NO (need 2d, have 0d)",50.2,COOL (<60),2371.1202,1344.4722,954.13,69592.38,23108.12,93654.62,74.3,24.7,1.0,-2557.16,-6.35
2020-10-22,6,BULL_100,NO,NONE,345.15,284.56,29.565,30.39,17.2475,17.3612,28.11,30.0,NO,312.35,ABOVE,NO,N/A,340.27,ABOVE,0,12,"NO (need 2d, have 0d)",280.84,ABOVE,0,12,"NO (need 2d, have 0d)",54.47,COOL (<60),2371.1202,1344.4722,954.13,72058.34,23341.72,96354.19,74.8,24.2,1.0,2699.57,-3.65
2020-10-23,7,BULL_100,NO,NONE,345.5,285.0,30.465,30.525,17.3975,17.4362,27.55,30.0,NO,312.44,ABOVE,NO,N/A,340.42,ABOVE,0,13,"NO (need 2d, have 0d)",281.08,ABOVE,0,13,"NO (need 2d, have 0d)",54.85,COOL (<60),2371.1202,1344.4722,954.13,72378.45,23442.55,96775.13,74.8,24.2,1.0,420.94,-3.22
2020-10-26,8,BULL_100,NO,"KILL: VIX=32.5, SPY vs 200SMA",339.17,280.34,29.475,28.905,17.0,16.5825,32.46,30.0,YES,312.51,ABOVE,YES,VIX>30.0,340.47,BELOW,1,0,"NO (need 2d, have 1d)",281.25,BELOW,1,0,"NO (need 2d, have 1d)",47.15,COOL (<60),2371.1202,1344.4722,954.13,68537.23,22294.71,91786.07,74.7,24.3,1.0,-4989.06,-8.21
2020-10-27,9,CASH,YES,NONE,336.55,281.45,29.1,28.17,16.79,16.7812,33.35,30.0,YES,312.55,ABOVE,YES,VIX>30.0,340.43,BELOW,2,0,YES,281.36,ABOVE,0,1,"NO (need 2d, have 0d)",44.38,COOL (<60),0.0,0.0,92325.69,0.0,0.0,92325.69,0.0,0.0,100.0,539.62,-7.67
2020-10-28,10,CASH,NO,NONE,328.19,272.96,27.83,26.02,16.735,15.2312,40.28,30.0,YES,312.56,ABOVE,YES,VIX>30.0,340.22,BELOW,3,0,YES,281.25,BELOW,1,0,"NO (need 2d, have 1d)",36.91,COOL (<60),0.0,0.0,92325.69,0.0,0.0,92325.69,0.0,0.0,100.0,-0.0,-7.67
