date,day_number,step2_state,combined_state,vix,spy_close,spy_sma50,spy_sma200,spxu_close,svix_close,svix_available,spxu_shares,svix_shares,spxu_value,svix_value,cash,portfolio_value,allocation,allocation_pct,step2_pv_reference,daily_pnl,cumulative_return_pct
2019-02-14,1,CASH,CASH_IDLE,16.22,274.1,261.11,274.12,34.99,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,100000.0,0.0,0.0
2019-02-15,2,CASH,CASH_IDLE,14.91,277.86,261.09,274.18,33.69,0.0,NO,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,100000.0,0.0,0.0
2019-02-19,3,SMA_RECOVERY,SMA_RECOVERY,14.88,277.66,261.23,274.26,33.67,0.0,NO,0.0,0.0,0.0,0.0,100140.21,100140.21,0.0,0.0,100140.21,140.21,0.14
2019-02-20,4,BULL_100,BULL_100,14.02,278.47,261.4,274.34,33.36,0.0,NO,0.0,0.0,0.0,0.0,100747.32,100747.32,0.0,0.0,100747.32,607.11,0.75
2019-02-21,5,BULL_100,BULL_100,14.46,277.37,261.68,274.39,33.84,0.0,NO,0.0,0.0,0.0,0.0,99486.31,99486.31,0.0,0.0,99486.31,-1261.01,-0.51
2019-02-22,6,BULL_100,BULL_100,13.51,279.33,261.99,274.45,33.09,0.0,NO,0.0,0.0,0.0,0.0,101639.96,101639.96,0.0,0.0,101639.96,2153.65,1.64
2019-02-25,7,BULL_100,BULL_100,14.85,279.35,262.29,274.52,33.16,0.0,NO,0.0,0.0,0.0,0.0,101788.03,101788.03,0.0,0.0,101788.03,148.07,1.79
2019-02-26,8,BULL_100,BULL_100,15.17,278.77,262.54,274.56,33.25,0.0,NO,0.0,0.0,0.0,0.0,101515.87,101515.87,0.0,0.0,101515.87,-272.16,1.52
2019-02-27,9,BULL_100,BULL_100,14.7,279.4,262.83,274.6,33.1,0.0,NO,0.0,0.0,0.0,0.0,102059.3,102059.3,0.0,0.0,102059.3,543.43,2.06
2019-02-28,10,BULL_100,BULL_100,14.78,278.59,263.2,274.63,33.52,0.0,NO,0.0,0.0,0.0,0.0,101060.56,101060.56,0.0,0.0,101060.56,-998.74,1.06
2019-03-01,11,BULL_100,BULL_100,13.57,280.75,263.69,274.67,32.7,0.0,NO,0.0,0.0,0.0,0.0,103363.2,103363.2,0.0,0.0,103363.2,2302.64,3.36
2019-03-04,12,BULL_100,BULL_100,14.63,279.09,264.18,274.71,33.33,0.0,NO,0.0,0.0,0.0,0.0,101905.66,101905.66,0.0,0.0,101905.66,-1457.54,1.91
2019-03-05,13,BULL_100,BULL_100,14.74,278.75,264.73,274.74,33.43,0.0,NO,0.0,0.0,0.0,0.0,101626.8,101626.8,0.0,0.0,101626.8,-278.86,1.63
2019-03-06,14,BULL_100,BULL_100,15.74,276.94,265.29,274.77,33.97,0.0,NO,0.0,0.0,0.0,0.0,99710.23,99710.23,0.0,0.0,99710.23,-1916.57,-0.29
2019-03-07,15,BULL_100,BULL_100,16.59,275.25,265.99,274.79,34.71,0.0,NO,0.0,0.0,0.0,0.0,97572.24,97572.24,0.0,0.0,97572.24,-2137.99,-2.43
2019-03-08,16,BULL_100,BULL_100,16.05,274.96,266.83,274.79,34.88,0.0,NO,0.0,0.0,0.0,0.0,97198.95,97198.95,0.0,0.0,97198.95,-373.29,-2.8
2019-03-11,17,BULL_100,BULL_100,14.33,279.37,267.5,274.83,33.14,0.0,NO,0.0,0.0,0.0,0.0,102499.14,102499.14,0.0,0.0,102499.14,5300.19,2.5
2019-03-12,18,BULL_100,BULL_100,13.77,279.26,268.14,274.86,33.13,0.0,NO,0.0,0.0,0.0,0.0,102305.8,102305.8,0.0,0.0,102305.8,-193.34,2.31
2019-03-13,19,BULL_100,BULL_100,13.41,281.73,268.82,274.9,32.32,0.0,NO,0.0,0.0,0.0,0.0,105137.94,105137.94,0.0,0.0,105137.94,2832.14,5.14
2019-03-14,20,BULL_100,BULL_100,13.5,281.23,269.45,274.95,32.52,0.0,NO,0.0,0.0,0.0,0.0,104467.3,104467.3,0.0,0.0,104467.3,-670.64,4.47
2019-03-15,21,BULL_100,BULL_100,12.88,281.11,270.14,275.01,32.02,0.0,NO,0.0,0.0,0.0,0.0,106211.41,106211.41,0.0,0.0,106211.41,1744.11,6.21
2019-03-18,22,BULL_100,BULL_100,13.1,282.68,270.9,275.06,31.71,0.0,NO,0.0,0.0,0.0,0.0,107616.77,107616.77,0.0,0.0,107616.77,1405.36,7.62
2019-03-19,23,BULL_100,BULL_100,13.56,282.01,271.49,275.11,31.87,0.0,NO,0.0,0.0,0.0,0.0,107221.13,107221.13,0.0,0.0,107221.13,-395.64,7.22
2019-03-20,24,BULL_100,BULL_100,13.91,281.4,272.03,275.15,31.97,0.0,NO,0.0,0.0,0.0,0.0,107072.36,107072.36,0.0,0.0,107072.36,-148.77,7.07
2019-03-21,25,BULL_100,BULL_100,13.63,284.77,272.59,275.2,30.85,0.0,NO,0.0,0.0,0.0,0.0,110978.81,110978.81,0.0,0.0,110978.81,3906.45,10.98
2019-03-22,26,BULL_100,BULL_100,16.48,279.24,273.03,275.22,32.74,0.0,NO,0.0,0.0,0.0,0.0,104127.48,104127.48,0.0,0.0,104127.48,-6851.33,4.13
2019-03-25,27,BULL_100,BULL_100,16.33,279.69,273.46,275.23,32.5,0.0,NO,0.0,0.0,0.0,0.0,104699.3,104699.3,0.0,0.0,104699.3,571.82,4.7
2019-03-26,28,BULL_100,BULL_100,14.68,280.97,273.9,275.25,32.15,0.0,NO,0.0,0.0,0.0,0.0,105840.36,105840.36,0.0,0.0,105840.36,1141.06,5.84
2019-03-27,29,BULL_100,BULL_100,15.15,279.39,274.34,275.25,32.71,0.0,NO,0.0,0.0,0.0,0.0,103862.06,103862.06,0.0,0.0,103862.06,-1978.3,3.86
2019-03-28,30,BULL_100,BULL_100,14.43,281.44,274.76,275.27,32.05,0.0,NO,0.0,0.0,0.0,0.0,106254.54,106254.54,0.0,0.0,106254.54,2392.48,6.25
2019-03-29,31,BULL_100,BULL_100,13.71,282.58,275.2,275.28,31.57,0.0,NO,0.0,0.0,0.0,0.0,107575.82,107575.82,0.0,0.0,107575.82,1321.28,7.58
2019-04-01,32,BULL_100,BULL_100,13.4,285.97,275.66,275.32,30.44,0.0,NO,0.0,0.0,0.0,0.0,111407.54,111407.54,0.0,0.0,111407.54,3831.72,11.41
2019-04-02,33,BULL_100,BULL_100,13.36,285.53,276.04,275.36,30.6,0.0,NO,0.0,0.0,0.0,0.0,111224.34,111224.34,0.0,0.0,111224.34,-183.2,11.22
2019-04-03,34,BULL_100,BULL_100,13.74,286.7,276.53,275.41,30.16,0.0,NO,0.0,0.0,0.0,0.0,112796.86,112796.86,0.0,0.0,112796.86,1572.52,12.8
2019-04-04,35,BULL_100,BULL_100,13.58,287.04,277.02,275.47,30.07,0.0,NO,0.0,0.0,0.0,0.0,112879.21,112879.21,0.0,0.0,112879.21,82.35,12.88
2019-04-05,36,BULL_100,BULL_100,12.82,288.86,277.53,275.53,29.6,0.0,NO,0.0,0.0,0.0,0.0,114863.32,114863.32,0.0,0.0,114863.32,1984.11,14.86
2019-04-08,37,BULL_100,BULL_100,13.18,288.74,277.98,275.59,29.62,0.0,NO,0.0,0.0,0.0,0.0,115022.4,115022.4,0.0,0.0,115022.4,159.08,15.02
2019-04-09,38,BULL_100,BULL_100,14.28,287.1,278.46,275.66,30.07,0.0,NO,0.0,0.0,0.0,0.0,113249.85,113249.85,0.0,0.0,113249.85,-1772.55,13.25
2019-04-10,39,BULL_100,BULL_100,13.3,288.7,278.95,275.73,29.67,0.0,NO,0.0,0.0,0.0,0.0,115342.62,115342.62,0.0,0.0,115342.62,2092.77,15.34
2019-04-11,40,BULL_100,BULL_100,13.02,288.41,279.35,275.82,29.8,0.0,NO,0.0,0.0,0.0,0.0,114600.13,114600.13,0.0,0.0,114600.13,-742.49,14.6
2019-04-12,41,BULL_100,BULL_100,12.01,290.22,279.76,275.91,29.26,0.0,NO,0.0,0.0,0.0,0.0,116599.35,116599.35,0.0,0.0,116599.35,1999.22,16.6
2019-04-15,42,BULL_100,BULL_100,12.32,290.02,280.15,276.01,29.25,0.0,NO,0.0,0.0,0.0,0.0,116424.0,116424.0,0.0,0.0,116424.0,-175.35,16.42
2019-04-16,43,BULL_100,BULL_100,12.18,290.02,280.52,276.1,29.29,0.0,NO,0.0,0.0,0.0,0.0,116767.4,116767.4,0.0,0.0,116767.4,343.4,16.77
2019-04-17,44,BULL_100,BULL_100,12.6,289.42,280.85,276.19,29.58,0.0,NO,0.0,0.0,0.0,0.0,116206.82,116206.82,0.0,0.0,116206.82,-560.58,16.21
2019-04-18,45,BULL_100,BULL_100,12.09,290.11,281.2,276.29,28.82,0.0,NO,0.0,0.0,0.0,0.0,117153.09,117153.09,0.0,0.0,117153.09,946.27,17.15
2019-04-22,46,BULL_100,BULL_100,12.42,290.38,281.62,276.39,29.18,0.0,NO,0.0,0.0,0.0,0.0,117683.14,117683.14,0.0,0.0,117683.14,530.05,17.68
2019-04-23,47,BULL_100,BULL_100,12.28,293.12,282.08,276.49,28.41,0.0,NO,0.0,0.0,0.0,0.0,121081.24,121081.24,0.0,0.0,121081.24,3398.1,21.08
2019-04-24,48,BULL_100,BULL_100,13.14,292.45,282.51,276.57,28.58,0.0,NO,0.0,0.0,0.0,0.0,120804.11,120804.11,0.0,0.0,120804.11,-277.13,20.8
