strategy,sma_fast,sma_slow,rsi_threshold,upro_pct,tqqq_pct,defensive,sma_delay,bull_caution,vix_kill,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,calmar,num_trades,years,final_equity
SMA100_200_RSI50_UPRO100_TLT_delay2_cautionTrue_vix35,100,200,50,100,0,TLT,2,True,35.0,3897392.05,101.8,-46.67,1.837,2.1813,399,15.1,3897492054.85
SMA100_200_RSI50_UPRO100_TLT_delay0_cautionTrue_vix35,100,200,50,100,0,TLT,0,True,35.0,3502794.06,100.38,-45.48,1.8216,2.2071,399,15.1,3502894057.15
SMA50_200_RSI50_UPRO100_TLT_delay0_cautionTrue_vix35,50,200,50,100,0,TLT,0,True,35.0,2191733.48,94.23,-54.6,1.7656,1.7259,390,15.1,2191833480.07
SMA100_200_RSI50_UPRO100_SHY_delay2_cautionTrue_vix35,100,200,50,100,0,SHY,2,True,35.0,2188737.63,94.21,-34.9,1.7647,2.6998,399,15.1,2188837630.93
SMA50_200_RSI50_UPRO100_TLT_delay2_cautionTrue_vix35,50,200,50,100,0,TLT,2,True,35.0,2076793.12,93.54,-53.18,1.7569,1.7589,390,15.1,2076893120.2
SMA100_200_RSI50_UPRO100_cash_delay2_cautionTrue_vix35,100,200,50,100,0,cash,2,True,35.0,2036212.83,93.29,-34.52,1.7525,2.7024,399,15.1,2036312825.34
SMA100_200_RSI50_UPRO100_SHY_delay0_cautionTrue_vix35,100,200,50,100,0,SHY,0,True,35.0,1996879.62,93.03,-34.9,1.751,2.666,399,15.1,1996979617.11
SMA100_200_RSI50_UPRO100_cash_delay0_cautionTrue_vix35,100,200,50,100,0,cash,0,True,35.0,1867928.12,92.18,-34.52,1.7396,2.6704,399,15.1,1868028119.64
SMA50_200_RSI50_UPRO100_SHY_delay0_cautionTrue_vix35,50,200,50,100,0,SHY,0,True,35.0,1311730.17,87.72,-40.48,1.7032,2.1669,390,15.1,1311830174.65
SMA50_200_RSI50_UPRO100_SHY_delay2_cautionTrue_vix35,50,200,50,100,0,SHY,2,True,35.0,1279920.39,87.42,-39.15,1.6989,2.2329,390,15.1,1280020387.72
