variant_name,sma_fast,sma_slow,rsi_entry,upro_pct,tqqq_pct,defensive,confirm_days,bull_caution,vix_kill,total_return_pct,cagr_pct,sharpe,sortino,max_dd_pct,calmar,transitions,best_year,worst_year,year_2022_return
SMA100_200_RSI35_U100T0_CASH_C2_BC,100,200,35,100,0,CASH,2,True,False,106.07,12.82,0.5349,0.4495,-69.48,0.1845,33,2021: +104.92%,2022: -63.73%,-63.73
SMA100_200_RSI35_U100T0_SHY_C2_BC,100,200,35,100,0,SHY,2,True,False,104.54,12.68,0.5317,0.4916,-69.51,0.1824,34,2021: +104.90%,2022: -64.54%,-64.54
SMA100_200_RSI35_U100T0_CASH_C0_BC,100,200,35,100,0,CASH,0,True,False,102.22,12.47,0.527,0.4435,-69.48,0.1794,33,2021: +104.92%,2022: -63.73%,-63.73
SMA100_200_RSI35_U100T0_SHY_C0_BC,100,200,35,100,0,SHY,0,True,False,101.34,12.39,0.5251,0.4857,-69.51,0.1782,33,2021: +104.90%,2022: -64.54%,-64.54
SMA100_200_RSI35_U100T0_CASH_C2_noBC,100,200,35,100,0,CASH,2,False,False,76.21,9.91,0.4724,0.3846,-71.46,0.1387,33,2021: +102.01%,2022: -66.07%,-66.07
SMA100_200_RSI35_U100T0_SHY_C2_noBC,100,200,35,100,0,SHY,2,False,False,75.1,9.8,0.4696,0.4255,-71.51,0.137,34,2021: +101.96%,2022: -66.87%,-66.87
SMA100_200_RSI40_U100T0_CASH_C2_BC,100,200,40,100,0,CASH,2,True,False,73.23,9.6,0.4645,0.3832,-68.23,0.1407,59,2021: +96.67%,2022: -63.25%,-63.25
SMA100_200_RSI35_U100T0_CASH_C0_noBC,100,200,35,100,0,CASH,0,False,False,72.92,9.57,0.4643,0.3785,-71.46,0.1339,33,2021: +102.01%,2022: -66.07%,-66.07
SMA100_200_RSI35_U100T0_SHY_C0_noBC,100,200,35,100,0,SHY,0,False,False,72.37,9.51,0.4629,0.4196,-71.51,0.133,33,2021: +101.96%,2022: -66.87%,-66.87
SMA100_200_RSI40_U100T0_SHY_C2_BC,100,200,40,100,0,SHY,2,True,False,71.94,9.46,0.4613,0.4195,-68.31,0.1386,60,2021: +96.72%,2022: -64.11%,-64.11
SMA100_200_RSI40_U100T0_CASH_C0_BC,100,200,40,100,0,CASH,0,True,False,70.0,9.26,0.4565,0.3771,-68.23,0.1357,59,2021: +96.67%,2022: -63.25%,-63.25
SMA100_200_RSI40_U100T0_SHY_C0_BC,100,200,40,100,0,SHY,0,True,False,69.26,9.18,0.4546,0.4136,-68.31,0.1344,59,2021: +96.72%,2022: -64.11%,-64.11
SMA100_200_RSI35_U100T0_TLT_C2_BC,100,200,35,100,0,TLT,2,True,False,69.24,9.18,0.452,0.441,-71.92,0.1276,34,2021: +105.57%,2022: -69.80%,-69.8
SMA100_200_RSI35_U100T0_TLT_C0_BC,100,200,35,100,0,TLT,0,True,False,67.26,8.96,0.4472,0.4364,-71.92,0.1246,33,2021: +105.57%,2022: -69.80%,-69.8
SMA100_200_RSI35_U75T25_CASH_C2_BC,100,200,35,75,25,CASH,2,True,False,57.77,7.9,0.4256,0.3578,-71.94,0.1099,149,2021: +92.44%,2022: -66.41%,-66.41
SMA100_200_RSI35_U75T25_SHY_C2_BC,100,200,35,75,25,SHY,2,True,False,56.6,7.77,0.4226,0.39,-71.97,0.108,150,2021: +92.42%,2022: -67.17%,-67.17
