datetime,open,high,low,close,volume,source
2011-01-03,126.71,127.6,125.6969,127.05,138725191.0,polygon
2011-01-04,127.33,127.37,126.19,126.98,137409675.0,polygon
2011-01-05,126.58,127.725,126.46,127.64,133975250.0,polygon
2011-01-06,127.69,127.83,127.01,127.39,122518970.0,polygon
2011-01-07,127.56,127.77,126.15,127.14,156034587.0,polygon
2011-01-10,126.58,127.16,126.2,126.98,122401644.0,polygon
2011-01-11,127.44,127.74,126.95,127.43,110286968.0,polygon
2011-01-12,128.21,128.72,127.4621,128.58,107929135.0,polygon
2011-01-13,128.63,128.69,128.05,128.3675,129229132.0,polygon
2011-01-14,128.19,129.33,128.1,129.3,117677857.0,polygon
2011-01-18,129.18,129.64,129.03,129.52,114401252.0,polygon
2011-01-19,129.41,129.5,127.91,128.25,151958324.0,polygon
2011-01-20,127.96,128.4,127.13,128.08,175745603.0,polygon
2011-01-21,128.88,129.17,128.23,128.37,151462880.0,polygon
2011-01-24,128.285,129.25,128.26,129.1,113715455.0,polygon
2011-01-25,128.76,129.28,128.11,129.17,167552153.0,polygon
2011-01-26,129.49,130.05,129.23,129.67,141281439.0,polygon
2011-01-27,129.7,130.21,129.47,129.99,123302633.0,polygon
2011-01-28,130.14,130.35,127.51,127.72,295637223.0,polygon
2011-01-31,128.07,128.78,127.75,128.68,149249105.0,polygon
2011-02-01,129.46,130.97,129.3801,130.74,167194214.0,polygon
2011-02-02,130.4,130.84,130.33,130.485,118323602.0,polygon
2011-02-03,130.26,130.98,129.57,130.78,145886611.0,polygon
2011-02-04,130.83,131.2,130.23,131.15,134634710.0,polygon
2011-02-07,131.44,132.4,131.43,131.97,112439030.0,polygon
2011-02-08,132.09,132.64,131.73,132.57,99072704.0,polygon
2011-02-09,132.21,132.63,131.61,132.269,146436606.0,polygon
2011-02-10,131.6,132.47,131.3,132.321,162708478.0,polygon
2011-02-11,131.8,133.28,131.77,133.11,137716436.0,polygon
2011-02-14,133.03,133.54,132.88,133.43,101691100.0,polygon
2011-02-15,133.02,133.22,132.66,133.01,119575387.0,polygon
2011-02-16,133.46,134.01,133.19,133.85,130183448.0,polygon
2011-02-17,133.46,134.43,133.34,134.25,109810420.0,polygon
2011-02-18,134.37,134.69,134.06,134.53,130002330.0,polygon
2011-02-22,133.12,134.5615,131.47,131.83,233116375.0,polygon
2011-02-23,131.75,132.07,130.21,131.02,227610100.0,polygon
2011-02-24,130.88,131.44,129.7,130.93,260467041.0,polygon
2011-02-25,131.48,132.41,131.4,132.33,141693837.0,polygon
2011-02-28,132.82,133.32,132.38,133.15,141600773.0,polygon
2011-03-01,133.57,133.69,130.89,130.93,258582270.0,polygon
2011-03-02,130.75,131.82,130.35,131.21,200277834.0,polygon
2011-03-03,132.4,133.62,132.39,133.47,176485166.0,polygon
2011-03-04,133.37,133.63,131.6,132.47,277371473.0,polygon
2011-03-07,132.86,133.1594,130.735,131.43,216888931.0,polygon
2011-03-08,131.64,133.0,131.07,132.58,174706407.0,polygon
2011-03-09,132.32,132.8,131.6,132.39,153903463.0,polygon
2011-03-10,131.0,131.18,129.81,129.9375,301665703.0,polygon
2011-03-11,129.52,131.31,129.49,130.84,225758504.0,polygon
2011-03-14,129.99,130.48,129.06,130.05,235607778.0,polygon
2011-03-15,126.59,129.33,126.5,128.56,359794831.0,polygon
2011-03-16,128.15,128.57,125.28,126.18,469160630.0,polygon
2011-03-17,128.0,128.39,127.1,127.85,254521638.0,polygon
2011-03-18,128.84,128.88,127.51,127.76,230654390.0,polygon
2011-03-21,129.35,130.01,129.2,129.74,154065282.0,polygon
2011-03-22,129.72,129.89,129.17,129.29,129743412.0,polygon
2011-03-23,128.93,130.0,128.32,129.66,148648724.0,polygon
2011-03-24,130.4,131.09,129.67,130.9,159238287.0,polygon
2011-03-25,131.24,131.87,130.8927,131.3,155769995.0,polygon
2011-03-28,131.58,131.92,130.94,130.98,109839083.0,polygon
2011-03-29,130.87,131.9,130.44,131.86,129844555.0,polygon
2011-03-30,132.55,133.16,132.36,132.77,135895860.0,polygon
2011-03-31,132.6,132.96,132.45,132.59,132756530.0,polygon
2011-04-01,133.41,133.77,132.83,133.15,154038917.0,polygon
2011-04-04,133.43,133.67,132.88,133.26,100773342.0,polygon
2011-04-05,133.0,133.83,132.94,133.24,121083840.0,polygon
2011-04-06,133.88,134.0,133.12,133.66,120453617.0,polygon
2011-04-07,133.42,133.94,132.66,133.32,170973204.0,polygon
2011-04-08,133.91,133.99,132.31,132.86,148014798.0,polygon
2011-04-11,133.0,133.45,132.14,132.46,121518486.0,polygon
2011-04-12,131.72,131.98,130.99,131.47,161480682.0,polygon
2011-04-13,132.08,132.18,130.96,131.46,162172967.0,polygon
2011-04-14,130.7,131.76,130.27,131.56,161271236.0,polygon
2011-04-15,131.8,132.37,131.41,132.04,170146610.0,polygon
2011-04-18,130.59,132.0301,129.51,130.56,210908208.0,polygon
2011-04-19,130.76,131.35,130.44,131.31,124321889.0,polygon
2011-04-20,132.88,133.39,132.79,133.1,156473001.0,polygon
2011-04-21,133.79,133.84,133.1046,133.78,136214509.0,polygon
2011-04-25,133.68,133.86,133.2,133.64,65760002.0,polygon
2011-04-26,134.05,135.06,133.91,134.791,146658425.0,polygon
2011-04-27,135.05,135.87,134.5,135.67,143104801.0,polygon
2011-04-28,135.43,136.29,135.41,136.11,124865764.0,polygon
2011-04-29,136.16,136.57,135.98,136.43,115094350.0,polygon
2011-05-02,137.07,137.18,135.95,136.22,126310033.0,polygon
2011-05-03,135.96,136.19,135.045,135.73,138445808.0,polygon
2011-05-04,135.67,135.73,134.23,134.83,182821163.0,polygon
2011-05-05,134.08,134.95,133.02,133.61,227065699.0,polygon
2011-05-06,134.94,135.63,133.22,134.2,222951264.0,polygon
2011-05-09,134.19,135.11,133.98,134.72,114134435.0,polygon
2011-05-10,135.17,136.11,135.0,135.87,114886994.0,polygon
2011-05-11,135.67,135.69,133.82,134.44,193745610.0,polygon
2011-05-12,134.08,135.36,133.39,135.08,171648128.0,polygon
2011-05-13,135.15,135.34,133.56,134.04,157499081.0,polygon
2011-05-16,133.56,134.61,132.97,133.19,141770642.0,polygon
2011-05-17,132.69,133.35,132.12,133.17,192852310.0,polygon
2011-05-18,133.24,134.5,132.95,134.36,135228138.0,polygon
2011-05-19,134.8,135.03,133.94,134.68,119584847.0,polygon
2011-05-20,134.33,134.6781,133.36,133.61,182638302.0,polygon
2011-05-23,131.98,133.6475,131.59,132.05,168799987.0,polygon
2011-05-24,132.44,132.73,131.7,131.95,147200295.0,polygon
2011-05-25,131.42,132.94,131.38,132.39,151102185.0,polygon
2011-05-26,132.03,133.24,131.78,133.0,164984594.0,polygon
2011-05-27,133.37,133.87,132.9588,133.51,120921858.0,polygon
2011-05-31,134.77,134.92,133.84,134.9,164731167.0,polygon
2011-06-01,134.51,134.9234,131.76,131.87,233094277.0,polygon
2011-06-02,131.96,132.24,130.96,131.73,200466729.0,polygon
2011-06-03,130.15,131.42,130.08,130.42,234690124.0,polygon
2011-06-06,130.09,130.36,128.87,129.045,179951146.0,polygon
2011-06-07,129.7,130.07,128.85,128.96,161805954.0,polygon
2011-06-08,128.76,129.19,128.18,128.42,198696304.0,polygon
2011-06-09,128.77,129.93,128.46,129.4,160964350.0,polygon
2011-06-10,128.85,128.93,127.26,127.6,238629307.0,polygon
2011-06-13,127.89,128.24,127.05,127.7,207599751.0,polygon
2011-06-14,128.87,129.77,128.82,129.31,160570345.0,polygon
2011-06-15,128.24,129.2991,126.68,127.02,300957945.0,polygon
2011-06-16,127.06,127.97,126.32,127.3,308038426.0,polygon
2011-06-17,127.93,127.94,126.62,127.05,234996065.0,polygon
2011-06-20,126.62,127.97,126.58,127.7,159478911.0,polygon
2011-06-21,128.36,129.7,127.7535,129.45,193157234.0,polygon
2011-06-22,129.05,129.81,128.59,128.67,176886453.0,polygon
2011-06-23,127.16,128.6361,126.19,128.301,334286827.0,polygon
2011-06-24,128.27,128.37,126.62,126.81,226129358.0,polygon
2011-06-27,126.89,128.43,126.64,127.94,168908174.0,polygon
2011-06-28,128.45,129.63,128.27,129.61,165556257.0,polygon
2011-06-29,130.2,130.93,129.6321,130.72,244295405.0,polygon
2011-06-30,131.14,132.18,130.705,131.97,223496512.0,polygon
2011-07-01,132.09,134.1,131.78,133.92,202385636.0,polygon
2011-07-05,133.78,134.08,133.39,133.81,165935968.0,polygon
2011-07-06,133.49,134.14,133.11,133.97,143332679.0,polygon
2011-07-07,135.16,135.7,134.88,135.36,170464164.0,polygon
2011-07-08,133.83,135.3558,133.39,134.4,194171492.0,polygon
2011-07-11,132.75,133.18,131.66,131.97,195918544.0,polygon
2011-07-12,131.69,132.78,131.36,131.4,214675640.0,polygon
2011-07-13,132.09,133.22,131.519,131.83,204062545.0,polygon
