datetime,open,high,low,close,volume,source
2011-01-03,0.3954,0.4105,0.3953,0.4025,133483008.0,polygon
2011-01-04,0.4076,0.4077,0.3942,0.4019,131504256.0,polygon
2011-01-05,0.3979,0.4121,0.3974,0.4119,122877696.0,polygon
2011-01-06,0.4134,0.4166,0.4108,0.4156,104525568.0,polygon
2011-01-07,0.4177,0.4184,0.4026,0.4147,152406144.0,polygon
2011-01-10,0.4115,0.4214,0.4088,0.4193,86195712.0,polygon
2011-01-11,0.4244,0.4253,0.4169,0.4212,109903104.0,polygon
2011-01-12,0.4271,0.43,0.4222,0.4298,134126976.0,polygon
2011-01-13,0.4313,0.4338,0.427,0.4311,131608704.0,polygon
2011-01-14,0.4309,0.4406,0.4281,0.4405,61271808.0,polygon
2011-01-18,0.4292,0.4454,0.4285,0.444,138667776.0,polygon
2011-01-19,0.4463,0.4463,0.4247,0.4291,150354048.0,polygon
2011-01-20,0.424,0.4251,0.4099,0.4195,189764736.0,polygon
2011-01-21,0.4256,0.4282,0.4096,0.4099,104827392.0,polygon
2011-01-24,0.4122,0.4272,0.41,0.4268,86550144.0,polygon
2011-01-25,0.4211,0.4289,0.418,0.4283,96441984.0,polygon
2011-01-26,0.4311,0.439,0.4271,0.435,100097664.0,polygon
2011-01-27,0.4401,0.4471,0.4377,0.4434,111332352.0,polygon
2011-01-28,0.4435,0.4443,0.404,0.4099,254518272.0,polygon
2011-01-31,0.4115,0.4191,0.4024,0.416,160309248.0,polygon
2011-02-01,0.4256,0.442,0.424,0.4391,203435904.0,polygon
2011-02-02,0.4368,0.4416,0.4343,0.4371,92382336.0,polygon
2011-02-03,0.4347,0.4412,0.4242,0.4388,131528832.0,polygon
2011-02-04,0.4399,0.4474,0.4359,0.4467,135945984.0,polygon
2011-02-07,0.4495,0.4602,0.4473,0.4532,103783296.0,polygon
2011-02-08,0.4534,0.4629,0.4511,0.4629,133940736.0,polygon
2011-02-09,0.4598,0.4638,0.4555,0.46,130394880.0,polygon
2011-02-10,0.4524,0.4632,0.4493,0.4623,142078464.0,polygon
2011-02-11,0.458,0.4721,0.4558,0.4718,94553856.0,polygon
2011-02-14,0.4717,0.4769,0.4704,0.4747,59696640.0,polygon
2011-02-15,0.4721,0.4746,0.4668,0.4735,93506688.0,polygon
2011-02-16,0.4772,0.4861,0.4765,0.4823,141101568.0,polygon
2011-02-17,0.4752,0.4844,0.4743,0.4818,86729856.0,polygon
2011-02-18,0.4821,0.4841,0.4734,0.4791,128203008.0,polygon
2011-02-22,0.46,0.4636,0.4349,0.4369,243616512.0,polygon
2011-02-23,0.4368,0.4415,0.4163,0.4261,194374272.0,polygon
2011-02-24,0.4291,0.4365,0.4167,0.4322,160245504.0,polygon
2011-02-25,0.4403,0.4526,0.439,0.4507,106874880.0,polygon
2011-02-28,0.4559,0.4603,0.4458,0.454,104854656.0,polygon
2011-03-01,0.4601,0.4601,0.4284,0.4322,123235776.0,polygon
2011-03-02,0.4313,0.4472,0.431,0.4383,114195264.0,polygon
2011-03-03,0.451,0.4668,0.451,0.4644,133382784.0,polygon
2011-03-04,0.4646,0.4646,0.4485,0.4575,109415616.0,polygon
2011-03-07,0.4633,0.4641,0.427,0.4393,137628288.0,polygon
2011-03-08,0.4368,0.4503,0.4297,0.444,128916288.0,polygon
2011-03-09,0.4403,0.4408,0.4282,0.4349,97046784.0,polygon
2011-03-10,0.4195,0.4232,0.4098,0.415,175555008.0,polygon
2011-03-11,0.4081,0.4255,0.4075,0.422,102529344.0,polygon
2011-03-14,0.4151,0.4245,0.4084,0.4179,80355648.0,polygon
2011-03-15,0.3807,0.4076,0.3769,0.4008,188309568.0,polygon
2011-03-16,0.3908,0.3969,0.3633,0.3713,217411200.0,polygon
2011-03-17,0.3883,0.3933,0.3807,0.381,117429312.0,polygon
2011-03-18,0.3944,0.3945,0.3782,0.379,118708032.0,polygon
2011-03-21,0.3956,0.4063,0.3939,0.4001,95488512.0,polygon
2011-03-22,0.4019,0.4032,0.3959,0.399,64342464.0,polygon
2011-03-23,0.3941,0.4086,0.3861,0.405,104652864.0,polygon
2011-03-24,0.4145,0.4296,0.4074,0.4271,130862976.0,polygon
2011-03-25,0.4313,0.4386,0.4284,0.4302,148309440.0,polygon
2011-03-28,0.436,0.4361,0.4224,0.4229,89175168.0,polygon
2011-03-29,0.4204,0.4351,0.416,0.435,67543296.0,polygon
2011-03-30,0.4417,0.4431,0.4358,0.4415,67594752.0,polygon
2011-03-31,0.4396,0.4444,0.437,0.4433,57074112.0,polygon
2011-04-01,0.4497,0.454,0.4401,0.444,75547968.0,polygon
2011-04-04,0.4478,0.4489,0.4338,0.44,62815104.0,polygon
